# label=extension
# trial=19
# subject=subject01
# captured_at=20260411_174828
ts_ms,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
95378,-38,-142,-8654,-2170,-139,18,1578,2366,-8354,39,1082,206
95388,-50,-84,-8508,-1724,-297,178,1938,2500,-8068,-258,1277,127
95398,100,-108,-8258,-1346,-376,424,1596,2418,-7750,-296,894,152
95408,56,-72,-7922,-1145,-316,524,1596,2418,-7750,-296,894,152
95418,82,-84,-7778,-1106,-279,519,1460,2300,-7084,-194,146,269
95428,192,-8,-7590,-1217,-240,434,1380,2264,-7074,-160,116,352
95438,132,4,-7772,-1400,-213,295,1426,2342,-7208,-103,307,378
95448,60,-38,-7820,-1569,-236,173,1480,2328,-7478,-47,543,351
95458,136,-74,-8096,-1606,-262,148,1590,2296,-7736,90,818,369
95468,142,-56,-8228,-1515,-247,132,1830,2360,-7828,49,911,328
95478,230,110,-8406,-1316,-181,167,1962,2500,-7634,48,969,309
95488,316,180,-8416,-1218,-66,220,1804,2546,-7752,22,893,294
95498,220,212,-8216,-1264,26,229,1870,2528,-7550,19,806,232
95508,252,140,-8038,-1268,-77,296,1744,2426,-7394,51,789,169
95518,304,92,-7916,-1260,-220,277,1666,2382,-7266,38,644,180
95528,212,112,-7856,-1280,-406,196,1712,2318,-7120,31,464,155
95538,34,126,-7962,-1367,-562,213,1600,2340,-7326,28,316,151
95548,30,-28,-8080,-1551,-603,285,1426,2380,-7676,14,185,227
95558,-86,106,-8188,-1609,-508,307,1534,2442,-7804,-51,179,265
95568,94,152,-8156,-1501,-341,320,1688,2450,-7844,-89,432,246
95578,42,226,-8198,-1290,-158,292,1692,2524,-7632,-77,816,236
95588,48,340,-8128,-1108,-142,287,1590,2594,-7542,-64,1066,251
95598,66,200,-8156,-1063,-206,210,1520,2540,-7588,-83,1034,323
95608,82,190,-8172,-1027,-298,92,1636,2462,-7618,-83,881,316
95618,60,236,-8204,-955,-331,39,1984,2480,-7416,-44,757,276
95628,-16,224,-8178,-902,-296,122,1968,2494,-7432,-51,615,245
95638,198,278,-8034,-897,-230,319,1882,2428,-7324,-99,463,285
95648,366,300,-7982,-984,-169,463,1920,2390,-7090,-154,266,280
95659,456,196,-7882,-1128,-176,546,1876,2334,-7228,-150,94,216
95669,642,190,-7908,-1305,-204,491,1772,2306,-7352,-94,2,141
95679,624,190,-8052,-1384,-275,232,1912,2286,-7460,-24,8,40
95689,312,182,-8138,-1319,-486,10,1990,2370,-7528,-2,178,-110
95699,192,218,-8230,-1201,-759,-44,1780,2388,-7658,-57,305,-140
95709,-2,178,-8210,-1114,-910,-14,1712,2480,-7722,-133,290,-121
95719,-26,194,-8272,-1035,-910,58,1640,2406,-7728,-189,216,-138
95729,-6,228,-8268,-937,-704,90,1712,2548,-7578,-190,126,-131
95739,-22,170,-8172,-879,-427,141,1656,2410,-7502,-186,106,-114
95749,-10,90,-8030,-850,-291,189,1632,2348,-7374,-191,69,-87
95759,18,92,-7844,-890,-331,240,1500,2246,-7252,-204,14,-47
95769,110,62,-7924,-972,-488,228,1454,2254,-7296,-182,-84,-10
95779,82,92,-7968,-1084,-646,150,1586,2278,-7460,-148,-132,16
95789,22,90,-8090,-1153,-687,98,1590,2310,-7566,-104,-51,8
95799,-124,90,-8108,-1173,-645,86,1546,2306,-7642,-74,102,49
95809,-32,114,-8270,-1134,-520,89,1458,2352,-7768,-106,259,99
95819,12,132,-8272,-1105,-356,53,1692,2338,-7844,-164,437,112
95830,48,118,-8274,-1062,-229,139,1756,2280,-7808,-217,668,92
95840,188,138,-8158,-970,-178,225,1834,2308,-7470,-295,768,115
95850,266,144,-8016,-894,-197,267,1842,2298,-7292,-327,631,90
95860,328,162,-7886,-934,-398,288,1812,2346,-7290,-274,388,52
95870,280,160,-7926,-1034,-485,257,1792,2338,-7296,-193,116,11
95880,280,160,-7926,-1034,-485,257,1606,2284,-7424,-125,-58,-26
95890,180,116,-8152,-1161,-569,65,1666,2342,-7654,-106,-110,-60
95900,124,156,-8166,-1098,-598,7,1730,2400,-7690,-118,46,-99
95910,80,146,-8162,-961,-602,-6,1750,2396,-7696,-132,259,-100
95920,4,218,-8194,-815,-577,32,1744,2422,-7560,-154,393,-104
95930,50,210,-8196,-785,-520,107,1674,2412,-7512,-150,376,-86
95940,126,152,-8114,-853,-458,151,1706,2394,-7446,-148,227,-59
95950,166,124,-8042,-899,-397,180,1684,2350,-7410,-129,79,-77
95960,132,94,-8006,-943,-404,162,1664,2280,-7436,-116,-64,-112
95970,10,-6,-8110,-963,-475,121,1546,2232,-7506,-125,-92,-106
95980,-82,-8,-8032,-945,-578,77,1546,2208,-7496,-164,-68,-80
95990,14,-28,-8000,-947,-653,94,1488,2202,-7492,-193,35,-41
96000,-100,32,-7982,-991,-614,103,1450,2276,-7530,-206,85,16
96010,-86,12,-8086,-1057,-484,173,1514,2288,-7498,-204,193,22
96020,-86,74,-8024,-1125,-372,248,1562,2296,-7444,-168,363,61
96030,42,110,-8050,-1196,-277,336,1542,2384,-7390,-160,517,117
96040,134,202,-8074,-1274,-217,376,1628,2380,-7546,-152,605,174
96050,134,194,-8110,-1332,-196,380,1754,2386,-7520,-170,620,174
96060,210,150,-8076,-1332,-192,386,1750,2404,-7536,-169,611,148
96070,316,184,-7968,-1295,-238,322,1766,2378,-7426,-137,518,128
96080,316,170,-8062,-1255,-308,211,1740,2360,-7470,-124,326,84
96090,146,188,-8156,-1180,-428,94,1804,2332,-7580,-128,137,41
