# label=flexion
# trial=17
# subject=subject01
# captured_at=20260411_174614
ts_ms,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
84886,-136,2486,-7770,1165,-1602,-276,1318,1526,-7806,167,71,79
84896,-196,2424,-7760,1168,-1611,-250,1234,1520,-7792,142,-40,132
84907,-194,2410,-7822,1061,-1496,-247,1124,1502,-7844,100,-105,168
84917,-172,2496,-7884,888,-1282,-251,1154,1536,-7920,92,-108,195
84927,-112,2562,-7952,716,-1020,-237,1198,1542,-7936,70,-6,189
84937,-32,2620,-7918,594,-811,-212,1252,1622,-8090,52,195,160
84947,-44,2628,-7896,540,-685,-188,1394,1594,-8060,-15,583,108
84957,18,2570,-7952,553,-673,-175,1394,1594,-8060,-15,583,108
84967,82,2532,-7884,605,-756,-188,1392,1558,-7904,-81,582,62
84977,8,2444,-7854,668,-914,-230,1338,1502,-7916,-64,406,66
84987,2,2412,-7866,700,-1098,-281,1344,1498,-7922,-64,175,69
84997,-38,2364,-7846,679,-1189,-291,1246,1458,-7874,-62,11,71
85007,-116,2378,-7814,639,-1211,-316,1186,1484,-7776,-37,-60,82
85017,-140,2416,-7780,591,-1150,-353,1222,1542,-7788,-31,-45,79
85027,-108,2430,-7782,561,-995,-384,1264,1562,-7802,-41,89,65
85037,-122,2430,-7782,541,-809,-365,1274,1500,-7768,-46,284,53
85047,-66,2452,-7662,551,-659,-329,1286,1514,-7704,-57,472,48
85057,-78,2392,-7602,559,-590,-273,1340,1544,-7664,-48,543,67
85067,-40,2410,-7564,576,-634,-219,1344,1524,-7728,-43,535,110
85078,-20,2394,-7600,602,-755,-139,1288,1442,-7800,-45,495,125
85088,-6,2420,-7628,686,-872,-82,1282,1422,-7766,-13,429,110
85098,-16,2340,-7710,816,-936,-82,1244,1422,-7740,24,382,88
85108,-20,2288,-7670,961,-952,-163,1240,1406,-7686,33,338,78
85118,40,2250,-7702,1051,-943,-287,1316,1442,-7566,22,307,63
85128,48,2276,-7710,1031,-919,-387,1400,1478,-7592,6,282,44
85138,54,2270,-7650,901,-910,-421,1380,1454,-7548,20,267,33
85148,64,2350,-7646,720,-915,-399,1288,1508,-7666,34,224,24
85158,-10,2344,-7670,566,-927,-358,1292,1512,-7756,43,177,13
85168,18,2428,-7648,497,-916,-354,1384,1524,-7780,46,153,-16
85178,18,2490,-7614,525,-871,-344,1344,1506,-7740,69,234,-51
85188,0,2466,-7604,615,-847,-298,1324,1504,-7746,87,342,-59
85198,4,2456,-7568,712,-857,-257,1234,1536,-7718,101,409,-66
85208,-22,2352,-7542,802,-915,-285,1202,1466,-7666,116,350,-62
85218,-50,2334,-7596,876,-992,-395,1242,1516,-7722,117,200,-78
85228,-74,2380,-7646,914,-1025,-513,1306,1522,-7730,129,103,-105
85238,-148,2290,-7718,1034,-1028,-587,1236,1488,-7712,163,77,-114
85248,-148,2290,-7718,1034,-1028,-587,1170,1456,-7670,177,59,-107
85258,-216,2266,-7628,1052,-1020,-570,1144,1470,-7682,170,3,-95
85268,-244,2282,-7638,1105,-1125,-538,1136,1498,-7724,164,-28,-96
85278,-270,2254,-7604,1102,-1219,-454,1106,1500,-7692,167,-23,-99
85288,-320,2266,-7674,1119,-1300,-375,1102,1470,-7758,186,4,-101
85298,-314,2254,-7676,1135,-1335,-339,1016,1496,-7756,213,43,-77
85308,-278,2272,-7716,1136,-1318,-389,958,1494,-7756,211,44,-33
85318,-232,2304,-7694,1100,-1237,-457,1038,1512,-7834,182,-1,-30
85328,-208,2342,-7740,1039,-1159,-466,1124,1512,-7792,187,18,-35
85338,-180,2310,-7726,966,-1141,-421,1178,1526,-7814,207,54,-25
85348,-244,2304,-7750,926,-1215,-370,1126,1534,-7872,230,36,-14
85358,-212,2294,-7778,951,-1348,-366,1078,1460,-7904,246,-61,-5
85368,-274,2332,-7758,1018,-1490,-351,1112,1468,-7944,250,-209,-25
85378,-254,2342,-7860,1113,-1603,-327,1118,1498,-7890,261,-309,-57
85388,-332,2284,-7826,1188,-1660,-284,1070,1470,-7988,286,-356,-69
85398,-338,2214,-7846,1230,-1659,-318,934,1468,-7920,281,-354,-67
85408,-354,2192,-7838,1228,-1591,-421,966,1472,-7944,245,-405,-52
