# label=pronation
# trial=10
# subject=subject01
# captured_at=20260411_181151
ts_ms,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
48073,-3272,360,-6272,-30463,-14659,7581,1446,3030,-8924,-4061,28,-922
48083,-3632,1182,-5978,-30359,-13506,11125,-482,2786,-8834,-2963,-57,793
48093,-3200,1630,-5770,-29560,-12006,13796,-482,2786,-8834,-2963,-57,793
48103,-1926,2654,-5632,-28042,-9871,15254,66,2306,-9074,-1422,-1704,1482
48113,-1340,3496,-5344,-26251,-8320,15252,926,2244,-9310,-1182,-1922,1703
48123,-1452,4192,-4400,-24660,-8474,15327,908,2232,-8832,-1350,-1761,2174
48133,-892,4606,-3808,-22784,-9426,15441,822,2254,-8836,-2350,-1834,2471
48143,-1948,5598,-2830,-20138,-12336,16154,540,2700,-8448,-2874,-1716,2798
48153,-1550,6204,-3468,-16897,-15333,16853,694,3210,-10608,-2521,-2304,3208
48163,-2902,7262,-2222,-13772,-16001,17765,24,3082,-8612,-3198,-3149,3550
48173,-2846,7836,-1960,-10778,-14579,18386,-214,3374,-7938,-3065,-3557,4110
48183,-2114,8360,-1122,-7649,-11932,18344,-478,3240,-7504,-3222,-3326,4113
48193,-2082,7196,-1502,-4894,-8729,17870,294,3208,-7364,-3467,-1835,4231
48203,-622,7486,-950,-1704,-6106,17601,726,3420,-7238,-3351,-1038,4121
48214,-482,7114,-840,692,-6033,17603,1642,3648,-7100,-3671,-210,3958
48224,160,7220,-410,3073,-7368,18092,1464,3436,-7910,-3449,-1154,3895
48234,-344,7596,-516,6021,-9043,18471,270,3462,-7862,-1208,-2246,4259
48244,-618,7322,-572,9996,-10414,18113,-542,3270,-7366,493,-3749,4804
48254,-630,7190,-1230,14393,-10689,16587,-1142,3060,-7706,368,-6250,4970
48264,152,7206,-1472,18284,-9694,14092,0,2868,-7772,41,-7044,4815
48274,428,5666,-1786,21208,-7899,11099,234,3566,-8688,1235,-3999,4347
48284,1144,4964,-2270,23398,-6587,8409,262,3526,-6658,2297,-598,3422
48294,870,3278,-2728,25445,-5849,5046,860,3056,-5784,1958,731,2478
48304,1096,2300,-3546,26118,-4824,2728,2060,2866,-5564,1817,676,2061
48314,1020,1396,-4566,25530,-3975,1722,1550,2366,-5546,2653,-736,1735
48324,546,1792,-4592,24842,-3456,1368,1684,2278,-5476,3373,-2792,1664
48334,210,688,-5060,23593,-3126,1182,338,2180,-5654,3440,-3928,1777
48344,328,1692,-5590,22008,-2109,1016,340,2006,-6104,3613,-3262,1835
48354,1140,1312,-5992,20278,-774,-435,1172,2348,-7206,2700,-2679,1391
48364,2404,780,-6246,18924,585,-2227,2106,2986,-8330,2184,-371,683
48374,2136,864,-6246,19072,830,-3751,2646,2812,-8300,2216,2307,-261
48384,1532,8,-6890,20325,-236,-5235,2376,2722,-7790,2500,2833,-920
48394,662,-846,-6836,22211,-2123,-6368,1976,2318,-6952,2920,2141,-1078
48404,396,-1396,-7046,23011,-3494,-7101,1862,2038,-6060,3138,502,-1015
48414,664,-1834,-7234,21709,-3740,-7600,1802,2356,-4284,3188,-1435,-922
48424,1606,324,-8148,19681,-3638,-7531,14,3214,-3102,-918,-5229,-1001
48434,-210,-3210,-8452,20617,-6436,-9485,1904,1630,-7462,-4703,-3313,234
48444,-1900,-3872,-7866,17671,-8761,-8680,3178,2400,-8566,-5572,-358,-515
48454,-112,-2510,-7188,12664,-9486,-7155,1928,3702,-9088,-2668,2739,-1559
48464,-1122,-2664,-6488,10720,-7322,-7404,1038,3414,-9356,1278,6124,-1787
48474,-1682,-4108,-6878,9681,-3149,-8458,908,2426,-8966,1659,4561,-2876
48484,-1070,-3570,-7082,9385,1904,-8737,840,2332,-9008,797,2620,-3371
48494,-2026,-4358,-6936,10792,2774,-9911,100,1786,-8262,166,989,-3366
48504,-2198,-4700,-6554,11105,438,-11048,-624,1710,-7836,-1068,-1166,-3546
48514,-2144,-5056,-6648,9827,811,-12290,-1592,1652,-7538,-1083,235,-3308
48524,-2024,-5260,-6618,7339,1872,-13545,-1520,1962,-7214,-839,5075,-2796
48534,-1936,-5216,-6830,4584,3975,-14508,-506,2078,-7182,-1031,9093,-2950
48544,-1366,-5432,-6760,-66,9315,-14387,378,2074,-6956,-704,12322,-3068
48555,-880,-5050,-7212,-1940,10649,-13418,2136,1810,-6862,-1126,13682,-2763
48565,-642,-4974,-7712,-4571,11278,-12204,1834,1944,-6906,-745,12047,-2685
48575,-960,-5168,-7864,-7323,10476,-10922,1112,1756,-6876,-138,10915,-2482
48585,-988,-4908,-7968,-9724,9122,-9785,1048,2300,-6776,500,10572,-2164
48595,-968,-4822,-8084,-12145,8052,-8747,1618,2774,-7106,1079,10649,-1659
48605,-386,-4402,-7968,-14366,7488,-7678,2246,3002,-7124,1738,10569,-1031
48615,396,-4262,-8184,-16194,7217,-6570,2990,2876,-7232,1741,9130,-530
48625,1050,-3482,-8260,-18066,6881,-5555,3892,2812,-7700,1280,7013,-224
48635,2146,-2734,-8042,-19970,6058,-4205,4494,2766,-8212,722,5356,-530
