# label=radial_deviation
# trial=5
# subject=subject01
# captured_at=20260411_211145
ts_ms,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
24584,-626,528,-8224,288,-221,-803,116,1030,-8090,425,39,-990
24594,-584,582,-8298,258,78,-830,152,1112,-8128,393,285,-991
24604,-472,544,-8300,253,451,-766,204,1056,-8150,371,425,-990
24614,-402,568,-8362,213,430,-755,274,1052,-8224,367,458,-991
24624,-402,568,-8362,213,430,-755,274,1060,-8194,363,349,-1050
24634,-554,520,-8440,197,75,-758,208,1088,-8228,366,212,-1110
24644,-742,478,-8472,242,-14,-759,58,1012,-8396,373,164,-1108
24654,-926,422,-8566,251,100,-772,-112,950,-8362,361,185,-1057
24664,-1012,420,-8684,217,453,-746,-124,962,-8408,331,344,-988
24674,-902,366,-8764,216,974,-660,-126,924,-8556,253,709,-892
24684,-706,360,-8790,209,1423,-585,-34,892,-8602,164,1175,-771
24694,-614,324,-8670,126,1655,-555,92,862,-8394,42,1526,-687
24704,-418,358,-8602,4,1602,-535,190,912,-8338,-75,1579,-670
24714,-350,424,-8556,-185,1326,-527,284,936,-8228,-150,1412,-670
24724,-432,412,-8386,-386,912,-509,364,976,-8228,-197,1107,-734
24734,-626,454,-8270,-541,472,-483,166,974,-8122,-231,728,-831
24744,-750,490,-8108,-577,164,-455,-4,1002,-8118,-232,419,-855
24754,-810,162,-8042,-505,73,-458,-132,1026,-8164,-242,267,-819
24764,-938,480,-7990,-460,184,-420,-242,966,-8028,-230,284,-736
24774,-984,432,-7882,-395,379,-342,-260,984,-7948,-217,415,-668
24784,-1008,444,-7934,-336,683,-285,-330,986,-7838,-184,656,-595
24794,-926,414,-7888,-321,1014,-251,-366,960,-7822,-188,887,-493
24804,-728,534,-7914,-340,1223,-201,-168,958,-7884,-212,1135,-424
24814,-586,590,-7980,-371,1297,-126,28,1066,-7936,-219,1366,-359
24824,-530,598,-8134,-354,1189,-55,278,1158,-8054,-265,1356,-246
24834,-354,622,-8112,-284,919,-32,278,1158,-8054,-265,1356,-246
24844,-368,646,-8182,-225,499,-9,276,1144,-8106,-284,662,-245
24854,-484,668,-8258,-196,54,7,182,1200,-8078,-273,308,-270
24864,-532,692,-8292,-221,-125,40,74,1248,-8100,-282,172,-262
24875,-552,716,-8366,-280,-47,48,10,1310,-8244,-336,256,-248
24885,-652,746,-8340,-311,147,30,14,1326,-8168,-369,527,-225
24895,-774,780,-8392,-338,445,32,-24,1402,-8198,-360,922,-150
24905,-768,842,-8434,-367,838,60,-52,1550,-8318,-338,1356,-63
24915,-790,982,-8484,-365,1295,100,-8,1644,-8438,-307,1823,54
24925,-898,1166,-8558,-378,1844,234,-90,1846,-8520,-258,2362,168
24935,-1104,1378,-8582,-313,2421,345,-254,2096,-8778,-152,3100,331
24945,-1328,1450,-8786,-174,3115,496,-290,2110,-9218,-41,4070,563
24955,-1242,1356,-9296,186,4026,702,-2,1988,-9772,88,5252,808
24965,-784,1082,-9910,747,5143,928,312,1710,-10154,117,6360,1043
24975,-512,852,-10292,1364,6053,1069,614,1514,-10282,-10,7021,1258
24985,-186,696,-10564,1844,6567,1104,688,1450,-10012,-263,7147,1463
24995,0,558,-10652,1933,6737,1035,906,1420,-9788,-564,7024,1614
25005,-78,474,-10548,1592,6733,970,836,1450,-9448,-795,6995,1688
25015,-156,400,-10330,896,6822,969,806,1370,-9134,-1030,7149,1721
25025,-244,398,-9904,23,7126,1057,548,1398,-8728,-1272,7568,1745
25035,-518,350,-9314,-841,7521,1131,296,1350,-8048,-1561,8048,1819
25046,-932,348,-8516,-1768,8252,1237,-448,1354,-7250,-1852,8728,1961
25056,-1518,538,-7520,-2726,9520,1317,-1086,1284,-6250,-1740,10360,2215
25066,-2650,304,-6414,-3724,11365,1415,-2116,1028,-5222,-1595,13389,2615
25076,-3424,32,-5102,-4957,14099,1734,-2386,796,-4504,-930,17682,3128
25086,-2938,20,-4176,-6013,18285,2178,-1422,682,-4152,-311,22117,3652
25096,-2408,46,-3410,-6294,22910,2736,-432,558,-4130,176,26394,4268
25106,-1230,172,-2922,-5884,26779,3509,1064,476,-3976,480,29361,5023
25116,118,-310,-2404,-4837,29338,4307,2018,-102,-3346,527,30374,5641
25126,910,-532,-2234,-3548,30049,4922,2498,-520,-2216,640,29832,6303
25136,1550,-930,-2030,-2450,28359,4999,2632,-668,-1042,766,28672,6867
25146,1954,-1090,-1392,-1951,25556,5004,2340,-772,222,889,27980,6924
25156,1694,-1350,-566,-2930,23976,4930,2984,-418,1226,1225,27014,6817
25166,2786,-1472,318,-5136,23025,5217,4204,-400,1736,2420,25862,6537
25176,3266,-1436,1052,-7690,23803,5947,5196,-1096,888,4252,25060,6187
25186,4632,-1158,1658,-9255,24961,7200,6420,-556,-344,4436,22882,5874
25196,5092,-788,550,-8935,23984,8354,7074,-488,-1514,3129,18520,6032
25206,6922,-594,-158,-7716,21979,8754,6934,-1772,-1090,2110,10394,5701
25216,7690,-342,-880,-7340,19435,8899,8828,-3830,-6662,2952,5807,6326
25226,8830,-236,-1734,-6281,13929,7801,7014,-896,-2606,4369,427,6786
25236,8776,-1088,-1458,-4944,10882,6383,9038,-1318,-844,3299,-4731,5984
25246,9024,-548,-2538,-3340,6030,4741,8634,-1666,-1452,2339,-7563,5670
25256,9332,-846,-1210,-2716,2229,4064,9100,-1790,-2258,1509,-8274,5265
25266,9536,-610,-2110,-2400,73,3803,9560,-2434,-3912,1458,-7510,4916
25276,9710,-970,-1726,-2457,-3095,4069,9196,-2542,-3976,1854,-6673,4806
25286,9902,-876,-2916,-3297,-9453,4547,9524,-2532,-2834,1277,-6588,4687
25296,10386,-1146,-3662,-2405,-7775,4536,9704,-2826,-3414,3,-7602,4695
25306,10386,-1146,-3662,-2405,-7775,4536,9706,-2204,-3378,-519,-7473,4748
25316,11042,-1044,-2082,-3386,-6509,4128,9778,-2246,-3152,-1162,-6076,4376
25326,10836,-500,-2802,-3643,-5573,3906,9550,-1714,-3628,-1727,-3964,3771
25336,11244,-684,-2862,-3652,-4923,3569,10080,-1416,-3616,-1140,-2860,3367
25346,12202,-696,-3502,-3994,-2582,3288,9128,-1920,-5614,-845,-1168,2934
25356,11010,-378,-3364,-3284,-1522,2885,9576,-3072,-5086,-129,1685,2388
25366,12498,294,-2400,-1926,-1608,1986,10984,-2188,-4044,-996,2320,1976
25376,12128,-172,-2746,-613,-638,1375,10884,-1912,-4942,-1169,1650,1474
25387,11700,-264,-2508,-318,1012,1052,10704,-2072,-4408,-901,613,822
25397,11280,-88,-2892,703,-311,644,10430,-1314,-3014,-578,235,424
25407,10788,-478,-3426,359,-1503,217,9552,-2282,-3968,291,-134,-123
25417,9416,-776,-2724,1502,-2405,-652,8460,-2956,-4160,1451,1029,-302
25427,9988,-774,-3766,2791,852,-1243,9264,-2336,-4070,2802,1589,-403
25437,9746,-1290,-3902,1660,642,-1194,9200,-2610,-4024,1858,603,-667
25447,9502,-862,-2162,692,-1460,-654,9040,-3384,-5016,72,186,-989
25457,10120,-1088,-2478,1748,571,-140,9774,-2356,-3828,-798,1225,-1207
25467,10292,-1292,-3050,1189,3865,60,9658,-2268,-4158,-1065,2263,-1432
25477,10488,-800,-3174,1241,4272,178,9806,-2200,-3596,-775,2587,-1611
25487,10708,-920,-2818,777,2859,13,9742,-2146,-3254,-1528,2267,-1841
25497,10534,-704,-2746,584,-388,-511,9652,-2138,-3542,-2228,1141,-2020
25507,9906,-1066,-1580,239,-3914,-1210,9350,-2072,-3398,-2406,-666,-2170
25517,9612,-560,-2788,127,-6521,-1981,8826,-1698,-2988,-2585,-2303,-2360
25527,9130,-908,-2160,436,-10109,-2777,8434,-1800,-2954,-2168,-3594,-2575
25537,8926,-714,-2376,201,-11846,-3227,8422,-1758,-2586,-1791,-4802,-2851
25547,8908,-856,-2266,-57,-11982,-3384,8676,-1818,-3220,-1619,-5154,-3179
25558,9200,-732,-2130,-47,-10411,-3383,8988,-1502,-2452,-2450,-5084,-3553
25568,9392,-762,-1952,221,-8193,-3389,8922,-1624,-2588,-2688,-4599,-3761
25578,9432,-762,-2052,888,-6589,-3663,8738,-1192,-2230,-2870,-3001,-4039
25588,9226,-546,-2150,1338,-6029,-4261,8788,-1208,-2424,-3136,-1711,-4417
25598,8590,-898,-2504,1342,-7297,-4955,8778,-1492,-2992,-3903,-1661,-5034
25608,7262,-1016,-2728,1261,-10049,-5642,7330,-1478,-1874,-4199,-2258,-5494
