# label=supination
# trial=2
# subject=subject01
# captured_at=20260411_181425
ts_ms,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
7393,-562,3338,-6226,2157,-1677,-2002,1710,2484,-7526,479,2241,-619
7403,-370,3302,-6156,2150,-1658,-1662,1856,2488,-7450,517,2334,-528
7413,-298,3154,-6120,2352,-2277,-1173,1806,2530,-7302,547,1137,-507
7424,-354,2998,-6050,2556,-3417,-747,1764,2516,-7286,723,-378,-524
7434,-212,2780,-6006,2689,-4435,-467,1526,2524,-7140,759,-1392,-415
7444,-864,2550,-6280,2590,-5510,-129,986,2444,-7262,975,-1569,-262
7454,-908,2564,-6538,2195,-5372,-180,698,2380,-7376,963,-1294,-104
7464,-896,2518,-6828,1556,-4878,-211,1158,2254,-7716,762,-547,60
7474,-566,2660,-7096,1041,-4155,-85,1312,2256,-7956,507,244,156
7484,-652,2728,-7282,780,-3508,173,1254,2226,-8194,368,768,139
7494,-160,2764,-7348,661,-2907,215,1512,2362,-8446,301,814,26
7504,-66,2798,-7208,736,-2657,160,1890,2336,-8352,226,440,-208
7514,-22,2670,-7022,1016,-2923,51,1836,2274,-8232,240,137,-479
7524,-284,2600,-6822,1354,-3655,-118,1678,2270,-8050,240,22,-573
7534,-496,2502,-6730,1688,-4379,-320,1728,2452,-7844,207,-102,-568
7544,-712,2462,-6822,1834,-4852,-324,1372,2406,-7630,80,-257,-502
7554,-796,2330,-6920,1691,-4825,-463,1124,2396,-7696,-8,-393,-368
7564,-532,2434,-6828,1323,-4099,-688,1290,2324,-7674,-97,-469,-289
7574,-388,2342,-6816,997,-3224,-872,1492,2370,-7690,-220,-333,-293
7584,-368,2266,-6832,708,-2611,-840,1570,2364,-7740,-257,35,-320
7595,-358,2370,-6720,551,-2448,-742,1694,2386,-7692,-311,295,-356
7605,-516,2444,-6720,521,-2712,-549,1714,2500,-7476,-315,339,-412
7615,-356,2392,-6610,431,-3106,-269,1888,2522,-7300,-282,293,-409
7625,-304,2316,-6376,127,-3350,135,2034,2482,-7332,-189,208,-355
7635,-330,2282,-6572,-62,-3512,587,2052,2380,-7294,-75,0,-307
7645,-498,1922,-6594,-278,-3446,1028,1632,2296,-7388,65,-360,-238
7655,-458,1878,-6838,-467,-3199,1159,1340,2212,-7472,123,-711,-127
7665,-562,1724,-6850,-672,-2915,959,994,1966,-7710,38,-912,-51
7675,-394,1858,-6960,-896,-2544,621,1028,1942,-7742,-53,-726,-42
7685,-268,1878,-6912,-1209,-2083,419,1278,2000,-7824,-137,-118,-98
7695,-188,2164,-6716,-1366,-1607,266,1456,2046,-7814,-261,677,-79
7705,-72,2144,-6766,-1359,-1413,145,1512,2130,-7776,-428,1279,-43
7715,18,2258,-6748,-1291,-1432,63,1628,2162,-7846,-561,1424,-35
7725,140,2288,-6606,-1178,-1731,-5,1836,2218,-7766,-534,1149,-59
7735,100,2264,-6516,-848,-2287,52,2024,2270,-7654,-454,660,-141
7745,92,2054,-6388,-443,-3071,186,1820,2188,-7542,-369,185,-135
7755,250,2048,-6442,-139,-3721,255,1720,2132,-7460,-355,-273,-87
7766,76,1940,-6448,-29,-4107,259,1414,2144,-7346,-331,-625,-183
7776,-82,1918,-6532,-100,-4261,173,1372,2168,-7402,-278,-507,-198
7786,-38,2006,-6666,-387,-4072,47,1492,2230,-7552,-279,-262,-226
7796,100,2146,-6686,-702,-3739,-32,1760,2240,-7618,-311,21,-282
7806,0,2100,-6696,-874,-3472,-83,1688,2200,-7684,-298,217,-314
7816,54,2154,-6628,-796,-3490,-93,1740,2242,-7692,-319,124,-311
7826,262,2238,-6710,-670,-3641,-161,1846,2316,-7766,-351,-94,-328
7836,-148,2170,-6444,-517,-3841,-273,1572,2290,-7678,-358,-296,-317
7846,-126,2186,-6490,-80,-4111,-240,1558,2350,-7582,-316,-457,-273
7856,-90,2196,-6382,307,-4081,-278,1628,2386,-7390,-243,-462,-281
7866,-174,2098,-6328,569,-3848,-263,1664,2364,-7344,-154,-308,-256
7876,-164,1996,-6326,688,-3593,-164,1618,2332,-7182,-71,-108,-162
7886,-40,2014,-6402,670,-3413,5,1606,2316,-7158,-48,11,-127
7896,26,1940,-6460,505,-3356,142,1734,2326,-7338,-15,27,-168
7906,-22,1918,-6610,299,-3491,259,1662,2208,-7444,99,-1,-209
7916,32,1852,-6712,164,-3722,358,1578,2186,-7514,168,-100,-243
7926,-26,1734,-6744,51,-3894,347,1404,2082,-7592,172,-224,-283
7936,-22,1616,-6826,-28,-3977,170,1426,2046,-7630,112,-334,-315
7946,-8,1724,-6854,-129,-3835,-134,1674,2084,-7614,16,-266,-344
7956,48,1658,-6880,-322,-3509,-389,1736,2050,-7508,-104,3,-325
7966,66,1668,-6786,-499,-3179,-496,1692,2064,-7416,-199,317,-293
7976,-50,1686,-6706,-621,-3009,-494,1654,2102,-7412,-205,446,-300
7986,-80,1712,-6700,-717,-3040,-416,1666,2156,-7432,-209,352,-303
7996,16,1796,-6734,-875,-3176,-299,1754,2248,-7456,-200,136,-300
8006,-34,1802,-6648,-1062,-3417,-240,1694,2210,-7626,-145,-89,-310
8016,-132,1806,-6738,-1173,-3695,-178,1508,2092,-7740,-109,-262,-282
8026,-216,1762,-6894,-1143,-3884,-152,1380,2066,-7814,-125,-320,-233
8036,-238,1748,-6960,-1118,-3849,-214,1404,2038,-7766,-192,-188,-211
8046,-200,1764,-6920,-1181,-3513,-345,1464,2088,-7732,-266,104,-201
8056,-248,1776,-6824,-1289,-3038,-395,1474,2164,-7668,-320,514,-150
8066,-162,1906,-6844,-1368,-2595,-427,1586,2198,-7586,-377,868,-108
8076,-2,1800,-6706,-1440,-2201,-478,1866,2188,-7512,-425,1095,-83
8086,134,1958,-6544,-1476,-2017,-469,2062,2248,-7370,-417,1138,-82
8096,610,2072,-6496,-1309,-2342,-183,2100,2316,-7238,-329,977,-76
8107,636,2024,-6632,-1221,-2711,-232,2128,2304,-7316,-223,587,-85
8117,386,2000,-6708,-1276,-3369,-378,2080,2280,-7302,-109,53,-180
8127,242,1930,-6778,-1330,-4078,-451,1912,2168,-7522,-19,-443,-299
8137,84,1880,-6910,-1353,-4622,-381,1828,2008,-7864,39,-777,-347
8147,4,1884,-6930,-1255,-4773,-291,1756,1960,-7898,-13,-851,-374
8157,-88,1866,-6874,-1105,-4422,-202,1732,1978,-8042,-149,-741,-376
8167,4,1958,-6770,-960,-3805,-116,1716,1990,-7948,-287,-484,-334
8177,108,1932,-6666,-805,-3234,-70,1722,2040,-7854,-420,-219,-270
8187,164,1970,-6624,-614,-2995,-77,1736,2088,-7554,-472,30,-245
8197,98,1872,-6554,-467,-3151,-130,1736,2088,-7554,-472,30,-245
8207,84,1840,-6582,-299,-3523,-186,1826,2016,-7396,-381,-133,-208
8217,88,1794,-6516,-147,-3791,-151,1842,2026,-7276,-333,-34,-176
8227,202,1714,-6610,-189,-3820,5,1912,2020,-7318,-271,126,-115
8237,222,1638,-6678,-468,-3659,162,1950,1946,-7388,-223,161,-68
8247,244,1740,-6756,-795,-3524,364,1952,1938,-7514,-231,48,-44
8257,334,1798,-6762,-1047,-3487,495,1910,1976,-7636,-254,-89,-45
8267,290,1878,-6788,-1161,-3624,512,1860,1964,-7684,-280,-170,-74
8278,326,1820,-6728,-1057,-3851,458,1868,1916,-7724,-305,-205,-113
8288,198,1766,-6632,-845,-4004,342,1748,1970,-7562,-321,-202,-161
8298,172,1770,-6604,-706,-4025,188,1790,2022,-7466,-366,-234,-180
8308,216,1702,-6592,-671,-3889,60,1950,2004,-7374,-391,-270,-189
8318,208,1756,-6482,-680,-3738,44,1904,1948,-7294,-373,-251,-167
8328,322,1764,-6564,-737,-3635,135,1832,2014,-7364,-315,-289,-131
8338,278,1784,-6706,-878,-3599,154,1784,2058,-7410,-288,-398,-157
8348,224,1806,-6736,-1054,-3702,68,1790,2026,-7506,-268,-484,-201
8358,136,1794,-6746,-1170,-3831,12,1756,1976,-7570,-245,-417,-215
8368,202,1826,-6794,-1236,-3822,25,1858,1920,-7614,-252,-252,-238
8378,262,1846,-6626,-1251,-3651,24,1982,1960,-7524,-292,-17,-249
8388,362,1772,-6602,-1209,-3411,35,1960,1926,-7488,-349,166,-226
8398,330,1802,-6576,-1141,-3267,8,1910,1912,-7438,-399,171,-205
8408,444,1870,-6528,-1082,-3318,-48,1964,2020,-7422,-414,13,-223
8418,418,1836,-6408,-1000,-3506,-115,2008,2000,-7354,-391,-140,-246
8428,380,1886,-6360,-841,-3797,-138,1956,2032,-7320,-289,-261,-266
8438,334,1832,-6514,-726,-4030,-131,1892,2026,-7336,-195,-358,-255
8448,322,1856,-6592,-736,-4088,-116,1968,1998,-7446,-165,-391,-261
8458,266,1870,-6616,-823,-3992,-67,1918,1960,-7568,-162,-311,-258
8468,356,1888,-6680,-895,-3773,-5,1996,1958,-7632,-160,-198,-256
8478,438,1862,-6754,-907,-3534,32,2072,1948,-7558,-186,-64,-293
8488,430,1830,-6656,-861,-3401,39,1982,1920,-7460,-194,-13,-342
8498,472,1836,-6614,-876,-3425,-17,1978,1978,-7432,-196,-95,-371
8508,406,1800,-6580,-935,-3585,-93,1958,1994,-7472,-181,-234,-412
8518,322,1826,-6632,-960,-3820,-158,1934,2008,-7522,-157,-358,-439
8528,222,1852,-6624,-936,-3989,-204,1980,1952,-7572,-138,-403,-441
8538,102,1806,-6710,-857,-4029,-173,1840,1892,-7594,-135,-369,-414
8548,184,1762,-6772,-809,-3907,-124,1820,1846,-7592,-150,-277,-366
8558,316,1728,-6860,-856,-3637,-66,1930,1830,-7530,-170,-156,-366
8568,366,1692,-6714,-998,-3407,-3,1910,1774,-7574,-197,-49,-401
8578,300,1706,-6744,-1159,-3341,8,1782,1760,-7608,-215,-37,-438
8588,290,1768,-6670,-1261,-3471,-2,1870,1828,-7626,-261,-108,-466
8598,218,1866,-6660,-1262,-3683,-67,1820,1926,-7704,-306,-205,-455
8608,136,1918,-6672,-1118,-3881,-113,1816,1974,-7754,-315,-256,-420
8619,186,1954,-6680,-912,-3927,-111,1814,1948,-7806,-292,-254,-380
8629,222,1962,-6770,-736,-3805,-107,1840,1940,-7808,-274,-236,-361
8639,250,1912,-6704,-613,-3630,-133,1790,1994,-7676,-332,-305,-384
8649,286,1944,-6778,-558,-3511,-251,1844,2090,-7602,-333,-305,-437
8659,210,1920,-6758,-551,-3480,-403,1870,2088,-7620,-293,-147,-452
8669,210,1920,-6758,-551,-3480,-403,1892,2044,-7620,-267,47,-451
8679,232,1940,-6866,-585,-3460,-383,1914,2058,-7654,-291,174,-442
8689,398,1876,-6900,-867,-3030,-382,1934,1976,-7690,-326,199,-443
8699,456,1956,-6918,-1027,-2842,-433,2006,2008,-7672,-354,130,-471
8709,456,1956,-6918,-1027,-2842,-433,2078,2058,-7656,-364,12,-527
8719,278,1982,-6768,-1152,-3085,-455,1968,2062,-7724,-338,-123,-560
8729,212,1976,-6742,-1055,-3523,-417,1834,2050,-7710,-334,-318,-557
8739,-46,1948,-6682,-920,-3877,-368,1664,2040,-7630,-346,-485,-526
8749,-160,1928,-6646,-795,-4024,-242,1506,2072,-7610,-345,-506,-464
8759,-108,1974,-6590,-773,-3840,-106,1556,2032,-7620,-325,-386,-387
8769,-64,1922,-6662,-754,-3489,72,1628,2078,-7602,-318,-133,-340
8779,-26,1914,-6650,-714,-3186,217,1578,2050,-7546,-323,120,-269
8790,30,1846,-6646,-706,-3051,236,1512,1996,-7558,-356,200,-217
8800,146,1846,-6712,-734,-3119,182,1586,1994,-7444,-372,169,-204
8810,260,1930,-6700,-839,-3312,89,1700,2036,-7494,-363,96,-205
8820,260,1954,-6724,-990,-3495,46,1732,2054,-7478,-346,13,-215
8830,244,1960,-6632,-1135,-3620,14,1760,2104,-7512,-366,-56,-215
8840,238,1996,-6714,-1198,-3710,9,1828,2096,-7570,-392,-97,-211
8850,172,1990,-6624,-1164,-3800,74,1846,2042,-7572,-406,-111,-200
8860,170,1956,-6682,-1108,-3897,171,1770,2058,-7532,-399,-148,-178
8870,218,1954,-6622,-1088,-3948,239,1744,2026,-7540,-392,-219,-154
8880,328,1926,-6652,-1107,-3896,238,1728,2026,-7532,-393,-298,-150
8890,330,1968,-6664,-1142,-3780,145,1786,2050,-7560,-425,-300,-178
8900,374,1956,-6606,-1158,-3656,7,1818,2050,-7454,-444,-226,-205
8910,394,2010,-6674,-1165,-3586,-122,1878,2040,-7568,-463,-154,-230
8920,316,2020,-6628,-1186,-3556,-193,1876,2108,-7556,-460,-97,-255
8930,396,2046,-6600,-1175,-3606,-197,2002,2106,-7574,-467,-84,-249
8940,396,2068,-6610,-1115,-3687,-149,2056,2148,-7532,-451,-126,-234
8950,428,2026,-6682,-1012,-3767,-80,2024,2020,-7548,-423,-194,-233
8960,424,1988,-6634,-897,-3838,-48,1890,2008,-7568,-387,-327,-254
8970,324,1886,-6680,-784,-3911,-131,1716,1950,-7628,-389,-503,-277
8980,374,1898,-6706,-698,-3916,-338,1718,1898,-7612,-405,-596,-297
8990,362,1890,-6748,-686,-3698,-607,1740,1878,-7592,-450,-521,-343
9000,400,1910,-6664,-783,-3275,-854,1836,1958,-7596,-476,-246,-362
9010,500,1856,-6546,-845,-2875,-949,1984,1944,-7492,-515,124,-368
9020,504,1888,-6538,-834,-2702,-877,2112,1990,-7338,-546,426,-373
9030,466,1966,-6538,-832,-2798,-715,2072,2042,-7446,-560,502,-375
9040,468,1932,-6768,-807,-3099,-511,2042,2014,-7588,-539,339,-404
9050,268,2046,-6502,-720,-3401,-401,1688,1940,-7806,-509,67,-411
9060,864,1846,-6946,-545,-3297,-646,1752,1936,-7832,-477,-132,-335
9070,482,1782,-6928,-470,-3072,-1083,1960,1906,-7860,-516,-126,-377
9080,152,1782,-6900,-435,-3099,-1251,1858,1954,-7590,-596,180,-318
9090,-8,1802,-6782,-577,-3499,-1014,1858,1954,-7590,-596,180,-318
9100,18,1770,-6898,-837,-3961,-584,1840,2012,-7530,-669,117,-195
9110,4,1750,-6908,-1215,-4183,-123,1782,2046,-7422,-525,-94,-65
9120,-62,1774,-6824,-1676,-4116,328,1736,2064,-7414,-432,-216,21
9131,-132,1964,-6812,-2203,-3929,748,1810,2130,-7440,-448,-166,130
9141,92,2100,-6818,-2691,-3669,1177,1916,2078,-7524,-504,27,204
9151,380,2086,-6742,-3095,-3504,1478,1952,2040,-7636,-537,239,182
9161,440,2062,-6624,-3257,-3651,1641,1854,1962,-7686,-532,287,157
9171,312,2136,-6540,-3113,-4055,1619,1664,2020,-7728,-588,60,170
9181,314,2210,-6442,-2795,-4436,1380,1730,2068,-7736,-678,-230,181
9191,302,2334,-6506,-2377,-4555,1028,1856,2132,-7754,-742,-392,158
9201,300,2374,-6524,-1978,-4414,749,1782,2124,-7674,-740,-349,144
9211,102,2396,-6434,-1642,-4093,588,1624,2156,-7478,-742,-219,194
9221,74,2336,-6246,-1321,-3798,474,1566,2146,-7420,-815,-128,249
9231,212,2410,-6156,-1002,-3531,323,1760,2222,-7250,-826,13,251
9241,462,2452,-6068,-700,-3284,193,2076,2266,-7162,-778,191,184
9251,808,2440,-6184,-467,-3043,73,2398,2280,-7164,-644,364,93
9261,1090,2378,-6128,-307,-2953,-35,2574,2248,-7128,-542,339,1
9271,1044,2432,-6198,-235,-3255,-80,2440,2294,-7066,-442,-21,-67
9281,724,2294,-6318,-205,-4008,-91,2188,2206,-7220,-348,-732,-106
9291,544,2320,-6370,-277,-4903,-20,1990,2156,-7322,-242,-1401,-167
9302,434,2248,-6418,-278,-5470,52,1860,2080,-7498,-171,-1691,-222
9312,366,2184,-6416,-176,-4801,-66,1928,2098,-7510,-142,-1500,-250
9322,332,2108,-6424,-127,-4052,-54,1932,2078,-7408,-176,-944,-246
9332,324,2082,-6466,-98,-3586,-19,1942,2052,-7270,-241,-323,-180
9342,334,2066,-6502,-153,-3578,-54,1848,2132,-7228,-299,-11,-138
9352,494,2098,-6520,-263,-3754,-148,1874,2106,-7262,-252,-14,-154
9362,584,2106,-6570,-343,-3918,-255,2110,2060,-7304,-180,-151,-190
9372,560,2108,-6620,-366,-4003,-283,2288,2052,-7362,-113,-242,-241
9382,540,2062,-6676,-371,-4091,-136,2314,2032,-7472,-77,-264,-260
9392,352,2012,-6790,-383,-4300,25,2180,2004,-7626,-74,-303,-237
9402,214,2026,-6860,-420,-4613,99,1952,2008,-7642,-105,-453,-186
