# label=ulnar_deviation
# trial=3
# subject=subject01
# captured_at=20260411_175623
ts_ms,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
15027,-11366,-1174,-124,1366,-24505,-11103,-10254,-1440,-814,5082,-22194,-6047
15037,-12154,-1182,-250,2535,-17509,-9973,-9698,-2920,-314,2924,-18576,-5924
15047,-11942,-2228,140,3885,-10448,-8858,-9516,-2174,1026,-608,-13229,-5417
15057,-12032,-2582,1490,4281,-4501,-7419,-10618,-2312,1956,-219,-3909,-4854
15067,-11152,-2240,1074,3047,-1397,-4807,-9600,-1882,2432,-1151,979,-3899
15077,-10924,-2632,2544,1766,802,-3870,-9216,-1744,2442,-2426,-1671,-3306
15087,-9796,-3162,2834,438,843,-3366,-10350,-1794,2684,-1629,1039,-2493
15097,-10576,-2440,2622,-1127,957,-3018,-9780,-1650,2552,-1170,-772,-1821
15107,-10224,-2958,2498,-2132,961,-2773,-9544,-2024,2122,-597,-1378,-1587
15117,-9812,-2920,2656,-2982,443,-2046,-9800,-2090,1466,-15,215,-1235
15127,-10386,-2620,2320,-3367,301,-1282,-8952,-2200,1034,-439,-1365,-974
15137,-9594,-2190,2288,-2910,-120,-318,-9210,-2056,1126,-215,-1776,-828
15147,-9676,-1960,2186,-2011,-1014,239,-9288,-2232,1116,58,-1227,-543
15157,-9338,-2092,2492,-992,-1782,250,-9110,-2102,1388,18,-2580,-344
15167,-9492,-2074,2522,-229,-2730,209,-9500,-1844,1920,58,-2759,-235
15177,-9420,-2148,2594,223,-2960,-33,-9684,-1716,2106,31,-2458,-178
15187,-9516,-2476,2616,311,-2283,-219,-9608,-1800,1930,-270,-1862,-246
15197,-9626,-2552,2632,353,-972,-200,-9466,-1930,1892,-372,-310,-404
15207,-9692,-2550,2480,343,412,34,-9400,-2044,1914,-221,1225,-445
15217,-9574,-2494,2446,401,1604,230,-9222,-2108,1716,-191,2161,-309
15227,-9180,-2268,2568,637,2308,295,-8718,-1978,1782,-300,2384,-25
15237,-9032,-2108,2604,780,2398,357,-8566,-1850,2062,-366,1720,240
15247,-8834,-1994,2556,691,2113,591,-8556,-1650,2100,-344,896,481
15257,-8710,-2006,2540,465,1875,956,-8602,-1614,2094,-309,840,619
15267,-8912,-1990,2422,157,2042,1287,-8782,-1626,1918,-326,1588,631
15277,-9210,-1964,2232,-71,2710,1573,-9166,-1708,1630,-425,2850,547
15287,-9170,-2010,2138,7,3906,1790,-9018,-1822,1178,-593,4313,476
15297,-9218,-1726,1854,492,5284,1996,-8988,-1802,776,-862,6463,457
15307,-9252,-1522,1484,1123,6357,2165,-8980,-1684,758,-1219,7255,606
15318,-9184,-1410,1220,1761,7378,2363,-8700,-1600,824,-1694,8441,768
15328,-9358,-1122,746,2324,8656,2691,-9454,-1702,1122,-2353,11077,993
15338,-10114,-1038,-58,2455,10747,3243,-10638,-1716,1118,-3271,16387,1419
15348,-11902,-1638,-724,1635,14723,3969,-10624,-1884,1546,-4524,23181,1986
15358,-12542,-2138,-752,475,21112,4694,-11954,-2320,648,-5665,31223,3162
15368,-13854,-2670,-566,-1134,30283,5525,-12376,-2468,790,-7255,32767,4459
15378,-14364,-3496,5096,-3451,32105,6768,-12156,-3592,1786,-8294,32767,5329
15388,-12018,-2646,-1020,-5982,23561,3304,-10264,-2264,1366,-8694,32767,6111
15398,-12292,-3418,4166,-3037,21458,1422,-7510,-1698,708,-8852,32767,6016
15408,-11664,-2428,5134,-87,31493,2717,-6106,-1444,356,-7961,32767,6976
15418,-8630,-4896,4218,241,32105,2235,-3788,-686,1180,-6589,32767,7918
15428,-6740,-2046,9234,1564,32105,4569,-846,-356,-312,-2312,32767,7955
15438,-698,-1248,1596,-7792,32105,5724,266,-228,-1596,-386,32767,6696
15448,-698,-1248,1596,-7792,32105,5724,3116,-444,-2980,1465,32767,5038
15458,642,-1978,-1264,-11801,32105,7629,4204,-646,-4584,1689,32767,4097
15468,5858,74,-5598,-8622,32105,11759,5892,-482,-5368,796,32767,3721
15478,6918,280,-7050,-5589,32105,11265,7080,-292,-7618,-726,32767,3060
15488,6918,280,-7050,-5589,32105,11265,8674,-242,-7664,-4402,32767,2111
15498,6750,1186,-7732,-7124,21877,8426,8666,-32,-8264,-5265,25559,1299
15508,4446,1532,-7668,-8065,13786,7496,6690,198,-8382,-3677,19560,1200
15518,5490,2010,-6904,-8995,6307,5836,5530,198,-8926,-4457,12427,1315
15528,4222,2240,-6750,-8501,-1059,3715,4786,414,-7890,-4476,4462,1160
15538,3912,2064,-6428,-7119,-6528,1036,4710,300,-7964,-3977,-1254,792
15548,2638,1858,-5640,-4892,-10311,-1365,4180,366,-7872,-2880,-4354,484
15558,1540,1696,-5238,-2462,-11673,-3179,3510,202,-7436,-2847,-4918,237
15568,896,1708,-5090,-250,-11028,-4522,3268,312,-7046,-3293,-4692,97
15578,-436,964,-5196,719,-9040,-5408,4202,662,-8452,-3116,-3861,23
15588,-756,1406,-6060,1256,-5626,-5822,1436,746,-6234,-3039,-3205,-64
15598,-952,1772,-5172,2571,-4156,-5267,2360,770,-5510,-3927,-2657,146
