# label=extension
# trial=13
# subject=subject01
# captured_at=20260411_174756
ts_ms,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
63864,64,-516,-8008,-317,-29,1008,1618,2498,-7428,-379,248,160
63874,64,-516,-8008,-317,-29,1008,1600,2530,-7336,-309,209,147
63884,282,-458,-8062,-333,-724,698,1668,2620,-7196,-273,89,90
63894,100,-650,-7968,-507,-850,353,1588,2552,-7388,-181,-117,-10
63904,102,-720,-8094,-635,-797,91,1482,2408,-7590,-148,-245,-112
63915,-136,-662,-8150,-673,-681,-122,1340,2348,-7718,-126,-94,-170
63925,46,-472,-8114,-632,-570,-239,1476,2420,-7668,-248,257,-222
63935,20,-314,-7936,-631,-452,-156,2096,2806,-7180,-482,1066,-453
63945,180,-110,-7902,-730,-463,62,2086,2956,-6874,-383,1117,-532
63955,390,-30,-7852,-955,-499,280,1908,2980,-6662,-194,795,-613
63965,758,-48,-7796,-1325,-534,290,1784,2876,-6908,35,185,-713
63975,1050,-162,-8326,-1787,-521,-174,1472,2810,-7572,273,-465,-847
63985,828,-476,-8524,-2150,-468,-1127,1808,2664,-8248,385,-625,-1080
63995,506,-522,-8612,-1945,-699,-1896,2364,2620,-8486,361,-1,-1457
64005,124,-744,-8662,-1273,-1235,-2164,2376,2486,-8268,255,893,-1698
64015,-226,-704,-8564,-491,-1782,-1992,2076,2488,-7922,199,999,-1748
64025,-920,-1022,-8006,34,-2102,-1553,1406,2338,-7640,19,282,-1657
64035,-1316,-1092,-7752,304,-2186,-1020,668,2302,-7368,133,-771,-1427
64045,-1388,-1166,-7836,279,-1892,-623,402,2252,-7654,283,-1676,-1127
64055,-1544,-1292,-7786,64,-1266,-415,416,2112,-7590,483,-1887,-884
64065,-1566,-1602,-7702,-169,-629,-128,272,1854,-7634,496,-1062,-625
64075,-1104,-1602,-7836,-346,-163,17,284,1766,-7738,442,-68,-218
64086,-732,-1518,-7824,-446,76,-61,902,1812,-7534,155,941,5
64096,-458,-1338,-7798,-467,34,-39,1386,1836,-7302,-28,1623,36
64106,-280,-1244,-7768,-556,-159,106,1584,2012,-7064,-124,1621,67
64116,-62,-916,-7700,-685,-335,261,1600,2122,-6942,-98,1025,63
64126,-48,-664,-7786,-1018,-376,410,1608,2376,-6948,-10,148,7
64136,-194,-684,-7672,-1388,-344,482,1402,2424,-6966,88,-551,-48
64146,-458,-736,-7780,-1767,-277,481,870,2308,-6980,284,-785,4
64156,-484,-864,-7708,-2132,-204,355,818,2280,-7208,381,-466,141
64166,-398,-838,-7844,-2405,-130,174,1008,2284,-7488,270,138,253
64176,-298,-952,-8062,-2605,29,24,1256,2268,-7696,37,926,372
64186,-140,-778,-8150,-2630,218,-44,1714,2296,-7816,-83,1761,405
64196,198,-720,-8362,-2490,320,23,1970,2358,-8078,-110,2222,336
64206,282,-608,-8484,-2141,259,63,2292,2476,-8044,-161,2094,194
64216,350,-518,-8368,-1716,43,164,2376,2474,-7884,-126,1523,10
64226,318,-464,-8334,-1308,-276,249,2160,2474,-7666,-103,631,-117
64236,230,-296,-8222,-1021,-590,297,1862,2598,-7362,-69,-243,-198
64246,-78,-238,-8082,-953,-780,253,1490,2690,-7296,-56,-730,-210
64256,-402,-342,-7970,-1009,-864,176,1252,2632,-7278,82,-797,-206
64266,-500,-548,-7908,-1130,-801,154,1120,2542,-7376,186,-570,-192
64276,-596,-640,-7918,-1293,-584,169,1224,2416,-7398,288,-143,-119
64286,-638,-782,-7962,-1456,-273,294,1164,2306,-7520,345,440,-10
64296,-296,-478,-8040,-1585,38,428,1370,2318,-7518,429,876,138
64306,-232,-464,-8216,-1720,287,475,1438,2450,-7758,368,1066,256
64316,-290,-514,-8260,-1752,310,415,1462,2400,-7900,323,1074,276
64326,-150,-476,-8332,-1588,77,366,1544,2362,-7882,292,977,230
64336,-124,-334,-8228,-1389,-207,358,1556,2492,-7816,255,892,182
64346,-146,-370,-8356,-1240,-388,328,1520,2456,-7938,162,866,153
