# label=flexion
# trial=19
# subject=subject01
# captured_at=20260411_174625
ts_ms,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
95398,-102,2548,-7542,795,-1855,-601,1568,688,-7854,328,-711,-35
95408,-200,2530,-7582,785,-1815,-562,1536,680,-7958,373,-624,-63
95418,-222,2598,-7570,877,-1785,-548,1592,628,-7912,397,-533,-71
95428,-318,2468,-7596,1057,-1814,-503,1526,616,-7900,409,-464,-35
95438,-360,2420,-7660,1278,-1879,-469,1528,636,-7854,404,-411,35
95448,-346,2434,-7724,1443,-1902,-467,1594,646,-7836,380,-317,90
95458,-368,2334,-7822,1503,-1856,-388,1428,646,-7884,352,-198,128
95468,-402,2302,-7930,1439,-1784,-299,1462,648,-7962,320,-113,160
95478,-238,2372,-7994,1044,-1345,-304,1536,678,-7940,245,-26,127
95488,-238,2372,-7994,1044,-1345,-304,1618,668,-8002,178,101,56
95498,-192,2374,-8018,828,-1105,-329,1648,614,-7952,130,183,-14
95508,-156,2368,-7860,565,-1039,-419,1568,666,-7846,140,154,-70
95518,-198,2394,-7696,475,-1232,-539,1536,690,-7834,110,-47,-120
95528,-248,2370,-7674,412,-1501,-666,1522,696,-7808,107,-310,-170
95538,-312,2404,-7610,392,-1746,-772,1508,650,-7888,127,-583,-203
95548,-316,2406,-7644,448,-1880,-843,1478,640,-7896,208,-774,-231
95558,-464,2486,-7626,571,-1933,-856,1464,608,-7980,279,-888,-253
95568,-560,2444,-7680,706,-1962,-840,1418,652,-7926,328,-969,-250
95578,-578,2392,-7736,833,-2001,-795,1362,714,-7900,297,-1050,-208
95588,-606,2402,-7762,944,-2031,-709,1318,608,-7928,315,-1100,-158
95598,-716,2256,-7840,1015,-2054,-613,1158,564,-7940,344,-1105,-145
95608,-710,2238,-7806,1018,-2058,-571,1164,464,-7946,353,-1122,-111
95618,-658,2182,-7810,963,-1935,-578,1040,494,-7942,306,-1037,-107
95628,-708,2184,-7858,844,-1712,-599,1066,558,-7840,279,-880,-100
95638,-634,2266,-7850,675,-1447,-630,1092,536,-7974,228,-644,-103
95648,-686,2330,-7868,520,-1191,-610,1074,486,-8032,179,-382,-142
95659,-634,2404,-7754,430,-1027,-602,1154,420,-8018,144,-132,-187
95669,-582,2332,-7750,413,-982,-646,1074,572,-8032,105,19,-216
95679,-692,2338,-7638,478,-1084,-688,1142,676,-7800,41,-22,-211
95689,-632,2436,-7550,543,-1317,-700,1226,618,-7862,36,-136,-189
95699,-722,2272,-7536,617,-1566,-675,1078,642,-7800,87,-313,-160
95709,-734,2292,-7568,659,-1812,-655,1026,616,-7882,178,-568,-134
95719,-854,2290,-7618,662,-1980,-590,980,586,-7794,270,-770,-133
95729,-940,2306,-7686,614,-2040,-518,920,594,-7862,332,-884,-117
95739,-1026,2302,-7778,575,-1961,-439,824,560,-7992,340,-891,-114
95749,-1008,2266,-7872,554,-1701,-371,756,448,-8136,301,-753,-121
95759,-1042,2274,-7892,544,-1338,-328,786,410,-8042,263,-494,-131
95769,-948,2276,-7830,462,-977,-322,758,456,-8020,239,-162,-123
95779,-934,2310,-7756,321,-709,-317,768,468,-8004,163,77,-96
95789,-878,2340,-7688,133,-576,-350,750,534,-8046,100,252,-60
95799,-830,2430,-7662,0,-555,-407,828,542,-8040,67,313,-27
95809,-844,2538,-7714,-29,-655,-425,914,532,-8148,60,303,-31
95819,-896,2574,-7662,63,-829,-408,922,498,-8078,77,267,-35
95830,-894,2576,-7654,266,-1004,-394,924,582,-8026,42,209,-17
95840,-908,2528,-7546,518,-1154,-374,864,612,-7930,9,153,-3
95850,-894,2462,-7500,780,-1278,-361,888,616,-7858,26,92,23
95860,-920,2426,-7476,977,-1357,-341,766,560,-7874,75,53,59
95870,-970,2356,-7636,1095,-1362,-321,722,526,-7912,126,19,83
95880,-958,2306,-7690,1132,-1267,-353,740,550,-7858,136,27,80
95890,-992,2260,-7730,1096,-1099,-413,776,538,-7926,127,103,76
95900,-906,2316,-7688,987,-918,-467,866,564,-7882,117,240,71
95910,-846,2390,-7700,828,-731,-479,912,588,-7844,107,421,47
95920,-806,2456,-7662,676,-604,-481,978,590,-8010,117,572,7
95930,-822,2484,-7684,602,-617,-442,950,566,-8036,128,612,-31
95940,-850,2428,-7734,633,-780,-393,910,512,-8100,163,515,-41
95950,-874,2408,-7718,742,-1010,-370,936,498,-8130,173,290,-46
95960,-922,2386,-7758,874,-1235,-343,926,482,-8072,165,88,-52
95970,-952,2342,-7820,1017,-1389,-317,810,454,-8062,175,-30,-35
95980,-1040,2290,-7844,1111,-1415,-310,766,514,-7964,150,-90,-7
95990,-1018,2222,-7870,1098,-1320,-358,756,512,-7922,105,-85,18
96000,-1036,2198,-7840,961,-1123,-412,726,532,-7920,65,0,46
96010,-910,2292,-7810,722,-899,-468,844,566,-7936,15,110,51
96020,-952,2346,-7776,483,-708,-443,856,548,-7904,0,273,33
96030,-980,2374,-7694,346,-651,-376,808,516,-7946,6,378,41
96040,-906,2336,-7536,362,-745,-329,820,550,-7892,12,383,59
96050,-928,2336,-7432,455,-923,-302,912,530,-7864,40,298,64
96060,-938,2332,-7412,574,-1124,-255,840,490,-7882,94,218,76
96070,-996,2356,-7490,684,-1270,-149,812,466,-7930,157,198,96
96080,-1028,2396,-7510,775,-1297,-56,876,550,-8000,183,236,112
96090,-972,2396,-7626,874,-1188,6,854,576,-7930,195,339,128
96100,-1010,2374,-7700,970,-993,49,784,556,-7970,187,448,150
96110,-906,2364,-7772,997,-779,33,820,496,-7922,160,528,167
96120,-870,2262,-7832,946,-578,-50,784,480,-7876,125,563,154
96130,-842,2134,-7886,837,-448,-195,844,406,-7886,102,525,120
96140,-740,2152,-7798,673,-439,-375,900,364,-7906,69,451,53
96150,-748,2194,-7730,467,-519,-501,934,398,-7886,29,370,-27
96160,-846,2316,-7720,255,-987,-618,954,460,-7948,10,289,-84
96171,-934,2392,-7624,334,-1227,-591,936,452,-7962,43,199,-108
96181,-1004,2362,-7650,504,-1401,-541,862,422,-8092,49,98,-121
96191,-1102,2314,-7660,683,-1477,-490,786,426,-8064,81,-17,-99
96201,-1106,2346,-7658,802,-1432,-446,750,444,-8060,132,-150,-67
96211,-1060,2264,-7646,841,-1254,-366,708,406,-7968,168,-174,-10
96221,-1082,2230,-7740,821,-1027,-281,708,406,-7968,168,-174,-10
96231,-1028,2224,-7772,763,-781,-243,634,346,-7992,205,-18,-12
96241,-1018,2184,-7722,674,-586,-259,742,374,-7946,159,360,-34
96251,-958,2206,-7764,577,-499,-293,742,352,-7934,127,478,-34
96261,-950,2268,-7740,505,-527,-334,766,392,-8018,89,504,-44
96271,-926,2288,-7702,451,-633,-365,752,436,-7978,74,482,-63
96281,-984,2306,-7640,442,-788,-411,782,510,-7918,96,390,-68
96291,-980,2364,-7658,460,-940,-454,786,518,-8048,108,276,-47
96301,-1044,2350,-7702,505,-1041,-457,764,472,-8034,123,223,-27
96311,-1018,2392,-7778,553,-1065,-415,794,492,-8056,138,214,-13
96321,-1048,2432,-7768,578,-1015,-337,794,446,-8176,119,250,-30
96331,-1068,2352,-7826,604,-916,-241,696,424,-8070,119,335,-41
96342,-1064,2276,-7902,621,-818,-212,636,402,-8002,78,349,-44
96352,-1044,2238,-7748,606,-743,-256,636,390,-7976,52,309,-78
96362,-1068,2272,-7750,563,-758,-342,650,418,-7978,25,225,-86
96372,-1050,2328,-7726,485,-818,-401,720,466,-7944,-11,180,-89
96382,-1062,2342,-7646,435,-907,-412,646,452,-8020,-26,183,-79
96392,-1114,2336,-7658,460,-1014,-428,578,420,-8078,-11,176,-72
96402,-1162,2286,-7714,548,-1067,-459,616,376,-8034,2,146,-62
96412,-1130,2254,-7624,627,-1036,-508,598,372,-7966,20,109,-64
96422,-1146,2248,-7570,666,-983,-509,632,412,-7880,37,77,-58
96432,-1100,2334,-7550,642,-957,-464,678,452,-7960,48,65,-36
96442,-1130,2356,-7582,608,-950,-368,668,414,-7970,45,128,-13
96452,-1136,2360,-7600,653,-966,-286,654,412,-7930,61,212,12
96462,-1140,2332,-7634,779,-1010,-248,612,446,-7976,68,248,34
96472,-1136,2334,-7612,895,-1054,-224,602,486,-7956,72,255,58
96482,-1146,2282,-7578,955,-1069,-215,526,462,-7874,54,271,65
96492,-1142,2262,-7724,961,-1046,-238,564,492,-7896,69,314,77
96502,-1122,2324,-7662,939,-961,-257,618,460,-7936,73,417,91
96512,-1078,2352,-7720,893,-811,-270,718,482,-8008,58,568,95
96522,-1022,2302,-7694,854,-665,-287,730,476,-7980,25,717,115
96532,-1024,2310,-7674,848,-577,-281,758,460,-8038,12,798,129
96542,-1000,2318,-7720,888,-583,-271,768,486,-8010,9,782,106
96552,-972,2350,-7726,935,-700,-261,772,506,-8048,28,681,91
96562,-944,2346,-7778,974,-871,-248,778,478,-7988,31,543,69
96572,-986,2286,-7758,1022,-1037,-252,738,486,-8010,33,433,49
96582,-1026,2210,-7798,1054,-1161,-293,678,476,-7958,39,293,42
96592,-1056,2148,-7792,1027,-1198,-355,608,424,-7890,33,181,39
96602,-1066,2098,-7766,924,-1136,-437,618,330,-7926,57,86,18
96612,-1120,2176,-7770,745,-1037,-491,648,428,-7928,51,35,-2
96622,-1128,2250,-7798,560,-937,-476,670,450,-7994,44,51,-12
96632,-1184,2228,-7754,459,-870,-419,628,404,-8072,36,149,-9
96642,-1234,2300,-7698,481,-839,-356,592,436,-8082,34,274,13
96652,-1156,2282,-7736,565,-837,-313,626,430,-8096,33,363,34
96662,-1184,2290,-7726,667,-870,-263,666,376,-8154,50,422,55
96672,-1164,2248,-7698,742,-904,-185,662,368,-8122,63,488,92
96683,-1100,2214,-7814,790,-912,-120,664,402,-8086,51,500,127
96693,-1110,2110,-7822,808,-889,-67,616,300,-8042,4,471,170
96703,-1072,2084,-7886,788,-840,-95,732,342,-8034,-3,435,146
96713,-1020,2118,-7906,704,-745,-151,724,348,-8032,-43,486,109
96723,-1032,2152,-7682,472,-650,-198,632,356,-7928,-75,511,91
96733,-1032,2152,-7682,472,-650,-198,680,448,-8034,-87,479,88
96743,-1068,2194,-7696,409,-727,-244,728,448,-7958,-97,459,88
96753,-1148,2198,-7582,519,-945,-230,720,412,-8086,-61,458,87
96763,-1150,2208,-7668,650,-1003,-187,636,414,-8010,-16,464,114
96773,-1150,2208,-7668,650,-1003,-187,768,366,-8050,18,488,153
96783,-1082,2190,-7758,853,-829,-29,774,428,-8020,26,600,165
96793,-1072,2160,-7834,905,-632,16,672,374,-7990,35,745,192
96803,-984,2154,-7862,891,-415,-36,732,358,-7970,9,825,210
96813,-916,2066,-7900,793,-210,-109,810,412,-7950,-57,870,200
96823,-850,2160,-7826,637,-157,-180,814,372,-7940,-79,867,182
96833,-814,2184,-7790,452,-228,-225,858,372,-7974,-103,796,136
96843,-864,2220,-7762,341,-371,-259,842,400,-7972,-117,717,86
96854,-846,2266,-7722,360,-561,-317,858,424,-8036,-119,628,36
96864,-920,2252,-7646,477,-726,-360,854,438,-7970,-106,569,11
96874,-908,2272,-7676,619,-813,-365,852,450,-7978,-70,541,11
96884,-938,2190,-7652,719,-821,-317,890,394,-7966,-45,541,11
96894,-952,2192,-7690,788,-727,-262,846,374,-7940,-27,577,8
96904,-952,2122,-7704,827,-623,-216,846,380,-7894,-23,607,9
96914,-906,2012,-7814,826,-526,-201,802,370,-7874,-17,624,12
96924,-888,2026,-7738,773,-476,-242,768,362,-7882,-10,582,10
96934,-856,2074,-7728,667,-449,-289,792,316,-7832,-42,515,-7
96944,-818,2106,-7696,535,-460,-319,840,374,-7828,-71,497,-42
96954,-854,2088,-7600,443,-507,-340,800,378,-7814,-82,503,-76
96964,-824,2148,-7612,418,-590,-390,818,412,-7830,-72,482,-96
96974,-854,2140,-7526,444,-663,-437,848,416,-7784,-51,444,-124
96984,-922,2126,-7494,508,-747,-414,830,416,-7840,-24,423,-127
96994,-918,2126,-7560,620,-802,-370,814,358,-7880,36,414,-117
97004,-914,2130,-7574,766,-789,-326,834,386,-7858,88,420,-109
97014,-934,2114,-7586,894,-735,-312,816,344,-7858,116,465,-113
97024,-928,2096,-7626,980,-707,-318,816,374,-7848,122,492,-105
97034,-926,2080,-7680,989,-695,-306,836,432,-7832,94,507,-84
97044,-944,2074,-7732,949,-722,-314,748,416,-7848,89,500,-67
97054,-1016,2072,-7752,879,-785,-330,666,346,-7880,90,445,-66
97064,-1044,2050,-7710,806,-873,-383,578,328,-7892,82,368,-55
97074,-984,2112,-7708,709,-905,-439,676,406,-7998,87,287,-30
97084,-974,2156,-7590,615,-849,-443,770,390,-7838,61,282,-31
97094,-986,2208,-7570,545,-809,-388,776,406,-7944,40,373,-17
97104,-956,2168,-7594,521,-759,-292,756,384,-7920,46,475,7
97114,-894,2150,-7558,526,-714,-229,810,392,-7882,67,554,32
97124,-866,2188,-7558,553,-702,-188,828,420,-8008,78,544,37
97134,-834,2188,-7594,577,-737,-177,846,428,-7906,124,409,7
97144,-790,2222,-7502,635,-785,-202,852,480,-7818,148,323,-25
97154,-840,2258,-7526,707,-867,-253,852,480,-7818,148,323,-25
97164,-866,2176,-7580,776,-977,-337,760,490,-7878,193,188,-80
97174,-850,2182,-7584,831,-1083,-451,782,476,-7746,226,115,-110
97184,-926,2124,-7598,885,-1146,-560,778,400,-7880,277,83,-135
97195,-1002,2150,-7598,954,-1200,-603,710,414,-7888,320,59,-149
97205,-1030,2102,-7624,1011,-1243,-605,690,392,-7976,380,62,-166
97215,-1064,2134,-7702,1094,-1251,-592,696,404,-8070,375,105,-179
97225,-1130,2146,-7822,1172,-1246,-562,722,400,-8080,390,183,-154
97235,-1166,2170,-7838,1246,-1216,-512,752,338,-8184,386,322,-114
97245,-1168,2114,-8018,1299,-1134,-444,742,302,-8200,326,485,-61
97255,-1118,2062,-8054,1320,-1038,-382,782,266,-8190,268,609,-13
97265,-1098,1990,-8088,1302,-938,-339,728,202,-8200,207,656,19
97275,-1090,1868,-8160,1210,-827,-334,714,148,-8200,168,629,2
97285,-1090,1902,-8194,1077,-749,-355,776,224,-8122,124,569,-21
97295,-1046,1992,-8100,894,-729,-334,876,378,-8106,71,535,-26
97305,-1016,2028,-8044,686,-735,-305,824,370,-8064,34,542,-22
97315,-1092,2080,-8002,562,-817,-234,798,410,-8168,15,519,18
97325,-1054,2098,-7942,482,-891,-236,794,408,-8166,-35,478,66
97335,-1068,2068,-7932,447,-907,-247,806,324,-8104,-95,430,85
97345,-1032,2030,-7902,451,-894,-243,836,268,-8120,-58,380,102
97355,-1022,2028,-7786,486,-839,-222,810,252,-8062,-43,360,84
97366,-1048,1976,-7850,516,-746,-187,810,226,-8000,-36,403,62
97376,-982,1982,-7794,553,-612,-155,876,312,-7946,-45,455,66
97386,-926,1974,-7772,551,-595,-135,872,340,-7910,-74,527,96
97396,-890,1944,-7760,518,-600,-122,854,312,-7928,-88,587,138
97406,-918,2034,-7692,492,-637,-120,892,314,-7912,-104,572,170
97416,-924,2040,-7762,474,-701,-128,852,306,-7900,-90,533,182
97426,-912,2070,-7682,472,-759,-155,856,402,-7942,-68,463,179
97436,-944,2106,-7670,481,-776,-153,848,406,-7918,-58,401,156
97446,-940,2094,-7622,505,-742,-133,896,442,-7960,-45,454,151
97456,-902,2132,-7644,533,-651,-119,846,412,-8006,-27,567,167
97466,-852,2102,-7694,561,-539,-77,924,478,-7886,-25,694,187
97476,-792,2100,-7670,582,-432,-29,944,394,-7902,-22,826,202
97486,-790,2090,-7704,601,-379,-1,936,376,-7892,-13,930,207
97496,-772,2080,-7696,617,-399,4,940,342,-7870,0,937,193
97506,-742,2092,-7710,614,-467,-11,936,318,-7866,16,861,164
97516,-712,2102,-7678,604,-546,-59,932,338,-7956,17,759,136
97526,-704,2010,-7728,591,-628,-113,938,328,-7918,14,654,96
97536,-730,2064,-7658,565,-708,-210,890,290,-7830,5,563,42
97546,-752,2038,-7578,517,-783,-310,930,384,-7914,28,425,-15
97556,-842,2014,-7614,484,-883,-387,786,356,-7842,109,196,-77
97566,-882,2086,-7570,497,-979,-464,824,332,-7926,158,73,-112
97576,-954,2054,-7562,542,-1015,-504,774,318,-7916,194,52,-135
97586,-1058,1984,-7570,648,-1031,-496,722,282,-7952,239,76,-126
97596,-1082,2012,-7632,786,-1022,-487,756,230,-7950,280,131,-99
97606,-1078,1942,-7646,905,-968,-449,754,234,-7930,274,242,-63
97616,-1106,1934,-7710,988,-920,-397,760,224,-7956,275,353,-27
97626,-1130,1910,-7816,1046,-900,-325,750,252,-7954,274,448,21
97636,-1140,1870,-7838,1031,-899,-249,710,186,-7978,238,495,79
97646,-1062,1840,-7938,992,-880,-228,782,170,-7988,181,499,115
97656,-974,1854,-7914,924,-836,-238,822,146,-7946,145,502,112
97666,-930,1858,-7882,811,-813,-232,812,204,-7864,117,481,112
97676,-946,1884,-7846,638,-848,-223,862,242,-7926,62,425,120
97686,-940,1964,-7794,482,-918,-202,876,252,-7962,7,383,124
97696,-928,2012,-7764,401,-1032,-170,868,288,-8014,-7,361,130
97707,-956,2042,-7720,423,-1125,-165,846,280,-7966,27,306,121
97717,-944,2026,-7672,507,-1195,-177,790,266,-7964,31,231,108
97727,-984,2032,-7698,601,-1225,-218,784,310,-7922,76,194,89
97737,-976,2058,-7626,647,-1212,-242,822,384,-7920,134,169,61
97747,-952,2078,-7674,673,-1174,-233,844,348,-7954,174,205,36
97757,-996,2052,-7762,708,-1132,-212,872,304,-7976,152,297,48
97767,-1052,2034,-7798,786,-1087,-199,794,338,-7954,179,364,78
97777,-1002,2050,-7802,842,-1073,-224,844,310,-7912,182,331,118
97787,-988,2060,-7904,849,-1076,-246,850,332,-7928,159,265,121
97797,-990,2004,-7860,791,-1085,-253,828,334,-7926,132,214,116
97807,-1026,1998,-7852,733,-1136,-266,804,250,-7948,125,138,97
97817,-904,1960,-7852,677,-1153,-308,882,268,-7966,126,100,58
97827,-938,1978,-7896,640,-1163,-309,1058,132,-7986,109,125,32
97837,-1036,1978,-7828,592,-1172,-264,846,288,-8044,100,198,48
97847,-890,2048,-7788,500,-1211,-246,866,280,-7914,24,155,113
97857,-948,1942,-7920,386,-1184,-268,972,290,-7982,-13,122,154
97867,-1032,1972,-7940,250,-1141,-286,834,336,-8040,-9,66,162
97878,-1056,2116,-7890,116,-1147,-269,752,248,-8012,-23,0,164
97888,-1064,1878,-7952,-29,-1126,-274,800,198,-8050,28,37,189
97898,-1096,1834,-8100,-189,-1073,-314,870,68,-8026,117,186,254
97908,-1106,1918,-8104,-434,-964,-305,854,100,-8188,79,317,307
97918,-1098,1964,-8406,-790,-789,-192,888,56,-8304,-39,516,348
97928,-1016,2032,-8378,-1134,-558,-64,828,72,-8270,-244,723,367
97938,-960,2096,-8318,-1462,-326,-47,906,180,-8308,-399,774,342
97948,-992,2208,-8216,-1783,-137,-134,828,222,-8416,-489,697,297
97958,-966,2356,-8192,-2083,-27,-155,868,370,-8254,-502,438,191
97968,-888,2552,-8000,-2325,28,-160,868,370,-8254,-502,438,191
97978,-870,2632,-7916,-2519,98,-184,1002,378,-8336,-496,411,163
97988,-916,2666,-7854,-2676,171,-201,898,534,-8372,-393,699,237
97998,-822,2872,-7786,-2780,221,-214,1078,638,-8584,-471,842,218
98008,-790,3232,-7778,-2847,312,-211,1034,564,-9368,-595,1099,150
98018,-792,3724,-7890,-2764,424,-74,802,492,-10304,-871,1463,45
98028,-232,5622,-8030,-1083,591,-266,696,484,-12006,-1207,2052,-256
98038,-490,6612,-8314,1536,622,-1246,1774,430,-12912,-1804,3065,-766
98048,-490,6612,-8314,1536,622,-1246,3028,508,-14388,-2448,4821,-1340
98058,-1250,7656,-5456,12674,-346,-1877,2570,578,-14986,-3928,6376,-1749
98068,-512,4608,-2948,21774,-984,-3088,3308,1448,-12430,-5321,7298,-1989
98078,458,-2126,-2186,32590,-1391,-5285,2824,2886,-8546,-5348,6506,-1996
98088,736,-6064,-3340,-32584,-3398,-8592,688,4382,-7098,-3928,2119,-1001
98098,2070,-5272,-4722,-32584,-6403,-11743,-102,3064,-7082,-2174,-4741,43
98108,2510,-7346,-4396,-32584,-7885,-13790,240,1988,-7430,-1246,-10626,-1170
98118,1062,-9146,-4506,-32584,-7506,-15980,1188,1626,-6384,-654,-13216,-3357
98128,138,-8142,-4508,-32584,-6476,-17343,140,1598,-4912,390,-11278,-4848
98138,-930,-7796,-4572,-32584,-3869,-18194,-906,1562,-4444,1629,-7892,-5321
98148,-444,-7880,-4814,-32584,-488,-18540,-1108,612,-4004,2835,-5309,-4848
98158,-1664,-7740,-5548,-32584,1344,-18407,-194,-698,-3322,3998,-4669,-4171
98168,-2046,-8034,-5544,-32584,2210,-17156,-612,-1126,-3488,5255,-5080,-3709
98178,-1604,-8632,-5964,29263,2876,-15461,-420,-2134,-4712,5965,-5465,-2995
98188,-1918,-9580,-6874,21540,2546,-12939,-50,-2686,-5574,5477,-3541,-2496
98198,-1606,-10414,-6494,13241,374,-9047,42,-2844,-6714,3691,-479,-1926
98208,-854,-10550,-5488,4373,-229,-5040,34,-2378,-7588,1525,2063,-927
98219,-84,-9690,-3950,-2911,350,-1670,-96,-1360,-7914,-608,3654,112
98229,312,-8412,-2544,-7318,799,159,-306,-122,-8198,-2176,4491,885
98239,882,-7618,-1732,-8967,2143,578,-274,496,-8236,-2988,4933,1308
98249,1104,-6936,-1656,-8227,4092,-18,-48,748,-7824,-3099,4964,1631
98259,1136,-6468,-2028,-6103,4284,-760,84,636,-7366,-2702,4966,1767
98269,928,-6246,-2222,-4519,3360,-1125,366,502,-6822,-2504,4992,1954
98279,514,-5998,-2838,-2883,1562,-1115,746,418,-6632,-2455,5219,2194
98289,478,-6018,-3374,-2765,-408,-421,978,468,-6322,-2480,5149,2468
98299,480,-6002,-3524,-3261,-1451,611,1260,590,-6558,-2117,4634,2561
98309,516,-6352,-3732,-3782,-2052,1860,1756,762,-6892,-1648,3880,2454
98319,890,-6584,-3928,-3470,-2159,3212,1736,828,-7232,-1288,3119,2242
98329,938,-6462,-3908,-3032,-2399,4408,1624,1014,-7482,-949,2277,1979
98339,1130,-6516,-3908,-2707,-2854,5171,1334,1274,-7764,-676,1378,1630
98349,1398,-6638,-3892,-2453,-3456,5450,1204,1290,-7810,-303,502,1257
98359,1278,-6696,-3978,-1859,-4044,5203,1086,1142,-7966,37,-515,932
98369,1082,-6872,-4284,-965,-4455,4615,790,1024,-7802,373,-1529,754
98379,350,-6708,-4432,-539,-4069,3882,732,942,-7602,506,-2210,749
98390,214,-6786,-4408,-1039,-3461,3545,500,730,-7552,475,-2218,911
98400,180,-6806,-4642,-2413,-3133,3355,440,580,-7584,221,-1764,1255
98410,-44,-6924,-4752,-4129,-2833,3251,366,600,-7768,-275,-22,1751
98420,-232,-7020,-4902,-5738,-2530,3209,406,728,-7972,-392,764,1836
98430,-122,-6974,-5120,-7128,-2085,3190,566,932,-8210,-447,1490,1795
98440,-220,-6980,-5366,-8116,-1425,3100,740,1082,-8404,-611,2242,1684
98450,-142,-6870,-5524,-8667,-794,2994,930,1208,-8462,-764,3002,1527
98460,-124,-6620,-5524,-8798,-163,2840,1042,1374,-8544,-852,3509,1377
98470,22,-6248,-5722,-8728,471,2555,1164,1450,-8446,-865,3690,1261
98480,34,-6104,-5956,-8678,896,2103,1172,1482,-8548,-849,3594,1184
98490,100,-6096,-5930,-8380,1056,1552,1230,1298,-8696,-854,3107,1049
98500,26,-6044,-5766,-7588,1065,944,1360,1284,-8718,-782,2769,907
98510,-34,-5960,-5652,-6458,938,430,1302,1276,-8650,-712,2549,791
98520,-110,-5834,-5698,-5073,774,-6,1516,1072,-8452,-652,2472,770
98530,-320,-5788,-6046,-3651,650,-272,2022,806,-7914,-507,2512,765
98540,-750,-5770,-6656,-2606,509,-57,2274,762,-7352,-369,2284,929
98550,-626,-5700,-7158,-2274,519,773,2558,574,-6788,-263,1687,1212
