# label=pronation
# trial=7
# subject=subject01
# captured_at=20260411_181135
ts_ms,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
32321,58,604,-7198,14769,1755,-342,398,3066,-7826,2468,3720,100
32331,-324,394,-7894,13722,2655,-766,-120,3266,-8684,2016,3473,-293
32342,-512,-118,-8274,13864,2001,-1838,-138,3292,-9318,1688,2181,-784
32352,-1266,-696,-8506,15288,67,-3152,-300,3142,-9608,1625,636,-1245
32362,-1456,-1326,-8080,16932,-2559,-4328,-840,3086,-9070,1844,-623,-1474
32372,-1454,-2104,-7516,17809,-4641,-5609,-920,2828,-8706,1823,-970,-1465
32382,-1240,-2562,-6916,18222,-5744,-6948,-700,2502,-8312,1284,-507,-1553
32392,-1058,-2754,-5978,18125,-5995,-8453,-734,2192,-7326,786,714,-1604
32402,-1612,-3436,-6404,17468,-5728,-10137,-338,2282,-8150,194,1105,-1598
32412,-2596,-4180,-5420,16645,-4454,-11375,-834,2440,-7840,24,1395,-1714
32422,-2702,-4552,-6042,15637,-3428,-12666,-1030,2120,-7940,-452,845,-2283
32432,-2956,-5284,-6126,14443,-2232,-14125,-2540,1832,-7960,-678,836,-3005
32442,-3568,-5482,-6108,12793,-700,-16158,-4008,1442,-7276,-555,2026,-3006
32452,-2796,-5660,-6224,10390,1370,-18762,-4212,2080,-6812,-640,4708,-2760
32462,-2408,-5650,-6398,7500,4056,-21105,-3312,2436,-6444,-1375,9010,-2689
32472,-2254,-5904,-6210,4599,7050,-22365,-2502,2514,-6264,-2083,14377,-2472
32482,-1404,-5634,-6132,2224,9963,-22486,-1180,2640,-6198,-2410,19233,-2004
32492,-926,-5482,-6704,142,12687,-21850,1792,2934,-6476,-1962,23171,-1462
32502,-798,-5398,-6800,-1688,13778,-20638,2416,2964,-6538,-1349,21896,-1387
32512,256,-5152,-7302,-3311,13578,-19194,2416,2964,-6538,-1349,21896,-1387
32522,1356,-5234,-7162,-5006,13566,-17797,3246,3144,-6894,-252,17210,-1508
32532,1474,-5122,-7560,-6304,11401,-16372,3162,3112,-7214,124,14954,-1532
32542,1340,-5586,-7592,-7557,9564,-15149,3236,3002,-7486,274,12951,-1313
32552,1080,-5126,-7468,-8690,8396,-13930,3566,2954,-7590,789,10740,-1149
32562,1112,-4708,-7352,-9915,7199,-12153,3850,2968,-7500,1087,8274,-1018
32572,978,-4176,-7304,-11473,5896,-9832,3376,3036,-7788,1030,6513,-855
32582,1158,-4068,-7100,-13409,4613,-7335,3020,2826,-7600,1377,4484,-681
32592,2168,-3968,-6912,-15336,2614,-5194,3128,2776,-7920,1253,2554,-722
32602,2176,-4092,-7072,-16806,554,-3697,2488,2492,-7778,1098,985,-912
32612,1412,-4008,-7286,-17439,-1842,-2125,1532,2404,-7514,932,-368,-1187
32622,694,-3454,-7002,-18047,-4627,-496,1014,2482,-7026,926,-1600,-1346
32632,-222,-3454,-7240,-19422,-7260,1087,1010,2360,-6356,753,-2388,-1366
32642,-40,-3178,-7234,-21010,-9295,2369,812,2522,-6592,810,-2343,-1378
32652,-50,-2390,-6804,-22678,-10295,3520,780,2384,-6770,685,-1976,-1341
32662,544,-2030,-6592,-24492,-10781,4390,1384,2452,-7258,278,-1780,-1315
32672,868,-1656,-6264,-26199,-11531,5187,1538,2840,-8284,-329,-1988,-1696
32683,-40,72,-6244,-27143,-12990,6284,1438,2974,-8956,-1212,-3205,-2099
32693,-2376,1290,-6524,-26830,-15543,7954,180,3448,-9604,-1618,-4770,-1985
32703,-3260,1776,-6616,-25793,-17487,10021,-804,3020,-10020,-1768,-6520,-994
32713,-3086,2344,-6362,-23434,-17461,11252,-1014,2540,-9630,-1119,-7661,-80
32723,-2420,2858,-6664,-20608,-15382,11372,-1216,3042,-9242,-428,-8463,278
32733,-2546,2914,-5694,-18480,-12974,10907,-1156,2614,-8662,-180,-7890,908
32743,-1756,3658,-5500,-17616,-11351,10120,28,2562,-8170,-941,-7542,1420
32753,-2024,4200,-4978,-17037,-12294,9747,-220,2876,-8078,-2044,-7433,1603
32763,-2950,4604,-4484,-16372,-14634,9773,-628,2826,-7948,-2564,-7644,2063
32773,-3244,5064,-3726,-15255,-17295,9986,-328,2272,-9534,-2602,-9007,2498
32783,-3864,5520,-3478,-13553,-18794,10375,-1650,2640,-6642,-3004,-10290,2775
32793,-4258,5350,-2704,-11587,-18144,10811,-1006,3074,-7374,-1784,-10331,3033
32803,-3986,6070,-2506,-10025,-15821,11758,-748,2968,-7344,-878,-8911,3474
32813,-3582,5822,-2306,-7949,-13144,12760,-998,2992,-6952,-986,-7438,3920
32823,-3792,6208,-2320,-7066,-11712,13792,-1254,2954,-7208,-1070,-5263,4256
32833,-3116,6442,-1958,-5720,-10264,14667,-808,3266,-7092,-1757,-3401,4379
32843,-1998,7104,-1472,-2329,-7972,16068,-108,3442,-7200,-2522,-1738,4279
32854,-724,7374,-736,141,-6951,16470,726,3550,-6954,-2826,-649,4033
32864,-666,7864,-824,2430,-7219,17509,1544,3786,-7718,-2162,191,3934
32874,-1628,7818,-622,5612,-8779,18633,878,3504,-7978,-1827,-526,3770
32884,-1638,7394,-598,9485,-10219,19178,-36,3538,-8136,-1437,-2013,4039
32894,-2008,7214,-872,13365,-10680,19308,-1438,3228,-7992,-1091,-4376,4520
32904,-1758,6956,-966,17683,-9400,18188,-1438,3228,-7992,-1091,-4376,4520
32914,-860,6020,-1248,21620,-7068,16029,-1606,3226,-7722,-869,-3733,4590
32924,622,5510,-1528,24254,-3868,13049,-860,3706,-7596,-338,-338,3818
32934,374,4872,-1448,26269,-1587,9679,-1366,3530,-7146,-184,344,3085
32944,746,4094,-2190,28244,-1645,5997,-896,3426,-6958,411,-446,2663
32954,1688,3098,-3020,30056,-3269,2195,396,3650,-6586,634,-2699,1916
32964,664,1754,-3690,31950,-5905,-1211,722,3142,-6202,632,-5195,880
32974,-458,600,-4182,-32652,-8730,-4002,-610,3126,-5590,873,-6462,677
32984,-764,-360,-4362,-32652,-10097,-6362,-1328,3326,-5004,1005,-6618,1106
32994,-1024,-574,-4548,-32652,-9671,-7780,-1578,3314,-4566,1136,-5210,1132
33004,-692,-1068,-5048,31893,-8076,-8501,-1756,3438,-4448,1494,-2841,849
33014,-910,-830,-5648,28611,-5639,-8712,-864,3220,-4982,1833,-122,223
33024,-822,-1306,-6358,24995,-3542,-9114,330,3332,-5762,1881,1828,-544
33034,-802,-1656,-6964,22280,-2381,-9469,568,3296,-6450,2083,2931,-1027
33044,-1162,-2032,-7128,20567,-2277,-9639,676,3384,-6844,2313,3218,-1304
33054,-1128,-2434,-7382,19326,-2757,-9936,752,3244,-7322,2225,2500,-1671
33064,-1092,-3338,-7766,18114,-3162,-10298,1096,3328,-7646,2186,1891,-2109
33074,-1496,-3868,-7510,16837,-3332,-10613,652,2776,-7818,1699,1787,-2930
33084,-2276,-4750,-7416,15901,-3887,-10955,-80,2158,-7742,1445,2468,-3241
33094,-3418,-5154,-7214,14014,-3461,-11116,-1380,1804,-7572,1151,3760,-3002
33104,-3288,-5306,-7262,11207,-1263,-11451,-1884,2036,-7570,916,5048,-2487
33114,-3144,-5418,-6866,7935,1646,-11922,-1416,2254,-7620,465,6431,-2286
33124,-2324,-5546,-6944,4767,4708,-12144,-862,2350,-7634,42,8350,-2324
33134,-1714,-5636,-7138,2137,6943,-12180,-468,2358,-7898,-342,10215,-2520
33144,-2032,-5774,-6994,27,8278,-12337,-494,2416,-7880,-667,11586,-2734
33154,-1490,-5714,-6842,-1549,8938,-12678,-290,2550,-8084,-1069,12344,-2853
33164,-1570,-5834,-6992,-2862,9154,-13125,-290,2670,-8268,-1446,12646,-2907
33174,-1208,-5868,-6794,-4031,9053,-13482,-274,2686,-8258,-1534,13294,-2779
