# label=radial_deviation
# trial=20
# subject=subject01
# captured_at=20260411_175549
ts_ms,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
100656,-462,-1062,-6784,-333,-19,-62,1256,-4,-7874,-106,-130,-403
100666,-570,-1074,-6758,-294,-584,47,1110,-14,-7922,-34,-593,-392
100676,-568,-1110,-6752,-244,-1037,146,1182,-60,-7880,-7,-1012,-353
100686,-540,-1120,-6626,-190,-1323,268,992,-172,-7804,6,-1226,-348
100696,-632,-1130,-6616,-148,-1550,354,780,-68,-7724,33,-1283,-347
100706,-704,-1084,-6594,-156,-1690,375,586,-22,-7738,74,-1252,-365
100716,-1046,-1178,-6634,-211,-1686,360,208,-102,-7780,145,-1049,-371
100726,-1236,-1234,-6674,-348,-1376,283,112,-146,-7966,130,-674,-300
100736,-1364,-1164,-6606,-516,-644,193,352,-124,-7974,89,-131,-206
100746,-1200,-1086,-6636,-568,275,148,662,-54,-8044,-4,482,-73
100756,-822,-1046,-6610,-487,1022,175,960,-26,-7952,-103,998,57
100766,-590,-972,-6634,-296,1263,224,1196,12,-7872,-146,1207,140
100776,-328,-958,-6618,-82,957,255,1268,86,-7750,-81,998,148
100786,-328,-976,-6688,80,279,237,1168,24,-7858,55,466,73
100796,-468,-1016,-6868,148,-430,221,1100,24,-7982,193,-63,13
100806,-604,-994,-6950,134,-828,219,1116,62,-8136,234,-416,-35
100816,-654,-978,-7070,127,-784,269,1058,20,-8036,170,-375,-59
100826,-608,-1018,-6968,137,-566,285,892,0,-7978,82,-244,-48
100836,-690,-1110,-6966,74,-464,249,828,-50,-7926,15,-218,-34
100846,-828,-1100,-6942,-66,-556,222,698,-74,-8004,23,-292,-48
100856,-752,-932,-7012,-191,-686,277,914,52,-8258,37,-445,-75
100866,-752,-932,-7012,-191,-686,277,836,78,-8230,13,-455,-141
100876,-780,-1000,-7044,-73,-562,218,656,-10,-8198,23,-325,-184
100886,-928,-1024,-7068,-24,-269,95,738,0,-8262,-24,-222,-193
100896,-964,-1050,-6956,-87,-207,185,934,0,-8184,-45,-59,-180
100907,-1060,-1038,-6924,-179,-227,261,728,-18,-8114,-75,108,-119
100917,-1074,-1002,-6908,-293,-236,330,614,22,-8100,-134,120,0
100927,-1100,-1046,-6890,-354,-218,443,616,-28,-8150,-142,209,175
100937,-918,-948,-6892,-322,-133,535,758,50,-8188,-114,347,192
100947,-764,-858,-6858,-206,48,606,940,92,-8070,-115,526,154
100957,-644,-900,-6900,-76,227,620,936,78,-8034,-93,651,112
100967,-620,-948,-6868,-23,324,547,958,130,-8016,-98,695,118
100977,-558,-874,-6908,-41,343,456,1204,150,-7984,-140,635,141
100987,-612,-856,-6798,-68,350,440,1092,144,-7896,-135,558,146
100997,-510,-848,-6854,-112,166,429,1192,96,-7986,-124,335,208
101007,-514,-820,-6782,-138,-63,460,1240,176,-7820,-149,70,270
101017,-478,-700,-6832,-142,-331,548,1166,270,-7962,-102,-91,250
101027,-466,-684,-6774,-56,-598,586,1008,300,-7886,-109,-227,197
101037,-482,-790,-6866,31,-672,533,938,266,-7860,-43,-305,62
101047,-524,-808,-6742,34,-521,413,908,198,-7758,-9,-238,-70
101057,-578,-812,-6746,-87,-215,312,978,234,-7682,-8,-61,-141
101067,-672,-886,-6736,-267,120,243,986,144,-7676,-42,120,-160
101078,-680,-964,-6622,-435,307,215,990,34,-7738,-65,207,-138
101088,-684,-968,-6614,-498,264,217,1062,-34,-7860,-103,159,-99
101098,-546,-900,-6562,-393,34,239,1118,28,-7818,-125,47,-67
101108,-588,-806,-6562,-188,-311,252,996,110,-7784,-60,-106,-74
101118,-604,-820,-6604,6,-632,265,980,170,-7796,41,-307,-110
101128,-616,-772,-6652,121,-718,278,872,212,-7822,125,-338,-167
101138,-676,-794,-6782,146,-522,260,932,208,-7812,145,-256,-217
101148,-582,-862,-6712,125,-179,225,1192,178,-7732,131,-77,-218
101158,-452,-934,-6686,32,54,253,1256,98,-7762,116,59,-176
101168,-266,-982,-6676,-61,0,312,1348,-8,-7814,87,-67,-133
101178,-214,-1118,-6716,-120,-324,292,1206,-110,-7764,110,-405,-156
