# label=supination
# trial=20
# subject=subject01
# captured_at=20260411_181601
ts_ms,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
100628,-2550,3292,-6834,2827,-8564,-133,-714,2470,-7894,1102,-3148,-1050
100638,-2194,3438,-6662,2013,-5420,-998,-280,2368,-8098,1395,-4009,-1103
100648,-1676,3558,-6512,1084,-2234,-1098,922,2406,-8192,1087,-1108,-1066
100658,-1646,3550,-6430,187,-299,-711,922,2406,-8192,1087,-1108,-1066
100668,-1482,3498,-6544,0,-260,-271,1020,2380,-8042,477,1123,-889
100678,-1260,3328,-6656,560,-1671,165,1088,2400,-7678,-290,1981,-569
100688,-1722,2636,-6862,1260,-3778,352,132,2376,-7598,-144,260,-372
100698,-1940,2584,-6992,1569,-5828,81,-238,2250,-7712,246,-2234,-299
100708,-2248,2684,-7054,1428,-6882,-530,-442,2230,-7890,630,-4151,-352
100718,-2254,3094,-6610,737,-6593,-1091,-330,2228,-8160,994,-3934,-371
100728,-2222,3148,-6336,-401,-4985,-1456,316,2204,-8360,499,-2120,-317
100738,-1854,3652,-6210,-1302,-2700,-1397,812,2368,-8302,-198,655,-209
100748,-1342,3714,-6058,-2072,-653,-1000,1226,2428,-8100,-809,3040,-53
100758,-788,3698,-5938,-2203,341,-609,1642,2450,-7656,-1275,4057,37
100768,-468,3436,-6004,-1783,-145,-283,1986,2396,-7424,-1410,3371,49
100779,-622,3212,-5924,-980,-2249,30,1804,2348,-6974,-1167,1222,61
100789,-922,3132,-6058,-330,-5341,506,1506,2438,-7030,-372,-1159,18
100799,-1434,2978,-5902,-3,-8034,1124,652,2382,-6916,375,-2717,-54
100809,-1964,2776,-5890,127,-9256,1440,-60,2262,-7140,619,-3394,-16
100819,-1870,3112,-6066,-26,-8482,1250,88,2352,-7568,642,-3018,-3
100829,-1566,3438,-6084,-904,-5782,825,562,2342,-7982,480,-1455,-17
100839,-896,3882,-5964,-2043,-2267,420,1290,2358,-8170,236,725,-40
100849,-598,3870,-5978,-2712,580,161,1598,2388,-8196,-260,2586,-101
100859,-188,4036,-5934,-2477,1718,-140,1988,2452,-8130,-795,3397,-152
100869,-100,4014,-6048,-1627,854,-387,2368,2568,-7604,-1173,2874,-212
100879,-82,3638,-6070,-234,-1670,-455,2422,2560,-7206,-924,1369,-284
100889,-340,3498,-6046,1207,-4928,-225,2050,2438,-7068,-410,-680,-389
100899,-922,2872,-6092,2130,-7762,161,972,2344,-6860,55,-2545,-504
100909,-1834,2604,-6188,2229,-9324,265,-266,2222,-6952,447,-3773,-501
100919,-1792,2804,-6208,1599,-8844,-209,-92,2226,-7294,753,-3986,-550
100929,-1588,3022,-6058,208,-6259,-756,536,2142,-7784,836,-2687,-725
100939,-1232,3532,-5916,-1367,-2630,-970,1140,2146,-8140,633,-240,-786
100950,-910,3744,-5976,-2531,628,-930,1474,2276,-8342,66,2237,-734
100960,-684,3846,-5950,-2550,2327,-879,1660,2318,-8294,-637,3676,-675
100970,-498,3614,-6174,-1537,1906,-1005,1766,2344,-7942,-1089,3491,-625
100980,-404,3376,-6320,-119,-359,-1118,1750,2364,-7572,-1050,1981,-663
