# label=ulnar_deviation
# trial=9
# subject=subject01
# captured_at=20260411_175654
ts_ms,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
42838,-1868,238,-6950,845,-1698,-397,950,874,-8136,327,-592,-325
42848,-2116,84,-6880,1372,-2120,-346,494,750,-8128,397,-1049,-305
42858,-1986,14,-6796,1666,-1979,-355,520,784,-7940,484,-1293,-290
42868,-1848,-8,-6820,1618,-1284,-451,696,802,-7862,427,-805,-298
42878,-1848,-92,-6784,1256,-277,-506,740,776,-7862,286,7,-245
42888,-1810,-16,-6736,702,815,-494,762,762,-7964,159,926,-130
42898,-1614,62,-6836,108,1756,-453,998,806,-7998,50,1772,-73
42908,-1264,108,-6948,-335,2369,-427,1388,824,-8032,-77,2288,-118
42918,-946,222,-6972,-482,2468,-407,1684,880,-8094,-122,2395,-178
42928,-804,166,-6902,-344,1987,-384,1834,822,-8114,-131,1956,-220
42938,-700,196,-6898,-14,1119,-382,1822,762,-8054,-29,991,-280
42948,-588,158,-7136,287,-95,-478,1770,740,-8072,62,-407,-376
42958,-906,-10,-7158,636,-1386,-557,1368,684,-8056,156,-1859,-506
42968,-1440,-38,-7062,1043,-2591,-605,918,644,-8020,354,-3008,-573
42978,-1714,-166,-7038,1376,-3393,-628,638,612,-7938,475,-3691,-623
42988,-1890,-282,-6886,1450,-3529,-631,564,618,-7874,488,-3695,-653
42998,-2054,-328,-6780,1304,-2784,-625,558,584,-7800,412,-2945,-605
43008,-1940,-258,-6652,829,-1616,-476,574,562,-7804,287,-1751,-509
43018,-1774,-222,-6774,-65,-259,-331,652,590,-7854,93,-487,-419
43028,-1644,-74,-6720,-933,927,-209,864,664,-7870,-168,609,-346
43038,-1398,82,-6774,-1504,1655,-150,1078,828,-7876,-418,1207,-281
43048,-1248,138,-6788,-1656,1827,-179,1126,842,-7940,-551,1277,-283
43058,-1374,102,-6832,-1321,1378,-186,962,758,-8010,-435,838,-320
43068,-1494,180,-6852,-724,413,-252,874,768,-8104,-271,198,-351
43078,-1630,178,-6830,-56,-710,-363,830,818,-8032,-165,-617,-371
43088,-1586,164,-6712,546,-1583,-441,856,842,-8010,-114,-1237,-401
43098,-1628,130,-6652,936,-1935,-492,872,862,-7898,-25,-1519,-399
43108,-1734,104,-6570,1008,-1809,-473,690,832,-7878,91,-1582,-386
43118,-1698,54,-6586,792,-1344,-421,660,764,-7844,136,-1489,-377
43128,-1758,44,-6680,429,-682,-399,518,810,-7872,96,-1274,-407
43138,-1872,44,-6716,89,-111,-388,512,854,-7960,41,-961,-418
43148,-1866,46,-6682,-80,232,-371,500,798,-7946,7,-651,-407
43158,-1990,82,-6736,-38,253,-352,456,808,-7962,-9,-398,-355
43168,-1904,40,-6736,147,7,-291,578,732,-8074,-6,-113,-275
43179,-1782,28,-6738,376,-325,-276,538,734,-8110,-8,73,-221
43189,-1718,4,-6804,585,-512,-290,716,718,-8116,47,99,-198
43199,-1656,6,-6884,723,-546,-325,778,726,-8138,30,-23,-198
43209,-1706,10,-6880,789,-445,-360,692,742,-8138,38,-204,-175
43219,-1754,-84,-6960,820,-259,-352,590,672,-8066,40,-466,-169
43229,-1796,-150,-6962,860,-64,-375,558,676,-7988,-4,-724,-179
43239,-1740,-114,-6966,801,78,-391,596,752,-7942,-58,-874,-194
43249,-1800,-134,-6906,648,126,-392,490,752,-7916,-135,-815,-182
43259,-1728,-120,-6950,187,0,-257,462,716,-8002,-209,-552,-140
43269,-1728,-120,-6950,187,0,-257,578,626,-8200,-339,-192,-118
43279,-2106,-260,-7172,94,89,-175,364,486,-8418,-462,359,-77
43289,-2348,-630,-7460,608,702,20,198,208,-8698,-689,940,30
43299,-2006,-644,-7100,822,1435,-42,114,96,-8430,-1053,1487,177
43309,-2006,-644,-7100,822,1435,-42,302,314,-8126,-1524,1841,290
