# label=extension
# trial=7
# subject=handback_single
# captured_at=20260412_030803
# sensor_count=1
ts_ms,ax,ay,az,gx,gy,gz
31822,-454,-1084,-7852,-276,-176,-14
31832,-542,-1112,-7808,-249,-325,25
31842,-532,-1172,-7850,-244,-447,43
31852,-644,-1210,-7808,-250,-514,43
31862,-626,-1238,-7832,-286,-493,10
31872,-656,-1210,-7798,-318,-421,-39
31882,-634,-1176,-7880,-336,-302,-97
31892,-660,-1202,-7870,-338,-178,-175
31902,-610,-1174,-7890,-314,-81,-243
31912,-544,-1162,-7808,-276,-42,-299
31922,-526,-1140,-7886,-215,-53,-333
31932,-520,-1154,-7806,-132,-95,-341
31942,-532,-1086,-7826,-25,-150,-295
31952,-504,-1176,-7806,78,-229,-205
31962,-560,-1220,-7794,141,-309,-105
31972,-574,-1234,-7828,143,-407,-55
31982,-636,-1270,-7870,93,-462,-63
31992,-632,-1274,-7866,43,-455,-113
32002,-656,-1260,-7886,-1,-363,-162
32012,-636,-1304,-7922,-46,-234,-203
32022,-566,-1282,-7934,-86,-104,-217
32032,-556,-1246,-7882,-102,-7,-184
32043,-444,-1252,-7926,-100,22,-122
32053,-462,-1270,-7884,-78,-177,17
32063,-498,-1276,-7926,-75,-353,64
32073,-576,-1336,-7912,-101,-499,90
32083,-640,-1402,-7930,-167,-581,84
32093,-664,-1316,-7944,-273,-544,51
32103,-670,-1348,-7906,-381,-382,10
32113,-658,-1322,-7914,-484,-168,-37
32123,-592,-1308,-7894,-573,45,-72
32133,-514,-1278,-7888,-602,171,-80
32143,-426,-1184,-7870,-581,162,-57
32153,-448,-1224,-7802,-528,28,-36
32163,-514,-1278,-7824,-465,-173,-9
32173,-512,-1264,-7844,-419,-342,27
32183,-596,-1286,-7794,-409,-439,70
32193,-630,-1286,-7806,-436,-451,84
32203,-624,-1278,-7850,-449,-381,90
32214,-662,-1294,-7878,-429,-282,75
32224,-660,-1344,-7932,-412,-229,25
32234,-632,-1254,-7882,-395,-190,-30
32244,-618,-1284,-7862,-384,-155,-60
32254,-606,-1268,-7924,-398,-127,-63
32264,-584,-1306,-7808,-447,-121,-33
32274,-610,-1294,-7842,-506,-130,6
