# label=flexion
# trial=16
# subject=handback_single
# captured_at=20260412_030652
# sensor_count=1
ts_ms,ax,ay,az,gx,gy,gz
79062,496,822,-7984,985,-169,72
79072,504,850,-7924,941,-157,59
79082,506,906,-7952,897,-166,61
79092,504,936,-7966,887,-190,73
79102,438,998,-7930,902,-215,78
79112,410,974,-7954,954,-246,100
79122,446,922,-7970,983,-286,112
79132,448,922,-8000,983,-302,139
79142,434,844,-8024,958,-209,130
79152,434,844,-8024,958,-209,130
79162,428,876,-7944,907,-212,162
79172,468,878,-7968,845,-268,189
79182,450,888,-7968,803,-290,180
79192,514,934,-7982,784,-275,168
79202,498,914,-7954,800,-244,155
79212,488,860,-7972,835,-245,155
79222,528,894,-7998,879,-286,153
79232,454,896,-8038,925,-341,146
79242,452,888,-7960,953,-355,125
79252,484,910,-7930,946,-309,121
79262,482,924,-7926,901,-247,141
79272,478,898,-7978,849,-196,136
79282,458,942,-8004,811,-161,119
79292,480,900,-7976,792,-145,100
79302,500,986,-7960,797,-144,100
79312,484,970,-7980,813,-169,115
79322,500,910,-7964,845,-219,127
79332,402,978,-7948,898,-325,162
79342,376,936,-7972,935,-440,195
79352,398,940,-7952,952,-481,201
79362,332,928,-8000,953,-430,190
79372,350,904,-8010,958,-313,181
79382,404,926,-7988,946,-161,179
79392,468,932,-7988,907,-51,174
79403,518,964,-8048,873,-36,200
79413,514,936,-7988,831,-86,211
79423,560,886,-7930,851,-196,209
79433,496,938,-7942,914,-323,207
79443,466,934,-7942,988,-418,208
79453,448,946,-7950,1025,-454,186
79463,452,910,-7888,1043,-443,193
79473,454,900,-7924,1035,-338,206
79483,416,878,-7976,993,-227,188
79493,514,846,-7996,914,-135,163
79503,538,852,-7964,785,-89,145
79513,544,944,-7980,714,-84,160
79523,588,918,-8002,690,-140,129
79533,520,928,-8014,719,-260,134
79543,472,928,-8026,795,-406,144
79553,420,962,-7934,879,-515,151
79563,396,914,-7954,946,-570,153
79574,366,890,-7976,973,-522,129
79584,406,896,-7958,837,-212,80
79594,640,976,-8054,737,-119,44
79604,276,938,-7884,587,-142,36
79614,412,1008,-7940,642,-159,121
79624,490,1044,-7918,719,-115,97
79634,510,1076,-7896,771,-109,94
79644,402,1018,-7912,839,-151,104
79654,346,1010,-7942,925,-251,127
79664,366,932,-7938,1022,-320,123
79674,382,900,-7868,1096,-312,93
79684,406,900,-7856,1108,-236,83
79694,454,910,-7938,1070,-154,80
79704,420,966,-7948,974,-153,79
79714,392,960,-7852,924,-200,105
79724,408,978,-7906,951,-270,125
79734,450,1020,-7908,991,-290,125
79744,484,978,-7894,1020,-285,137
79754,460,1006,-7968,1061,-270,147
79764,462,942,-7946,1098,-287,138
79774,474,940,-7964,1130,-314,115
79784,440,874,-7998,1137,-297,94
79794,416,900,-7998,1102,-248,74
79804,446,890,-7990,1052,-154,42
79814,468,916,-8038,989,-75,26
79824,462,990,-8032,946,-42,43
79834,510,944,-7992,943,-67,70
79844,432,1002,-7932,992,-148,89
79854,446,910,-7960,1041,-254,97
79864,420,888,-7972,1091,-332,91
79874,418,858,-7908,1103,-357,69
79884,386,912,-7962,1079,-366,42
79894,358,910,-7946,1028,-310,24
79904,386,948,-7988,1001,-189,24
79915,450,918,-7962,908,-107,14
79925,426,918,-8022,880,-34,41
79935,490,920,-8042,888,-18,49
79945,476,980,-8044,916,-60,42
79955,516,952,-7956,972,-137,77
79965,470,978,-8024,1023,-212,89
79975,440,930,-8062,1058,-293,79
79985,390,946,-8072,1084,-334,64
79995,386,910,-8052,1069,-301,73
80005,324,874,-8026,1013,-253,90
80015,308,856,-8020,942,-215,97
80025,404,894,-8012,879,-168,99
80035,406,942,-7960,848,-109,124
80045,406,942,-7960,848,-109,124
80055,488,978,-7956,856,-164,127
80065,502,966,-7888,910,-203,123
80075,470,948,-7920,969,-251,115
80086,436,924,-7912,1003,-280,138
80096,408,940,-7902,981,-316,161
80106,402,922,-7944,949,-337,179
80116,402,904,-8016,940,-307,179
80126,396,938,-8012,938,-233,169
80136,434,888,-8034,947,-146,160
80146,510,894,-7992,958,-108,149
80156,462,918,-7996,970,-129,132
80166,446,902,-8012,975,-188,116
80176,448,918,-7990,953,-248,115
80186,416,902,-7972,933,-278,127
80196,418,892,-8004,918,-273,129
80206,460,914,-8008,913,-231,127
80216,484,898,-7984,924,-194,131
80226,440,942,-7944,950,-198,140
80236,436,902,-7972,955,-247,144
80246,474,904,-7854,924,-292,148
80256,466,974,-7960,889,-305,165
80266,428,1002,-7952,885,-286,167
80276,434,974,-7934,928,-244,148
80286,454,908,-7932,970,-192,120
80296,456,908,-7976,993,-164,120
80306,484,910,-7970,983,-172,123
80316,472,930,-7990,951,-188,125
80326,448,910,-7984,917,-237,145
80336,408,942,-8002,891,-297,168
80346,596,1014,-7930,874,-339,179
80356,578,1032,-7844,859,-373,214
80366,596,1082,-7886,866,-449,228
80376,452,950,-7944,913,-522,198
80386,454,964,-7936,999,-579,127
80396,390,868,-7964,1057,-529,60
80406,432,898,-7930,1087,-369,2
80416,412,840,-7986,1067,-151,-46
80427,474,856,-8024,1026,27,-76
80437,440,830,-8020,976,52,-88
80447,420,872,-7976,954,-66,-68
80457,348,880,-8004,947,-379,37
80467,296,932,-7968,963,-460,66
80477,262,910,-7966,989,-489,90
80487,230,966,-8002,1014,-407,104
80497,284,944,-7962,1057,-298,112
80507,320,908,-7918,1116,-219,110
80517,328,896,-8054,1165,-218,105
80527,364,892,-8018,1214,-284,118
80537,360,854,-7976,1212,-377,103
