# label=pronation
# trial=2
# subject=handback_single
# captured_at=20260412_032030
# sensor_count=1
ts_ms,ax,ay,az,gx,gy,gz
5544,676,2072,-7892,1877,3444,1286
5554,506,1966,-7946,1822,2926,1092
5564,554,2054,-8086,1432,2710,916
5574,622,2022,-8236,941,2729,887
5584,644,1976,-8252,496,2870,971
5594,546,1878,-8310,232,2944,1076
5604,362,1804,-8314,173,2657,1159
5614,184,1744,-8336,224,2206,1223
5624,-8,1664,-8222,299,1760,1267
5634,-180,1598,-8120,291,1593,1293
5644,-232,1600,-8082,144,1985,1266
5654,-88,1618,-7998,-222,2704,1188
5664,22,1662,-7982,-594,3379,1139
5675,106,1758,-7936,-950,3818,1129
5685,256,1704,-8094,-1090,3684,1161
5695,0,1710,-7972,-1029,3063,1232
5705,-172,1710,-7962,-686,2317,1251
5715,-346,1616,-7912,-331,1698,1296
5725,-548,1472,-7858,-89,1540,1343
5735,-694,1418,-7860,-93,1907,1327
5745,-660,1390,-7836,-297,2638,1292
5755,-530,1426,-7794,-541,3372,1157
5765,-458,1504,-7866,-769,3733,1071
5775,-260,1632,-7986,-920,3889,1099
5785,-284,1568,-7916,-961,3678,1142
5795,-344,1516,-7982,-933,3209,1164
5805,-372,1514,-7958,-830,2872,1165
5815,-448,1476,-7934,-781,2738,1150
5825,-602,1450,-7918,-748,2874,1170
5835,-602,1520,-7830,-772,3238,1214
5846,-592,1450,-7812,-867,3657,1181
5856,-544,1490,-7806,-976,4000,1053
5866,-506,1470,-7830,-1087,4209,860
5876,-532,1530,-7892,-1153,3998,670
5886,-608,1532,-7930,-1041,3759,707
5896,-546,1432,-7958,-887,3575,813
5906,-646,1444,-7848,-722,3549,945
5916,-742,1406,-7978,-576,3794,1052
5926,-750,1408,-8482,-551,4078,1152
5936,-480,1066,-8034,-799,4175,1054
5946,-956,1250,-7966,-878,3947,1157
5956,-656,1270,-8100,-682,3809,1243
5966,-662,1194,-8062,-719,3904,961
5976,-594,1198,-8072,-887,3863,770
5986,-756,1288,-7932,-1037,3804,768
5996,-840,1290,-7884,-1112,3788,896
6006,-730,1286,-7894,-1222,3793,979
6016,-660,1306,-7918,-1273,3907,1037
6026,-700,1278,-7866,-1264,3979,1157
6036,-660,1280,-7828,-1264,4037,1358
6046,-606,1326,-7838,-1326,3990,1486
6056,-714,1292,-7816,-1406,3823,1419
6066,-722,1314,-7792,-1411,3667,1230
6076,-808,1362,-7824,-1348,3653,1116
6086,-766,1370,-7796,-1252,3811,1087
6096,-702,1300,-7858,-1177,4023,1117
6106,-636,1240,-7882,-1177,4293,1156
6116,-648,1292,-7944,-1243,4524,1230
6126,-586,1302,-7934,-1317,4590,1347
6136,-580,1276,-7906,-1367,4483,1467
6146,-592,1188,-7942,-1425,4246,1450
6156,-618,1260,-7986,-1478,3991,1280
6166,-702,1258,-7890,-1574,3840,1052
6176,-766,1300,-8014,-1611,3846,888
6187,-802,1376,-7988,-1594,3983,861
6197,-738,1404,-7942,-1528,4216,915
6207,-736,1440,-7934,-1470,4425,980
6217,-676,1480,-7960,-1394,4465,1051
6227,-680,1458,-8008,-1345,4400,1112
6237,-610,1396,-8022,-1300,4310,1144
6247,-642,1350,-8094,-1242,4204,1106
6257,-734,1324,-8046,-1271,4173,978
6267,-706,1308,-8118,-1389,4253,840
6277,-644,1320,-8018,-1502,4385,753
6287,-682,1354,-7992,-1559,4547,745
6297,-682,1422,-8016,-1573,4621,808
6307,-656,1416,-7952,-1470,4641,863
6317,-676,1364,-7908,-1318,4565,894
6327,-734,1350,-7926,-1181,4401,937
6337,-732,1298,-7906,-1092,4248,1030
6347,-676,1228,-7900,-1226,4268,1071
6358,-672,1226,-7910,-1454,4301,964
6368,-660,1278,-7918,-1688,4245,854
6378,-664,1288,-7786,-1829,4104,816
6388,-690,1300,-7780,-1885,3835,857
6398,-746,1388,-7706,-1820,3480,927
6408,-768,1362,-7660,-1673,3154,964
6418,-738,1328,-7746,-1462,2943,976
6428,-824,1376,-7942,-1332,2841,916
6438,-810,1158,-7766,-1567,2678,764
6448,-1250,1084,-7600,-1861,2326,838
6458,-1338,1238,-7624,-1995,2071,1036
6468,-1278,1296,-7654,-2214,2233,1091
6478,-1256,1354,-7634,-2450,2752,1100
6488,-1186,1464,-7614,-2576,3409,1159
6498,-1012,1496,-7650,-2526,4050,1244
6508,-954,1488,-7640,-2333,4321,1289
6518,-1020,1558,-7708,-2082,4138,1354
6528,-1068,1576,-7740,-1830,3775,1370
6538,-1088,1516,-7808,-1539,3488,1338
6548,-1084,1536,-7726,-1278,3424,1211
6558,-1102,1538,-7694,-1075,3551,1022
6568,-1140,1520,-7714,-965,3804,850
6578,-1188,1504,-7728,-862,4060,809
6588,-1166,1452,-7766,-778,4235,875
6598,-1140,1442,-7826,-787,4309,940
6608,-1112,1422,-7810,-978,4279,995
6618,-1144,1462,-7918,-1255,4184,1037
6628,-1104,1472,-7950,-1499,4113,1030
6638,-1104,1406,-8038,-1622,4155,1003
6648,-1032,1434,-7984,-1586,4303,985
6658,-1136,1510,-7956,-1486,4404,974
6668,-1114,1392,-7784,-1309,4396,1016
6678,-1188,1398,-7860,-1090,4295,1071
6688,-1252,1450,-7820,-936,4139,1093
6699,-1290,1360,-7840,-904,4042,1068
6709,-1314,1314,-7784,-910,4073,964
6719,-1278,1422,-7824,-976,4178,871
6729,-1218,1352,-7844,-1050,4407,806
6739,-1162,1320,-7844,-944,4918,832
6749,-1162,1320,-7844,-944,4918,832
6759,-980,1368,-7930,-792,4884,904
6769,-1084,1364,-7852,-804,4693,1042
6779,-996,1218,-7836,-886,4576,1223
6789,-1078,1318,-7930,-1054,4469,1398
6799,-1084,1358,-7898,-1346,4385,1466
6809,-1062,1360,-7930,-1658,4356,1431
6819,-1132,1332,-7802,-1850,4355,1352
6829,-1084,1402,-7812,-1802,4369,1336
6839,-1052,1458,-7854,-1639,4430,1328
6849,-1028,1456,-7790,-1541,4447,1328
6859,-1040,1412,-7756,-1503,4331,1474
6870,-1014,1500,-7760,-1562,4153,1692
6880,-1116,1592,-7730,-1751,3995,1888
6890,-1124,1634,-7666,-1893,3885,2032
6900,-1222,1760,-7600,-1892,3836,2164
6910,-1328,1808,-7476,-1837,3887,2258
6920,-1386,1784,-7332,-1710,3964,2280
6930,-1576,1716,-7188,-1493,4083,2375
6940,-1606,1724,-7112,-1372,4277,2569
6950,-1530,1694,-7126,-1393,4662,2798
6960,-1292,1954,-7128,-1449,5322,3081
6970,-1058,1934,-7004,-1360,5870,3332
6980,-656,2070,-7070,-1228,6593,3650
6990,-116,1922,-7584,-767,7527,3950
7000,-236,1652,-7626,-221,7497,4180
