# label=radial_deviation
# trial=19
# subject=handback_single
# captured_at=20260412_031305
# sensor_count=1
ts_ms,ax,ay,az,gx,gy,gz
94803,-252,1166,-8008,707,138,171
94813,-252,1166,-8008,707,138,171
94823,-116,1214,-7860,814,292,230
94833,6,1220,-7854,704,551,377
94843,62,1232,-7846,556,621,402
94853,74,1276,-7882,472,597,415
94863,162,1270,-7944,417,537,384
94873,210,1336,-8014,415,516,285
94883,148,1386,-7928,466,401,120
94893,60,1342,-8018,493,190,4
94903,-6,1362,-7958,545,15,-50
94913,-56,1314,-7978,626,-138,-67
94923,-90,1328,-7932,659,-151,-19
94934,-26,1354,-7902,672,-67,55
94944,4,1260,-7838,602,39,102
94954,18,1276,-7866,563,134,145
94964,22,1338,-7966,522,206,181
94974,38,1240,-7934,439,187,168
94984,44,1302,-7944,424,84,94
94994,-38,1314,-8000,495,-78,-29
95004,-114,1332,-8016,613,-249,-135
95014,-234,1312,-7984,762,-365,-196
95024,-170,1312,-8000,949,-372,-194
95034,-266,1270,-7968,1052,-296,-152
95044,-212,1300,-7946,1106,-229,-101
95054,-232,1268,-7892,1108,-135,-47
95064,-214,1244,-7854,1053,-10,-3
95074,-212,1250,-7824,972,78,14
95084,-258,1286,-7896,933,110,42
95094,-272,1258,-7866,905,107,63
95104,-334,1250,-7850,892,88,79
95114,-332,1280,-7904,891,97,107
95124,-322,1272,-7868,831,172,100
95134,-298,1352,-7998,809,247,113
95144,-258,1252,-7928,827,360,141
95154,-220,1258,-7908,846,450,184
95164,-148,1352,-7948,850,474,194
95174,-166,1242,-7938,773,449,122
95184,-202,1286,-7940,730,382,93
95194,-224,1280,-7876,721,301,109
95204,-256,1224,-7872,752,243,136
95214,-166,1320,-7914,811,251,168
95224,-146,1248,-8034,830,332,159
95234,-110,1318,-8052,784,404,83
95244,-96,1320,-8084,794,463,-6
95254,-78,1298,-8026,863,462,-32
95264,-36,1282,-7928,968,394,-44
95275,-92,1280,-7786,1058,163,23
95285,-150,1244,-7838,956,86,80
95295,-146,1284,-7900,827,82,84
95305,-268,1262,-7918,730,160,102
95315,-262,1280,-7954,681,278,158
95325,-276,1294,-7914,669,377,201
95335,-226,1254,-8008,663,430,202
95345,-166,1276,-8010,674,439,181
95355,-122,1312,-8074,723,422,142
95365,-130,1344,-7982,800,377,87
95375,-130,1282,-7916,871,321,66
95385,-142,1306,-7840,951,267,78
95395,-170,1276,-7826,962,225,107
95405,-174,1252,-7806,894,201,106
95415,-238,1238,-7856,822,216,133
95425,-284,1232,-7858,758,296,169
95435,-230,1228,-7884,735,391,160
95446,-236,1294,-7962,734,467,135
95456,-210,1252,-7966,730,512,128
95466,-176,1290,-7978,737,515,121
95476,-138,1312,-7998,771,504,137
95486,-58,1328,-7970,823,495,133
95496,-10,1312,-7974,872,472,101
95506,16,1326,-7886,914,433,92
95516,-88,1276,-7938,928,375,85
95526,-64,1282,-7880,901,300,54
95536,-118,1242,-7874,897,238,63
95546,-152,1264,-7886,894,209,100
95556,-92,1238,-7898,876,226,140
95566,-150,1238,-7844,836,274,156
95576,-92,1252,-7914,785,330,188
95586,-72,1284,-8012,775,361,157
95596,-124,1268,-7922,814,339,123
95606,-68,1282,-7974,868,285,104
95616,-128,1236,-7944,897,211,69
95626,-200,1260,-7912,927,105,66
95636,-228,1268,-7896,922,53,78
95646,-268,1214,-7922,911,72,125
95656,-282,1220,-7834,890,144,162
95666,-266,1198,-7848,855,269,216
95676,-246,1206,-7856,797,386,270
95686,-210,1206,-7982,744,490,307
95696,-154,1290,-8038,800,584,261
95706,-154,1290,-8038,800,584,261
95716,-88,1292,-7950,980,467,188
95726,-12,1262,-7860,1042,406,200
95736,-56,1212,-7860,1025,350,178
95746,-66,1224,-7874,963,308,131
95756,-116,1188,-7846,867,309,128
95766,-114,1170,-7888,785,336,161
95776,-106,1222,-7880,746,385,171
95787,-66,1240,-7980,730,425,155
95797,-50,1260,-7980,737,430,134
95807,-40,1282,-8024,753,376,81
95817,-50,1306,-7964,791,299,65
95827,-96,1316,-7994,851,222,76
95837,-102,1270,-7892,877,181,82
95847,-90,1214,-7932,897,156,84
95857,-108,1198,-7868,890,159,83
95867,-130,1184,-7922,861,195,95
95877,-178,1196,-7940,826,227,96
95887,-140,1180,-7882,797,264,100
95897,-164,1204,-7956,795,295,112
95907,-178,1208,-7962,808,319,114
95917,-166,1218,-7968,820,322,111
95927,-142,1260,-7934,835,343,108
95937,-120,1250,-7940,847,352,103
95947,-116,1316,-7962,869,348,113
95958,-140,1294,-7972,877,344,145
95968,-110,1290,-7964,901,350,188
95978,-100,1234,-7932,902,365,208
95988,-104,1182,-7906,903,360,218
95998,-94,1228,-7982,920,367,222
96008,-86,1142,-7992,938,383,210
96018,-78,1154,-7898,943,385,181
96028,-54,1162,-7894,943,356,141
96038,-80,1204,-7926,943,324,115
96048,-92,1172,-7916,933,278,84
96058,-98,1212,-7964,918,219,67
96068,-98,1260,-7918,895,202,73
96078,-194,1190,-7902,850,199,72
96088,-170,1182,-7876,809,202,91
96098,-194,1170,-7840,778,237,129
96108,-196,1230,-7956,754,283,133
96118,-126,1192,-7956,783,386,157
96128,-126,1192,-7956,783,386,157
96138,-22,1208,-7916,825,428,120
96148,-72,1204,-7918,803,357,68
96158,-78,1196,-7858,788,271,64
96168,-76,1210,-7922,769,202,86
96178,-98,1210,-8040,752,197,106
96188,-108,1212,-7996,752,246,108
96198,-106,1264,-7978,796,319,118
96208,-86,1190,-7944,831,374,120
96218,-96,1212,-7906,847,348,95
96228,-104,1192,-7954,856,283,93
96238,-94,1202,-7906,861,212,95
96248,-98,1190,-7878,846,169,67
96258,-174,1178,-7910,830,160,61
96268,-176,1142,-7884,772,201,85
96278,-128,1180,-7950,713,251,119
96288,-164,1188,-8036,700,296,121
96299,-186,1190,-8012,720,317,104
96309,-158,1210,-7932,784,328,123
96319,-104,1210,-7950,853,325,131
96329,-88,1192,-7884,884,291,91
96339,-118,1198,-7950,885,245,57
96349,-142,1206,-7952,851,219,48
96359,-192,1176,-7918,829,245,65
96369,-148,1168,-7948,801,309,90
96379,-162,1204,-7870,779,362,115
96389,-156,1234,-7884,759,392,141
96399,-114,1222,-7884,736,416,167
96409,-106,1218,-7974,719,424,156
96419,-132,1206,-7984,727,407,166
96429,-82,1248,-7948,754,390,154
96439,-88,1244,-7966,798,366,117
96449,-92,1164,-7924,827,335,112
96459,-82,1198,-7860,839,298,118
96470,-90,1184,-7924,814,281,113
96480,-116,1148,-7936,768,263,108
96490,-102,1220,-7934,739,287,117
96500,-104,1206,-8032,743,319,122
96510,-180,1168,-7978,756,348,125
96520,-184,1230,-7922,793,333,122
96530,-150,1198,-7958,817,313,131
96540,-138,1230,-7928,822,282,111
96550,-112,1218,-7868,816,302,110
96560,-128,1218,-7936,807,346,117
96570,-58,1188,-7900,787,389,124
96580,-58,1138,-7922,766,392,119
96590,-54,1194,-7910,763,369,100
96600,-58,1164,-7966,758,309,88
96610,-124,1162,-7994,794,253,102
96620,-144,1198,-7914,831,219,86
96630,-160,1214,-7906,848,233,80
96640,-68,1238,-7868,846,257,94
96650,-112,1264,-7876,809,297,98
96660,-136,1216,-7918,752,341,106
96670,-166,1234,-7916,712,368,113
96680,-182,1224,-7966,705,385,121
96690,-108,1228,-7968,747,401,112
96700,-86,1228,-8010,799,394,104
96710,-94,1224,-7954,844,369,100
