# label=supination
# trial=16
# subject=handback_single
# captured_at=20260412_032318
# sensor_count=1
ts_ms,ax,ay,az,gx,gy,gz
79074,-1496,7630,-144,3871,-1466,-12138
79084,-1812,7550,-304,5988,-1080,-12899
79094,-1090,7190,-714,7913,-360,-13548
79104,-1564,6524,-800,9055,1000,-14194
79114,-1498,6380,-1280,9834,2480,-14677
79124,-1792,6226,-1806,11080,2919,-14948
79134,-2282,5992,-2030,11834,2207,-14735
79144,-3122,5744,-2446,12906,929,-14388
79154,-3900,5530,-2812,14418,-933,-14176
79164,-4952,5374,-2954,15598,-2297,-13818
79174,-5384,5168,-3522,16726,-2630,-13232
79184,-6010,4920,-4280,18094,-1684,-12428
79194,-5642,4044,-4110,19799,214,-11482
79204,-5548,3426,-4124,20882,1939,-10602
79214,-5094,2818,-4324,21774,3818,-9402
79224,-4494,2384,-4634,22128,4443,-7943
79234,-4406,1524,-5074,21863,3471,-6203
79244,-4282,642,-5434,21457,1776,-4793
79254,-4750,480,-6250,19942,-298,-4067
79264,-5460,354,-6842,18263,-1901,-3552
79275,-6198,440,-6960,16387,-2129,-3103
79285,-6972,268,-7390,15251,-1357,-2305
79295,-7078,456,-7488,14296,423,-988
79305,-6938,154,-7464,14041,2598,589
79315,-6306,-18,-7516,13984,4833,2271
79325,-5206,-738,-7530,14123,6862,3785
79335,-3676,-1258,-7840,14151,7826,4531
79345,-3112,-1232,-8254,13462,7476,4058
79355,-2554,-754,-8250,12089,5518,3455
79365,-2504,-572,-8140,11104,2851,3446
79375,-3152,-394,-8404,10369,365,4174
79385,-3640,-428,-8582,10195,-1031,5576
79395,-4098,-702,-8368,10159,-864,7562
79405,-4378,-1126,-8324,10654,-1,9737
79415,-4310,-1680,-7804,11126,1522,11759
79425,-4304,-2208,-7480,12038,3538,13438
79435,-3680,-2702,-6920,12410,5100,14859
79446,-2408,-3062,-7410,13416,7397,16732
79456,-1288,-2806,-7918,13169,7876,17131
79466,-672,-2938,-7650,11908,7400,17096
79476,-694,-2678,-7984,9146,4927,17058
79486,-944,-2702,-8284,5987,1119,17095
79496,-1742,-2634,-8458,2402,-2463,17519
79506,-2184,-2366,-9142,-996,-5261,17356
79516,-2894,-2338,-9248,-4051,-7287,16759
79526,-3660,-2214,-9400,-6665,-7448,16027
79536,-3756,-2028,-9402,-8808,-6304,15145
79546,-3528,-1818,-9312,-10692,-4027,13919
79556,-3242,-1098,-9128,-12192,-751,12506
79566,-2730,-636,-9032,-13006,2446,10899
79576,-2214,-368,-8940,-13104,5095,9262
79586,-1842,56,-8576,-12520,7157,8147
79596,-552,292,-8062,-12145,7257,7516
79606,86,544,-7782,-12376,7844,7106
79616,244,1008,-7736,-12614,8102,6940
79626,558,1336,-7954,-12816,7404,6655
79636,580,1694,-7496,-12704,5261,6085
79646,828,2006,-7644,-12517,3341,5316
79656,212,2472,-7492,-12151,1828,4581
79666,398,2482,-7262,-11808,828,4118
79676,412,2892,-7134,-11520,-561,3953
79686,330,3156,-6762,-11130,-1661,3699
79696,468,3468,-6742,-10662,-1994,3138
79706,474,3536,-6494,-10216,-1595,2500
79716,508,3972,-6428,-9896,-1265,1974
79726,830,4052,-6062,-9523,-1311,1568
79736,446,3834,-5994,-9141,-901,1064
79746,842,4076,-5968,-9470,141,673
79756,640,4348,-5906,-9585,656,403
79766,764,4568,-5806,-9954,796,240
79776,984,4960,-5596,-10054,579,-26
79787,1216,5076,-5468,-10011,470,-309
79797,1230,5220,-5320,-9797,516,-517
79807,1086,5262,-5002,-9670,198,-902
79817,1200,5236,-4962,-9767,-258,-1400
79827,1242,5674,-4908,-10113,-832,-1816
79837,894,5850,-4586,-10533,-1276,-2055
79847,898,6098,-4440,-10686,-1650,-2262
79857,734,6292,-4184,-10622,-1697,-2361
79867,256,6430,-3740,-9719,-1868,-2928
79877,256,6430,-3740,-9719,-1868,-2928
79887,200,6800,-3612,-9136,-2222,-3380
79897,-48,7106,-3290,-7522,-2127,-3686
79907,-128,7208,-3174,-6310,-1917,-3663
79917,-472,7316,-3266,-5025,-1817,-3557
79927,-512,7298,-3190,-3921,-2006,-3438
79937,-654,7262,-3124,-3009,-2168,-3394
79947,-568,7132,-3070,-2281,-2145,-3433
79958,-812,7070,-2978,-1703,-1899,-3591
79968,-764,7070,-2890,-1301,-1597,-3900
79978,-544,7130,-2882,-931,-1220,-4250
79988,-554,7164,-2680,-382,-954,-4526
79998,-664,7178,-2714,388,-851,-4697
80008,-1136,7056,-2806,1357,-1112,-4842
80018,-1470,6968,-2886,2344,-1823,-5127
