# label=ulnar_deviation
# trial=20
# subject=handback_single
# captured_at=20260412_031514
# sensor_count=1
ts_ms,ax,ay,az,gx,gy,gz
100074,-2430,-92,-7746,182,42,-250
100084,-2480,-72,-7696,389,-141,-271
100094,-2450,-60,-7532,548,-176,-221
100104,-2474,-66,-7514,586,-46,-110
100114,-2390,-60,-7522,503,176,4
100124,-2370,-50,-7564,355,387,75
100134,-2252,-54,-7656,197,499,97
100144,-2310,-40,-7734,104,475,-24
100154,-2454,-50,-7742,131,278,-165
100164,-2614,-88,-7630,279,15,-226
100174,-2586,-118,-7614,444,-137,-226
100184,-2542,-122,-7538,570,-102,-205
100194,-2548,-138,-7544,604,81,-155
100204,-2478,-154,-7490,527,328,-86
100214,-2392,-146,-7504,357,542,-37
100224,-2322,-112,-7532,188,653,-17
100234,-2444,-86,-7704,104,631,-75
100244,-2484,-112,-7742,118,502,-147
100254,-2482,-94,-7690,236,354,-175
100264,-2456,-124,-7672,385,255,-183
100274,-2330,-88,-7614,475,232,-151
100284,-2356,-86,-7646,486,252,-186
100294,-2452,-76,-7636,419,294,-193
100304,-2414,-88,-7526,339,320,-163
100314,-2392,-84,-7592,279,354,-117
100324,-2430,-108,-7634,268,363,-127
100334,-2446,-118,-7592,293,351,-126
100344,-2400,-64,-7686,351,359,-61
100354,-2400,-64,-7686,351,359,-61
100364,-2342,-74,-7594,332,442,-39
100374,-2356,-46,-7682,302,446,-77
100384,-2426,-44,-7636,292,393,-113
100395,-2422,-42,-7618,331,322,-127
100405,-2442,-72,-7596,381,256,-158
100415,-2460,-146,-7600,449,227,-181
100425,-2408,-152,-7606,495,244,-195
100435,-2338,-126,-7562,475,302,-187
100445,-2356,-156,-7504,424,369,-154
100455,-2372,-124,-7596,340,414,-99
100465,-2326,-112,-7620,273,425,-55
100475,-2328,-108,-7616,242,400,-9
100485,-2344,-62,-7660,225,356,-27
100495,-2364,-112,-7672,234,286,-62
100505,-2468,-82,-7654,266,207,-90
100515,-2436,-108,-7604,298,157,-110
100525,-2454,-88,-7532,320,152,-118
100535,-2460,-116,-7600,344,200,-89
100545,-2448,-86,-7518,330,274,-62
100555,-2364,-112,-7576,291,351,-40
100566,-2364,-110,-7612,237,387,-45
100576,-2402,-90,-7704,204,381,-73
100586,-2446,-88,-7610,213,337,-99
100596,-2416,-106,-7706,266,282,-121
100606,-2440,-86,-7732,339,261,-187
100616,-2460,-100,-7692,414,243,-255
100626,-2512,-100,-7636,502,233,-300
100636,-2454,-114,-7682,555,252,-297
100646,-2400,-130,-7598,591,298,-279
100656,-2256,-142,-7628,597,346,-233
100666,-2480,-132,-7614,554,349,-206
100676,-2286,-162,-7688,483,370,-163
100686,-2352,-186,-7648,437,374,-180
100696,-2352,-152,-7656,435,326,-202
100706,-2444,-202,-7630,451,257,-199
100716,-2410,-176,-7660,474,213,-203
100726,-2474,-168,-7616,487,176,-196
100736,-2438,-162,-7606,484,167,-172
100746,-2444,-120,-7594,450,212,-167
100756,-2412,-154,-7604,419,270,-180
100766,-2386,-184,-7582,375,317,-98
100776,-2364,-158,-7578,360,313,-70
100786,-2336,-180,-7608,322,292,-66
100796,-2406,-222,-7636,313,252,-72
100806,-2430,-140,-7720,314,227,-111
100816,-2424,-114,-7716,354,207,-174
100826,-2416,-150,-7676,420,205,-218
100836,-2398,-148,-7708,503,179,-335
100846,-2464,-138,-7644,596,110,-422
100856,-2492,-154,-7568,670,21,-421
100866,-2416,-226,-7594,701,7,-398
100876,-2428,-234,-7550,709,39,-320
100886,-2404,-268,-7420,654,103,-211
100896,-2408,-308,-7494,560,177,-131
100907,-2368,-250,-7542,442,199,-73
100917,-2394,-272,-7474,313,161,-49
100927,-2332,-38,-7686,267,93,-36
100937,-2470,-38,-7618,171,49,-201
100947,-2596,-444,-7750,109,-54,-431
