# label=extension
# trial=5
# subject=handback_single
# captured_at=20260412_031110
# sensor_count=1
ts_ms,ax,ay,az,gx,gy,gz
21296,-814,1000,-7882,-59,-602,-76
21306,-834,1000,-7850,-145,-497,-79
21316,-856,946,-7852,-228,-328,-47
21326,-770,998,-7770,-280,-176,13
21336,-692,1022,-7758,-280,-99,84
21346,-652,948,-7854,-198,-120,159
21356,-704,898,-7840,-61,-231,210
21366,-806,872,-8012,81,-440,196
21376,-806,872,-8012,81,-440,196
21386,-822,870,-8036,-136,-288,159
21396,-730,906,-8082,-305,-104,156
21406,-674,912,-8012,-420,36,178
21416,-526,904,-8014,-493,77,241
21426,-402,920,-8046,-526,-4,298
21436,-664,686,-8002,-530,-128,316
21446,-682,1080,-7966,-457,-473,266
21456,-542,1116,-8026,-338,404,206
21466,-458,1090,-8100,40,1909,74
21476,196,1082,-7762,-411,1736,120
21486,-812,1146,-7828,-699,-685,-15
21496,-346,1078,-7808,-510,-568,-6
21506,-398,1036,-7864,-337,-573,-34
21516,-374,1030,-7842,-372,-199,-43
21526,-452,812,-7936,-257,200,-55
21536,-622,948,-7854,-495,-34,-8
21547,-436,964,-7924,-390,66,0
21557,-488,1004,-8008,-345,-71,-35
21567,-570,934,-7970,-329,-139,-109
21577,-626,1010,-8016,-210,-405,-183
21587,-722,960,-8014,-373,-517,-209
21597,-748,972,-7934,-448,-370,-178
21607,-692,918,-7846,-442,-105,-116
21617,-584,972,-7916,-402,45,-26
21627,-564,930,-7854,-372,-41,62
21637,-584,960,-7862,-335,-215,85
21647,-602,984,-7866,-277,-390,77
21657,-696,1002,-7858,-261,-421,64
21667,-664,1026,-7790,-322,-389,49
21677,-596,1034,-7808,-373,-196,40
21687,-532,1070,-7904,-390,19,40
21697,-464,1050,-7886,-350,133,32
21707,-408,1010,-7896,-264,105,32
21718,-378,998,-7960,-134,-55,40
21728,-536,1020,-7946,2,-267,27
21738,-492,978,-7960,77,-415,6
21748,-534,950,-7942,95,-474,13
21758,-540,946,-7930,-69,-256,17
21768,-540,946,-7930,-69,-256,17
21778,-496,980,-7964,-340,-6,-5
21788,-508,974,-7898,-367,-21,-33
21798,-508,956,-7918,-357,-76,-36
21808,-512,932,-7916,-309,-162,-29
21818,-486,920,-7872,-173,-270,-7
21828,-542,908,-7956,-45,-370,16
21838,-596,892,-7944,16,-447,18
21848,-622,938,-7958,31,-420,14
21858,-538,936,-7918,21,-347,45
21868,-558,874,-7992,-12,-280,83
21878,-620,916,-7950,-75,-281,86
21888,-660,906,-7944,-128,-345,52
21898,-658,884,-7894,-165,-369,3
21908,-630,980,-7992,-208,-296,-16
21918,-518,916,-7876,-246,-188,6
21928,-484,920,-7886,-217,-93,44
21938,-386,852,-7926,-109,-115,75
21948,-472,874,-7948,21,-280,68
21958,-470,860,-8056,143,-499,44
21968,-650,856,-7984,133,-566,11
21978,-558,834,-8052,78,-532,24
21988,-630,846,-8032,-37,-342,-14
21998,-570,856,-7934,-153,-127,-35
22008,-412,874,-8072,-261,-5,-50
22018,-524,838,-7938,-374,-63,-63
22028,-526,846,-8014,-294,-236,31
22038,-532,814,-8044,-228,-398,30
22048,-568,810,-8008,-194,-512,23
22059,-664,800,-7970,-176,-546,18
22069,-702,786,-7984,-166,-487,4
22079,-694,794,-8004,-169,-385,-21
22089,-628,846,-7956,-165,-276,-28
22099,-620,842,-7958,-182,-182,-20
22109,-548,796,-7968,-192,-138,-6
22119,-540,820,-7892,-181,-177,6
22129,-598,808,-7892,-143,-275,0
22139,-596,810,-7926,-103,-365,-30
22149,-586,818,-7878,-77,-399,-64
22159,-638,832,-7914,-39,-365,-69
22169,-572,794,-7852,39,-309,-66
22179,-610,812,-7924,105,-261,-85
22189,-592,802,-7940,151,-260,-92
22199,-616,796,-7930,165,-247,-97
22209,-572,778,-7942,162,-223,-86
22219,-600,776,-7944,157,-211,-79
22230,-674,738,-7928,151,-289,-48
22240,-722,720,-7950,128,-356,-21
22250,-682,728,-7926,84,-381,-4
22260,-658,720,-7928,30,-358,21
22270,-694,728,-7896,22,-328,47
22280,-718,728,-7956,44,-316,59
22290,-682,664,-7966,74,-334,45
22300,-662,626,-8046,85,-362,29
22310,-688,618,-8056,48,-367,-6
22320,-662,622,-8032,-49,-308,-69
22330,-580,632,-8018,-131,-194,-108
22340,-560,648,-8050,-183,-120,-102
22350,-598,646,-8032,-217,-106,-90
22360,-672,692,-8038,-231,-190,-90
22370,-606,676,-8048,-209,-269,-98
22380,-654,604,-8046,-166,-316,-96
