# label=flexion
# trial=6
# subject=handback_single
# captured_at=20260412_030559
# sensor_count=1
ts_ms,ax,ay,az,gx,gy,gz
26556,610,280,-8046,867,-174,149
26566,604,252,-8074,866,-53,132
26576,632,240,-8082,866,37,103
26586,640,262,-8034,857,72,81
26596,640,274,-7998,838,7,73
26606,604,258,-7962,871,-88,72
26616,532,266,-7954,872,-147,143
26626,532,266,-7954,872,-147,143
26636,600,284,-8008,956,-156,175
26646,646,226,-7970,968,-151,204
26656,610,248,-7996,978,-166,215
26667,696,266,-8014,986,-156,201
26677,620,226,-7972,969,-170,186
26687,634,224,-7998,920,-203,171
26697,682,214,-7940,864,-204,178
26707,618,208,-7930,823,-165,189
26717,680,240,-7942,809,-124,194
26727,724,278,-7938,835,-82,186
26737,760,290,-7960,893,-86,181
26747,722,292,-7962,955,-150,159
26757,728,276,-8004,1002,-231,142
26767,712,264,-7966,1041,-290,141
26777,686,292,-7958,1053,-326,141
26787,654,236,-7976,1029,-327,135
26797,610,220,-7958,970,-290,123
26807,648,254,-7988,904,-201,108
26817,712,248,-8004,868,-86,109
26827,710,228,-7994,878,-11,113
26838,748,272,-7958,914,-17,104
26848,816,224,-8050,967,-95,98
26858,736,248,-7974,1000,-248,107
26868,708,250,-7956,1013,-414,109
26878,640,252,-8000,1012,-507,117
26888,590,206,-7944,999,-510,113
26898,586,228,-7922,979,-413,100
26908,648,228,-7922,952,-251,101
26918,688,278,-7924,945,-128,106
26928,720,298,-7960,974,-97,106
26938,686,262,-7954,1028,-173,102
26948,702,266,-7964,1073,-290,102
26958,692,222,-8008,1109,-394,105
26968,648,266,-8028,1094,-454,106
26978,612,288,-8016,1060,-459,109
26988,570,252,-8010,1052,-411,122
26998,580,230,-8048,1042,-351,110
27008,586,240,-8002,1040,-310,98
27018,648,232,-8002,1037,-289,99
27028,640,258,-8040,1027,-259,109
27038,644,264,-7974,1023,-258,135
27048,654,254,-8002,1046,-315,148
27058,630,290,-8032,1072,-407,144
27068,574,218,-8040,1092,-489,159
27078,542,194,-8044,1105,-535,175
27088,514,198,-8070,1104,-535,185
27098,488,178,-8034,1074,-477,188
27108,520,248,-8004,1026,-384,195
27118,542,228,-8030,974,-287,186
27128,620,208,-8034,932,-220,173
27138,632,232,-7998,922,-185,167
27148,622,236,-8020,925,-197,169
27158,624,208,-7994,940,-209,160
27168,644,196,-8044,954,-252,149
27179,638,198,-8036,980,-282,153
27189,610,262,-8000,988,-314,147
27199,598,218,-8068,992,-317,142
27209,600,198,-8026,983,-262,130
27219,678,226,-7954,952,-205,118
27229,674,200,-7992,910,-183,128
27239,640,208,-7982,880,-226,127
27249,656,174,-7988,894,-298,108
27259,628,206,-7934,942,-366,87
27269,582,172,-7900,994,-389,77
27279,600,190,-7860,1025,-380,73
27289,550,224,-7880,1022,-350,72
27299,578,218,-7948,1008,-316,75
27309,538,250,-7938,996,-286,77
27319,556,284,-7986,1014,-272,76
27329,496,202,-7900,1042,-253,64
27339,534,198,-7972,1080,-250,50
27350,538,158,-8112,1119,-237,44
27360,524,110,-8046,1143,-225,47
27370,558,110,-8152,1159,-208,53
27380,526,86,-8136,1148,-207,71
27390,518,120,-8150,1093,-242,89
27400,506,124,-8086,1020,-296,122
27410,500,98,-8086,936,-356,158
27420,482,186,-8142,897,-396,186
27430,460,190,-8040,979,-392,215
27440,460,190,-8040,979,-392,215
27450,520,204,-8148,1064,-306,231
27460,536,178,-8150,1056,-257,229
27470,576,180,-8086,1005,-223,229
27480,556,176,-8030,939,-243,228
27490,534,180,-8012,864,-304,221
27500,558,152,-8022,817,-349,223
27510,532,168,-7994,807,-357,235
27520,520,200,-7940,848,-325,247
27530,540,196,-7976,913,-298,265
27540,546,202,-7996,982,-320,282
27550,550,234,-7964,1051,-391,285
27560,484,168,-7970,1088,-494,278
27570,454,142,-7976,1078,-563,249
27580,424,144,-7998,1034,-527,226
27590,454,120,-7972,984,-374,211
27600,416,130,-7990,937,-188,193
27610,536,118,-8006,892,-18,180
27620,536,114,-7974,855,61,177
27630,602,140,-7968,854,32,171
27640,636,126,-7988,883,-65,173
27650,654,160,-7930,945,-181,171
27660,630,118,-7922,1020,-298,170
27670,572,66,-7970,1078,-412,169
27680,544,90,-7968,1102,-454,151
27691,482,116,-7894,1081,-427,139
27701,472,108,-7944,1023,-303,123
27711,496,132,-7876,936,-125,118
27721,552,170,-7938,878,38,125
27731,552,142,-7902,883,120,130
27741,574,134,-7952,936,60,128
27751,572,112,-7948,1012,-98,120
27761,560,84,-7912,1064,-256,130
27771,558,78,-7934,1080,-376,143
27781,544,106,-7912,1060,-446,169
27791,532,168,-7874,1021,-491,192
27801,446,152,-7914,989,-534,199
27811,426,136,-7882,975,-565,185
27821,422,148,-7904,978,-525,175
27831,456,190,-7954,1002,-404,163
27841,518,174,-8026,1068,-247,149
27851,554,180,-8076,1133,-136,143
27862,570,154,-8132,1191,-117,125
27872,558,78,-8204,1176,-257,130
27882,542,80,-8230,1079,-331,149
27892,594,72,-8292,960,-349,170
27902,614,94,-8276,853,-350,169
27912,548,140,-8280,775,-318,138
27922,570,196,-8230,712,-250,79
27932,576,156,-8194,673,-163,27
27942,494,204,-8108,645,-90,0
27952,458,208,-8070,633,-18,-11
27962,458,192,-8034,646,-6,-10
27972,414,150,-7960,652,-78,9
27982,390,182,-7948,663,-243,51
27992,396,174,-7932,696,-426,99
28002,308,172,-7950,729,-555,140
28012,384,146,-7900,759,-625,161
28022,386,184,-7916,750,-614,175
28032,306,166,-7820,718,-547,185
28042,328,136,-7814,688,-432,200
28052,346,174,-7848,670,-283,225
28062,384,314,-7890,707,-141,248
28072,458,316,-7932,810,-68,264
28082,504,364,-7932,943,-82,249
28092,508,260,-8036,1049,-198,230
28102,558,298,-8044,1117,-353,220
28112,530,276,-8094,1134,-470,229
28122,434,240,-8106,1102,-523,243
28132,390,240,-8134,1058,-484,259
28142,312,206,-8108,999,-375,256
28152,370,182,-8152,940,-267,246
28162,418,150,-8158,873,-157,232
28172,408,126,-8154,813,-97,212
28182,500,80,-8082,780,-74,204
28192,516,80,-8038,779,-69,207
28203,506,106,-8012,777,-86,218
28213,530,146,-8052,769,-159,248
28223,534,130,-7972,741,-262,270
28233,524,198,-7956,724,-372,266
28243,428,150,-7936,726,-427,258
28253,434,88,-7934,745,-369,243
28263,490,126,-7844,756,-264,222
28273,542,112,-7766,753,-157,209
28283,514,160,-7780,739,-103,196
28293,528,124,-7766,747,-148,173
28303,510,176,-7762,785,-234,150
28313,434,226,-7774,913,-336,156
28323,486,210,-7878,972,-328,160
28333,466,212,-7856,992,-304,151
28343,464,204,-7856,990,-272,134
28353,512,170,-7888,993,-216,123
28363,566,182,-7966,996,-200,100
28374,550,134,-8034,1006,-244,76
28384,546,160,-8040,1013,-338,48
28394,454,178,-7986,1005,-459,21
28404,416,176,-7984,987,-528,20
28414,360,220,-7974,944,-527,33
28424,308,214,-7978,913,-436,54
28434,324,198,-7950,918,-327,67
28444,364,238,-7966,943,-239,81
28454,382,248,-7990,990,-201,101
28464,440,166,-8070,1037,-204,112
28474,470,156,-7994,1063,-230,114
28484,518,208,-8070,1042,-279,131
28494,536,192,-8060,1002,-361,137
28504,580,240,-8064,956,-424,130
28514,544,204,-8110,942,-465,98
28524,428,284,-8040,942,-518,54
28534,388,254,-8008,937,-531,21
28544,320,258,-7992,929,-452,5
28554,314,244,-8044,936,-307,4
28564,380,232,-8088,954,-128,-2
28574,440,208,-8088,955,-23,5
28584,464,220,-8094,963,-51,14
28594,438,242,-8094,969,-182,7
28604,330,200,-8104,937,-326,8
28614,294,208,-8108,893,-400,12
28624,232,190,-8076,852,-363,36
28634,272,164,-8128,830,-249,64
28644,280,150,-8132,837,-149,87
28654,286,126,-8110,843,-85,104
28664,340,156,-8056,851,-69,114
28674,380,186,-8036,841,-97,136
28684,372,200,-8028,795,-161,161
28694,340,232,-7992,750,-178,180
28704,348,248,-7978,727,-146,177
28715,360,274,-7976,738,-109,177
28725,354,252,-7966,758,-81,181
28735,364,190,-7958,788,-34,177
28745,442,234,-7922,773,-11,164
28755,490,242,-7968,758,-3,175
28765,462,254,-8040,776,-47,187
28775,436,286,-7942,783,-132,182
28785,472,224,-7836,763,-206,171
28795,502,294,-8004,855,-187,180
28805,502,248,-7952,845,-171,177
28815,546,324,-7990,897,-184,179
28825,448,304,-8010,872,-167,146
28835,424,276,-8010,769,-180,178
28845,450,280,-8028,679,-201,175
28855,436,304,-8026,589,-168,170
28865,442,280,-8112,518,-84,187
28875,474,286,-8068,447,5,225
28886,530,268,-8104,410,47,231
28896,550,336,-8142,410,37,219
28906,526,360,-8080,452,-33,208
28916,498,346,-8040,535,-123,178
28926,506,360,-8024,638,-226,131
28936,494,368,-7934,738,-298,112
28946,426,334,-7950,807,-323,108
28956,400,324,-7958,856,-305,116
28966,436,356,-7900,900,-237,99
28976,490,374,-7938,932,-151,90
28986,474,390,-7898,959,-123,95
28996,488,372,-7858,992,-150,94
29006,536,348,-7878,1012,-222,86
29016,470,368,-7896,1023,-327,94
29026,436,388,-7854,1005,-411,104
29036,424,372,-7880,969,-399,102
29046,436,344,-7914,957,-317,91
29056,454,304,-7936,966,-216,73
29066,456,366,-7970,981,-175,65
29076,466,322,-7962,993,-204,61
29086,430,316,-7918,1002,-284,55
29096,434,360,-7972,984,-353,65
29106,424,320,-8008,986,-386,93
29116,396,348,-8022,1017,-402,101
29126,398,290,-8038,1065,-390,96
29136,388,296,-8094,1102,-392,88
29146,386,274,-8118,1088,-409,75
29156,372,304,-8166,1027,-393,82
29166,398,348,-8082,926,-325,92
29176,436,384,-8092,817,-199,119
29186,436,384,-8092,817,-199,119
29196,424,394,-8082,867,-268,112
29206,424,382,-8090,886,-316,106
29216,414,366,-8050,899,-322,110
29227,394,422,-8036,885,-310,106
29237,378,402,-7970,874,-290,109
29247,272,418,-8010,861,-277,114
29257,262,386,-8032,852,-246,107
29267,286,408,-7994,864,-182,115
29277,392,370,-8044,888,-86,124
29287,402,396,-8054,916,-6,146
29297,426,354,-8098,930,-26,155
29307,424,378,-8118,922,-148,157
29317,402,416,-8044,899,-298,157
29327,368,374,-8096,851,-386,174
29337,326,372,-8140,779,-394,188
29347,338,352,-8094,680,-322,207
29357,326,316,-8092,548,-205,236
29367,364,314,-8132,325,-172,266
29377,338,348,-8142,35,-202,297
29387,378,418,-8102,-261,-267,374
29398,440,482,-8086,-422,-266,434
29408,490,552,-7962,-429,-242,448
29418,440,566,-8016,-307,-269,436
29428,424,552,-8024,-147,-378,417
29438,420,550,-7928,-39,-542,380
29448,326,558,-7958,-20,-637,331
29458,228,570,-7950,-95,-611,282
29468,218,620,-7912,-236,-454,237
29478,240,682,-7928,-330,-232,206
29488,326,696,-7934,-323,30,203
29498,458,750,-7898,-206,210,206
29508,504,796,-7860,-13,234,237
29518,572,766,-7884,209,86,261
29528,470,774,-7844,444,-152,255
29538,406,722,-7886,660,-364,216
29548,362,748,-7882,796,-465,182
29558,252,746,-7922,862,-449,174
29568,282,760,-7902,875,-353,190
29578,316,798,-7952,868,-184,225
29588,402,790,-7998,867,2,240
29598,580,808,-8002,977,216,263
29608,608,800,-8044,1061,149,246
29618,608,764,-8016,1124,-7,232
29628,546,772,-8060,1149,-144,220
29638,468,714,-8156,1130,-188,206
29648,444,768,-8134,1038,-122,203
29658,494,732,-8164,870,74,203
29668,534,684,-8210,665,301,197
29678,614,742,-8100,441,451,199
29688,772,622,-8144,303,466,222
29698,842,546,-8098,79,356,187
29708,712,254,-8038,-357,120,95
29718,764,142,-7668,-907,-235,79
29728,702,156,-7290,-1607,-588,68
29739,618,118,-7374,-2439,-1080,148
29749,364,564,-7528,-3524,-1379,272
29759,336,770,-7262,-5056,-1195,405
29769,264,922,-7356,-6669,-470,481
29779,126,1326,-7498,-8423,668,647
29789,20,1678,-7804,-10546,2211,952
29799,374,2450,-8050,-12609,3992,1492
29809,674,2790,-8048,-14329,5486,1989
29819,908,3572,-8078,-15361,6804,2648
29829,1252,4164,-7782,-14942,7819,3191
29839,1552,4958,-7454,-12412,8296,3398
29849,2064,5714,-7170,-7851,8384,3089
29859,2346,6522,-7344,-1701,7333,1868
29869,1914,6330,-7058,5133,5399,165
29879,2442,5816,-7038,12884,2843,-1435
29889,2256,4962,-6400,19978,-718,-2739
29899,2008,3332,-5356,25853,-2575,-3416
29910,2040,1542,-4506,31550,-4062,-3652
29920,1776,-662,-4064,-31775,-4795,-3966
29930,2224,-2184,-3978,-31775,-5064,-5147
29940,2192,-3830,-3490,-31775,-5105,-7222
29950,1924,-5232,-3974,-31775,-5680,-9360
29960,978,-6098,-4618,-31775,-6380,-10679
29970,1604,-6432,-4886,-31775,-6081,-11829
29980,1282,-7044,-5384,-31775,-5626,-12842
29990,840,-7682,-5972,-31775,-2911,-11520
30000,840,-7682,-5972,-31775,-2911,-11520
30010,-174,-8208,-7280,22957,-426,-7089
30020,346,-8820,-7342,14201,137,-3598
30030,1826,-8482,-6936,5619,-353,53
30040,1076,-7188,-6234,-1678,-2206,3491
30050,1212,-6670,-5466,-5918,-2087,5654
30060,1164,-6114,-4714,-8232,-1508,6720
30070,704,-5562,-3880,-8632,-854,6695
30080,1306,-5666,-4076,-6804,1158,5591
30090,942,-5546,-4034,-3905,2061,3768
30100,942,-5560,-4504,-342,1492,1542
30110,1050,-5690,-4334,2180,1464,-428
30120,1054,-5760,-4726,4149,1403,-1813
30130,1308,-5936,-5436,4958,1301,-2519
30140,1066,-5944,-5868,4627,566,-2487
30150,1100,-6034,-6072,3393,39,-2015
30160,1274,-6212,-6316,1563,-274,-1101
30170,1116,-6414,-6508,-521,-382,28
30180,770,-6502,-6644,-2676,-437,1297
30190,292,-7180,-6432,-5092,-809,2587
30200,482,-6926,-6588,-7553,-992,3693
30210,344,-6722,-6574,-10542,-676,4771
30220,214,-6258,-6594,-13028,-181,5771
30230,124,-6030,-6656,-15725,391,6479
30240,502,-5526,-6804,-18932,1302,7053
30251,802,-5154,-6808,-21593,2452,7107
30261,1066,-5010,-7012,-24186,3196,7015
30271,1152,-4638,-7076,-26264,3204,6848
30281,1376,-4230,-7154,-27451,2675,6438
30291,1292,-3502,-7248,-27852,1791,5915
30301,1354,-2776,-7168,-27521,705,5380
30311,984,-1830,-7526,-25839,604,4784
30321,1042,-1208,-7472,-23562,833,4166
30331,970,-694,-7514,-21153,105,3650
30341,826,-202,-7256,-18733,-32,3434
30351,794,302,-7070,-16178,-97,3299
30361,530,514,-6886,-13019,-147,2935
30371,552,882,-6912,-10217,-329,2589
30381,600,1040,-6808,-8042,-408,2502
30391,846,1196,-7004,-6663,-787,2517
30401,654,1180,-7110,-5438,-1424,2480
30411,430,1266,-7194,-4678,-1828,2461
30422,470,1254,-7376,-4024,-1688,2335
30432,630,1546,-7580,-2744,-1227,1780
30442,880,1638,-7584,-2071,-765,1458
30452,914,1818,-7530,-1368,-406,1189
30462,1026,1782,-7498,-411,22,921
30472,1066,1748,-7422,404,263,748
30482,1068,1706,-7474,1008,326,659
30492,1244,1598,-7510,1476,183,516
30502,1110,1588,-7506,1821,61,392
30512,1116,1520,-7650,2027,61,276
30522,1076,1462,-7694,2104,2,165
30532,970,1444,-7788,2209,-185,26
30542,922,1410,-7752,2314,-278,-115
30552,902,1402,-7776,2324,-300,-161
30562,860,1360,-7794,2322,-391,-156
30572,860,1378,-7766,2297,-377,-142
30582,832,1298,-7832,2248,-296,-148
30592,856,1272,-7834,2210,-250,-138
30602,878,1290,-7900,2280,-189,-136
30612,844,1184,-7908,2406,-163,-162
30622,832,1160,-7942,2534,-121,-201
30632,836,1102,-7854,2567,-143,-202
30642,886,1056,-7896,2544,-132,-172
30652,846,1022,-7902,2522,-177,-155
30662,886,990,-7870,2454,-249,-152
30672,884,954,-7868,2298,-398,-145
30682,796,946,-7912,2093,-667,-124
30692,714,1042,-7976,1822,-944,-80
30702,676,1018,-7968,1517,-1057,-29
30712,618,1006,-8032,1177,-1066,50
30722,544,1036,-8142,930,-903,114
30732,556,1114,-8156,810,-616,130
30742,592,1156,-8066,815,-294,99
30752,676,1144,-8076,912,-78,58
30763,636,1110,-8006,1065,-84,28
30773,674,1074,-8018,1212,-205,-13
30783,660,1058,-7984,1337,-341,-31
30793,548,970,-8002,1420,-481,-34
30803,486,958,-8026,1374,-594,-31
30813,486,936,-8026,1219,-554,-4
30823,446,944,-8036,1029,-452,58
30833,480,972,-8066,849,-337,112
30843,536,1012,-8042,684,-217,145
30853,560,1068,-8078,604,-242,145
30863,574,1058,-7996,675,-319,119
30873,514,1006,-7982,969,-329,50
30883,484,1036,-7930,1050,-365,50
30893,484,1054,-7966,1129,-363,71
30903,490,1014,-7970,1234,-361,109
30913,430,954,-8014,1253,-408,173
30923,444,914,-7946,1162,-439,208
30934,512,966,-8010,1003,-439,241
30944,590,1034,-7998,853,-382,282
30954,624,1002,-8012,791,-280,333
30964,590,984,-8098,803,-253,347
30974,574,986,-8010,799,-321,328
30984,628,970,-8028,772,-389,289
30994,630,1014,-7986,724,-403,265
31004,642,1070,-7974,688,-343,267
31014,560,1024,-7936,713,-295,259
31024,548,1034,-7962,768,-335,221
31034,596,1020,-7890,830,-369,204
31044,554,1024,-7978,890,-402,197
31054,560,976,-7950,934,-389,208
31064,580,946,-7936,907,-326,223
31074,682,956,-7966,833,-263,210
31084,692,988,-7936,748,-235,199
31094,682,1040,-7940,659,-277,198
31104,624,1028,-7918,623,-393,190
31114,584,1018,-7936,638,-528,173
31124,552,1038,-7880,710,-638,142
31134,466,1050,-7882,753,-646,130
31144,472,1036,-7850,763,-554,146
31154,450,1054,-7886,772,-423,176
31164,490,1086,-7890,819,-291,207
31174,508,1120,-7880,915,-209,212
31184,596,1040,-7928,1058,-218,205
31194,658,1048,-8014,1166,-294,186
31204,620,996,-7968,1204,-393,157
31214,600,948,-8008,1171,-459,107
31224,586,996,-7966,1077,-471,49
31234,510,1008,-7974,957,-435,26
