# label=pronation
# trial=6
# subject=handback_single
# captured_at=20260412_031836
# sensor_count=1
ts_ms,ax,ay,az,gx,gy,gz
26549,-6402,4534,-4800,-14901,-23136,7786
26559,-5820,4764,-3674,-15165,-21281,9143
26569,-6726,4846,-3656,-14277,-16779,11117
26579,-5816,3562,-3910,-13207,-13306,12929
26589,-4740,4138,-3980,-13176,-9755,14967
26599,-5126,4182,-3426,-13945,-9765,16632
26609,-4600,4516,-2980,-14442,-10541,18076
26619,-4238,5548,-2546,-14292,-10020,19190
26629,-4238,7526,-2246,-12590,-8769,19749
26639,-4224,7850,-1812,-9303,-7361,19224
26649,-2778,7956,-914,-6496,-4469,17643
26659,-2172,7250,-978,-3862,-2338,15347
26669,-980,6528,-814,-1984,-1207,12722
26679,-278,5734,-556,-941,880,10499
26689,-74,5312,-900,-213,2249,8854
26699,40,4970,-1434,-346,1372,7582
26710,-140,5872,-1092,-872,629,6780
26720,-352,6508,-1046,-576,1027,5999
26730,160,6874,-1436,2585,4373,4977
26740,334,6872,-1630,5120,5373,4976
26750,-64,6580,-1876,7513,5129,4966
26760,60,6046,-1826,9094,4086,4675
26770,68,5298,-2084,10118,3424,4011
26780,368,5142,-2230,10603,3596,3304
26790,630,5654,-2550,10791,4228,2785
26800,542,6628,-3030,11370,4826,2220
26810,1172,7464,-3280,12949,4714,1162
26820,474,7218,-3738,15794,3836,-376
26830,-84,6186,-4202,19276,1873,-2051
26840,-976,4790,-4382,21975,-213,-2991
26850,-1748,3804,-4540,23366,-1420,-3563
26860,-1538,3278,-5286,23363,-887,-3903
26870,-1028,2384,-5880,21681,1790,-4224
26880,-488,2400,-6272,18781,5354,-4195
26890,284,2970,-6964,15940,8116,-4007
26900,1028,3598,-7774,14190,9122,-4413
26910,934,3514,-8218,14034,8081,-5622
26920,306,3028,-8578,14895,5484,-6980
26930,-574,2048,-9196,15926,2930,-8243
26940,-702,1552,-9554,15997,2183,-9180
26950,-432,884,-9658,15040,3053,-9921
26960,-438,444,-9566,12864,4662,-10351
26970,-336,144,-9798,10544,6924,-10471
26980,-468,242,-9876,8575,8814,-10593
26990,-890,28,-10010,7387,9632,-10875
27000,-1694,-96,-9796,6884,9440,-10990
27010,-1970,-110,-9424,6532,9050,-11191
27020,-2406,-198,-9174,5817,9084,-11595
27030,-2790,-228,-9026,4874,9550,-12008
27040,-2678,-230,-8442,4021,10929,-12563
27051,-2200,-232,-8548,3428,13405,-12959
27061,-1464,-128,-7946,2692,15491,-12933
27071,-452,-112,-7688,2006,16874,-12654
27081,222,-466,-8162,1659,17173,-12188
27091,794,-822,-8480,1556,15991,-11418
27101,628,-1112,-8426,1346,13606,-10422
27111,154,-1308,-8440,959,10753,-9483
27121,-138,-1652,-8648,381,8284,-8629
27131,-266,-1616,-8546,-650,7094,-7850
27141,-410,-1626,-8608,-1582,6809,-7175
27151,-290,-1546,-8604,-2619,7407,-6487
27161,-282,-1584,-8732,-3589,8552,-5873
27171,2,-1770,-8648,-4990,8643,-4789
27181,2,-1770,-8648,-4990,8643,-4789
27191,106,-1614,-8728,-4558,5778,-3689
27201,-32,-1578,-8724,-4408,4228,-3100
27211,-612,-1472,-8594,-4197,3030,-2637
27222,-772,-1452,-8598,-4074,2858,-2333
27232,-1248,-1312,-8346,-4338,2845,-2071
27242,-1124,-1104,-8380,-4507,3354,-1914
27252,-1134,-1030,-8282,-4863,3521,-1777
27262,-1016,-760,-8168,-5236,4512,-1647
27272,-492,-556,-8226,-5341,5179,-1481
27282,-494,-526,-8026,-5163,5883,-1275
27292,-444,-416,-8008,-5111,6300,-1073
27302,-528,-300,-7692,-4883,5999,-998
27312,-738,-130,-7788,-4428,5335,-989
27322,-624,6,-7536,-4128,4802,-945
27332,-778,-18,-7502,-4153,4395,-925
27342,-768,70,-7450,-4054,4319,-897
27352,-822,130,-7356,-3867,4589,-858
27362,-660,132,-7444,-3730,5304,-764
27372,-280,152,-7454,-3525,5520,-675
27382,-226,88,-7380,-3110,5300,-627
27392,-280,18,-7540,-2706,4993,-502
27402,-146,58,-7396,-2253,4841,-305
27412,-148,24,-7348,-1986,4597,-101
27422,-76,52,-7550,-1960,4609,105
27432,-130,-70,-7720,-1921,4657,269
27442,-206,-178,-7764,-1849,4570,451
27452,-200,-182,-7742,-1865,4773,613
27462,-64,-178,-7828,-1982,5124,709
27472,10,-148,-7808,-2167,5252,709
27482,72,-156,-7886,-2306,5160,646
27492,104,-118,-7870,-2321,5075,552
27502,112,-106,-7794,-2251,4913,434
27512,160,-60,-7818,-2107,4756,319
27522,166,2,-7772,-1933,4700,195
27532,18,-10,-7778,-1747,4704,139
27542,40,-14,-7780,-1612,4750,184
27552,44,-42,-7824,-1578,4842,213
27563,14,-54,-7830,-1660,4940,173
27573,-28,-72,-7824,-1768,5058,107
27583,-44,-90,-7786,-1877,5150,40
27593,82,-42,-7838,-2008,5396,-98
27603,84,-24,-7834,-1932,5443,-184
27613,84,-24,-7834,-1932,5443,-184
27623,54,2,-7770,-1904,5399,-15
27633,-10,-28,-7838,-1972,5095,153
27643,-128,-54,-7878,-2183,4655,236
27653,-304,-30,-7838,-2542,4357,216
27663,-298,-82,-8024,-2845,4084,158
27673,-438,-66,-7994,-2991,4142,146
27683,-212,38,-8034,-2963,4439,151
27693,-654,-102,-8092,-3025,4701,111
27703,-432,28,-8160,-2689,4831,364
27713,-278,104,-8314,-2480,5056,305
27723,-316,-30,-8168,-2547,4995,87
27734,-316,134,-8242,-2703,5389,-90
27744,-548,200,-7908,-2988,5472,-125
27754,-230,196,-7944,-3272,5210,0
27764,-258,44,-8160,-2808,5075,26
27774,-282,48,-8124,-2711,4975,150
27784,-208,130,-8416,-2587,5162,272
27794,-478,26,-8024,-2195,4722,274
27804,-528,148,-8092,-1859,4560,238
27814,-468,178,-8122,-1790,4552,160
27824,-626,166,-8028,-1783,4650,85
27834,-604,84,-7958,-1941,4812,112
27844,-576,134,-7898,-2082,5058,265
27854,-486,106,-7902,-2141,5335,419
27864,-484,116,-7890,-2110,5412,533
27874,-440,148,-7858,-2062,5339,600
27884,-478,138,-7832,-2008,5157,651
27894,-644,164,-7722,-1957,4821,762
27904,-692,198,-7678,-1960,4508,929
27914,-720,180,-7694,-2024,4416,1129
27924,-658,132,-7758,-2146,4438,1344
27934,-578,220,-7908,-2287,4531,1581
27944,-604,166,-7950,-2416,4667,1814
27954,-652,212,-7916,-2483,4675,1940
27964,-728,266,-7818,-2593,4548,1972
27974,-704,364,-7914,-2728,4429,1952
27984,-802,374,-8030,-2828,4351,1901
27994,-692,438,-8210,-2930,4364,1926
28004,-710,570,-8220,-2970,4592,1938
28014,-752,540,-8340,-2824,5193,1843
28024,-468,580,-8740,-2711,5828,1647
28034,-514,866,-8516,-2736,5821,1429
28044,-772,636,-8624,-2457,5212,1213
28054,-764,748,-8458,-2462,5508,1226
28064,-554,786,-8378,-2515,5773,1220
28075,-298,722,-8544,-2318,6323,1155
28085,-146,770,-8546,-2174,6455,1018
28095,-226,754,-8546,-2028,6218,791
28105,-296,738,-8472,-1838,6096,493
28115,-368,590,-8344,-1624,5978,210
28125,-518,534,-8204,-1529,5963,41
28135,-558,428,-8242,-1496,6303,-56
28145,-594,230,-8150,-1695,6647,-91
28155,-360,230,-7986,-1954,6922,-82
28165,-188,204,-8058,-2111,7047,-53
28175,-114,202,-8058,-2180,6998,23
28185,-36,168,-8144,-2161,6715,1
28195,-142,28,-8026,-2164,6046,-144
28205,-254,112,-8014,-2260,5453,-296
28215,-376,192,-7914,-2450,4983,-426
28225,-560,264,-7830,-2707,4840,-500
28235,-730,338,-7682,-2967,4882,-514
28246,-1010,186,-7584,-3112,5018,-498
28256,-1054,178,-7498,-3221,5111,-378
28266,-1004,156,-7504,-3178,5168,-203
28276,-904,260,-7518,-3108,5219,51
28286,-636,346,-7554,-2847,5287,375
28296,-406,418,-7614,-2519,5351,765
28306,-192,540,-7734,-2309,5282,1101
28316,-44,520,-7812,-2187,4960,1352
28326,34,626,-7820,-2216,4531,1540
28336,54,708,-7798,-2354,4137,1641
28346,4,754,-7844,-2496,3933,1650
28356,-148,912,-7988,-2528,4037,1663
28366,-124,1078,-7926,-2500,4401,1733
28376,-16,1224,-7998,-2395,4976,1776
28386,6,1198,-8118,-2238,5476,1722
28396,18,1084,-8180,-1976,5681,1613
28406,-12,846,-8120,-1863,5666,1448
28416,-52,650,-8108,-1870,5577,1277
28426,-88,492,-8004,-1927,5574,1163
28436,-158,398,-7954,-2144,5754,1202
28446,-58,542,-7964,-2384,6110,1341
28456,38,796,-7948,-2569,6168,1453
28466,124,930,-8016,-2605,5987,1526
28476,-10,1010,-8100,-2583,5578,1543
28486,-404,836,-8094,-2444,4760,1253
28496,-562,746,-7948,-2465,4764,996
28506,-562,746,-7948,-2465,4764,996
28516,-482,616,-7844,-2539,5756,561
28526,-358,646,-7770,-2562,6188,524
28536,-250,744,-7754,-2557,6216,603
28546,-224,872,-7844,-2488,5942,671
28556,-344,796,-7924,-2308,5442,656
28566,-530,624,-8036,-1979,4980,590
28576,-746,394,-7994,-1691,4742,522
28587,-924,114,-7874,-1573,4778,483
28597,-924,8,-7888,-1687,4992,462
28607,-1002,30,-7756,-1992,5116,518
28617,-968,152,-7592,-2253,5326,680
28627,-848,200,-7512,-2313,5398,897
28637,-690,150,-7494,-2164,5379,1164
28647,-486,112,-7426,-1933,5139,1406
28657,-324,-136,-7450,-1552,4738,1554
28667,-274,-262,-7472,-1342,4335,1619
28677,-170,-394,-7536,-1257,4074,1620
28687,-76,-320,-7536,-1320,4012,1518
28697,-32,258,-7540,-1624,4016,1267
28707,-14,590,-7498,-1952,4082,997
28717,-118,700,-7620,-2057,4129,818
28727,-310,632,-7868,-1755,4096,681
28737,-620,686,-7790,-1222,3954,546
28747,-550,424,-8028,-649,3907,324
28758,-338,194,-8154,-114,4081,123
28768,-204,116,-8398,-5,4266,-22
28778,-270,156,-8338,-264,4431,-218
28788,-392,356,-8278,-776,4546,-368
28798,-652,582,-8260,-1138,4692,-416
28808,-952,546,-8148,-1259,4706,-418
28818,-1036,564,-8278,-1052,4697,-426
28828,-1094,454,-8296,-647,4535,-434
28838,-1256,274,-8260,-79,4536,-364
28848,-1032,34,-8374,325,4836,-169
28858,-914,-40,-8460,333,4938,92
28868,-1088,42,-8262,83,4858,254
28878,-1334,150,-8118,-410,4799,354
28888,-1420,378,-8060,-1080,4620,543
28898,-1508,576,-8006,-1549,4553,782
28908,-1458,760,-8012,-1823,4682,1066
28918,-1274,544,-8274,-1146,5217,1507
28928,-1274,544,-8274,-1146,5217,1507
28938,-1002,292,-8482,-367,5637,1562
28948,-966,108,-8578,-165,5682,1399
28958,-1014,-10,-8622,-127,5594,1309
28968,-1070,-2,-8504,-333,5516,1415
28978,-1172,14,-8328,-651,5576,1633
28988,-1178,-140,-8360,-1288,5568,1798
28998,-1178,-68,-8004,-2135,5515,1841
29008,-1296,-98,-8002,-2869,5516,1788
29018,-1388,-204,-8248,-3376,5545,1781
29028,-1256,-238,-8128,-3500,5792,1811
29038,-1124,-220,-8254,-3102,6160,1919
29048,-880,-160,-8274,-2520,6571,1991
29058,-750,-244,-8210,-2011,6734,1985
29068,-650,-346,-8062,-1730,6612,1914
29078,-482,-462,-7896,-1837,6358,1809
29088,-376,-504,-7848,-2197,5949,1673
29099,-262,-460,-7754,-2790,5698,1441
29109,-140,-318,-7760,-3541,5606,1158
29119,-58,-106,-7636,-4206,5519,917
29129,6,60,-7560,-4494,5508,744
29139,162,158,-7536,-4323,5512,611
29149,310,234,-7448,-3847,5435,445
29159,184,266,-7380,-3290,5196,143
29169,12,132,-7476,-2866,4691,-344
29179,-336,60,-7478,-2537,3991,-867
29189,-424,124,-7366,-2691,3708,-1241
29199,-524,334,-7510,-2829,4067,-1586
29209,-540,412,-7542,-2799,4716,-1769
29219,-362,552,-7522,-2896,5458,-1727
29229,-228,576,-7640,-2670,6107,-1625
29239,-550,626,-7684,-2337,5954,-1490
29249,-716,620,-7702,-1834,5185,-1427
29259,-926,530,-7736,-1157,4386,-1339
29270,-1104,336,-7762,-581,3717,-1250
29280,-1300,298,-7822,-247,3319,-1088
29290,-1384,308,-7874,-340,3392,-855
29300,-1160,396,-7996,-628,4095,-727
29310,-1186,350,-8056,-905,4710,-651
29320,-1164,186,-8326,-876,5171,-565
29330,-1230,284,-8416,-916,5172,-422
29340,-1042,326,-8482,-890,4070,-428
29350,-1042,508,-8370,-1072,3738,-471
29360,-1018,456,-8386,-1363,3680,-386
29370,-970,582,-8430,-1608,3799,-167
29380,-1014,530,-8440,-1775,4054,-46
29390,-1068,564,-8526,-1901,4297,-164
29400,-1164,376,-8420,-2149,4261,-360
29410,-1298,392,-8246,-2365,4131,-463
29420,-1196,394,-8218,-2552,4122,-555
29430,-1348,358,-8114,-2823,4311,-634
29440,-1386,426,-7708,-2953,4642,-773
29450,-1452,412,-7574,-2923,4962,-1043
29460,-1598,272,-7428,-2759,5205,-1143
29470,-1744,262,-7370,-2561,5343,-1130
29480,-1872,242,-7216,-2473,5270,-1051
29490,-1750,244,-7294,-2375,5221,-951
29500,-1712,380,-7358,-2377,5221,-925
29510,-1948,208,-7470,-2359,5145,-1003
29520,-2072,-36,-7558,-2228,5102,-1128
29530,-2248,-74,-7598,-2038,5005,-1226
29540,-2186,-214,-7606,-1944,5037,-1286
29550,-2098,-232,-7570,-1935,5205,-1279
29560,-1900,-176,-7460,-2025,5526,-1152
29570,-1906,-160,-7484,-2226,5857,-977
29580,-1802,-36,-7470,-2429,6057,-736
29590,-1694,74,-7478,-2541,5992,-521
29600,-1654,140,-7554,-2466,5683,-399
29611,-1676,98,-7584,-2250,5146,-386
29621,-1776,78,-7698,-1938,4663,-410
29631,-1764,14,-7818,-1649,4493,-414
29641,-1694,10,-7940,-1512,4602,-419
29651,-1622,-4,-7922,-1598,4951,-443
29661,-1492,24,-7964,-1836,5363,-475
