# label=radial_deviation
# trial=1
# subject=handback_single
# captured_at=20260412_031130
# sensor_count=1
ts_ms,ax,ay,az,gx,gy,gz
4963,-1476,164,-7394,-1229,-401,-996
4973,-1606,150,-7376,-1180,-481,-871
4983,-1384,286,-7350,-985,-463,-791
4993,-1242,302,-7476,-611,-454,-759
5003,-1244,292,-7506,-194,-719,-699
5013,-1262,266,-7546,205,-988,-592
5023,-1444,168,-7550,501,-1314,-453
5033,-1552,148,-7596,641,-1545,-288
5043,-1578,152,-7570,639,-1505,-139
5053,-1712,82,-7658,545,-1341,-2
5063,-1740,176,-7704,376,-1096,83
5073,-1804,186,-7646,249,-743,105
5083,-1770,130,-7750,181,-350,55
5093,-1760,226,-7780,209,102,-95
5103,-1338,344,-7842,255,599,-255
5113,-1298,308,-7852,459,660,-436
5123,-1134,332,-7902,654,867,-542
5133,-1112,270,-7890,865,1049,-588
5143,-1144,138,-7904,1000,1014,-526
5153,-1210,108,-7906,1015,862,-383
5163,-1204,70,-7980,1025,725,-264
5173,-1102,22,-7940,968,617,-152
5183,-1128,-48,-8006,965,515,-37
5193,-1050,-158,-8030,1051,547,13
5203,-1056,-192,-8046,1090,529,19
5213,-1022,-122,-8064,1103,432,-52
5223,-1178,-56,-7992,1115,294,-154
5233,-1366,-92,-7960,1149,196,-254
5243,-1460,-50,-7864,1143,224,-205
5253,-1530,-48,-7836,1126,325,-77
5263,-1500,-80,-7904,1112,585,80
5273,-1328,-42,-7912,1090,873,247
5283,-1064,110,-7952,1208,839,419
5293,-1064,110,-7952,1208,839,419
5303,-1290,210,-7858,1390,299,377
5313,-1486,262,-7830,1462,123,315
5323,-1642,200,-7764,1427,62,313
5334,-1588,80,-7920,1350,183,376
5344,-1568,-10,-7978,1381,487,438
5354,-1464,-106,-8050,1417,875,491
5364,-1304,-120,-8098,1378,1203,570
5374,-1228,-106,-8082,1293,1225,621
5384,-1300,-112,-8144,1179,967,584
5394,-1330,-106,-8102,995,736,525
5404,-1526,-126,-7974,798,496,500
5414,-1516,-176,-8002,617,444,534
5424,-1372,-190,-7976,483,616,659
5434,-1238,-198,-8014,473,806,787
5444,-1128,-218,-8000,539,877,882
5454,-1086,-230,-7876,638,772,915
5464,-1216,-134,-7772,692,397,919
5474,-1314,-116,-7730,694,11,919
5484,-1404,-178,-7676,592,-168,998
5494,-1424,-200,-7616,460,-114,1092
5504,-1340,-174,-7756,368,58,1169
5514,-1284,-188,-7700,353,284,1216
5524,-1224,-140,-7690,388,402,1199
5534,-1176,-124,-7652,496,369,1183
