# label=supination
# trial=7
# subject=handback_single
# captured_at=20260412_032230
# sensor_count=1
ts_ms,ax,ay,az,gx,gy,gz
31809,572,-600,-7826,-25954,12780,13363
31819,444,-22,-7788,-25512,11218,12985
31830,472,204,-7324,-24732,9501,12617
31840,814,1012,-7330,-23770,8185,12051
31850,1498,1444,-6956,-22736,7158,11274
31860,1830,2190,-6734,-21904,6816,10370
31870,1928,2734,-6524,-21257,6560,9119
31880,3036,3308,-6258,-20850,6626,7779
31890,3306,3880,-5954,-20636,6511,6654
31900,3888,4212,-6036,-20407,6143,5794
31910,3494,4548,-5846,-19815,5427,5106
31920,3430,4754,-5252,-19025,4251,4234
31930,3578,5530,-5052,-17833,3473,3379
31940,3616,5238,-4500,-17197,2300,2624
31950,3738,5442,-3840,-16675,2137,1988
31960,4198,5730,-3956,-15893,2760,1137
31970,3676,5968,-3594,-15765,2337,374
31980,2938,6214,-3554,-15388,2281,-547
31990,3934,5862,-2966,-14958,1940,-2082
32267,-5952,5896,-3228,18846,2159,-13047
32277,-5492,4652,-3542,22381,3977,-12338
32287,-4328,2948,-3654,25529,6924,-12205
32297,-3314,1812,-4100,27378,8704,-12466
32307,-2900,824,-3950,28621,8812,-12571
32317,-3094,826,-4610,28998,7234,-12132
32327,-3770,856,-4848,28113,3511,-10837
32337,-5122,204,-5292,27195,-173,-8985
32347,-6100,-406,-5664,26014,-2151,-7038
32357,-6586,-1376,-6614,25174,-1905,-5248
32367,-7146,-1572,-6550,22874,-1212,-3330
32377,-6824,-2494,-6996,18134,989,-325
32387,-6824,-2494,-6996,18134,989,-325
32397,-5924,-2536,-7254,14214,3677,1416
32407,-5448,-2338,-7388,12990,4630,1872
32417,-4732,-2322,-7478,11939,5221,2322
32427,-4316,-2284,-7424,10966,5223,2859
32437,-4232,-2322,-7466,10345,4822,3564
32447,-3918,-2396,-7548,10009,4390,4515
32457,-3964,-2484,-7610,9763,4151,5635
32467,-2918,-2524,-7294,9768,4047,6591
32477,-2762,-2854,-7510,10203,3860,7077
32487,-2384,-2870,-7576,10236,3805,7442
32497,-2802,-2814,-7514,10265,3315,7952
32507,-2898,-2856,-7564,10450,3129,8846
32517,-2902,-3040,-7284,10364,3078,10177
32527,-2858,-3300,-7034,9909,3377,11803
32537,-2842,-3498,-6822,9597,3966,13352
32547,-2938,-3524,-6918,8827,4002,14593
32557,-1934,-3572,-7310,7921,3702,15167
32567,-836,-3304,-7582,6548,3498,14941
32577,-150,-3050,-7784,4925,2386,13768
32587,-1192,-2940,-7946,3179,-2,12491
32598,-1676,-3016,-7874,1387,-2526,11757
32608,-2320,-3008,-8008,-173,-5228,10977
32618,-2570,-2972,-7996,-1430,-6460,10184
32628,-2936,-2898,-7726,-2561,-6339,9396
32638,-3128,-2904,-7648,-3405,-5443,8563
32648,-2942,-2886,-7580,-3722,-3554,7585
32658,-2718,-2834,-7506,-3703,-1644,6481
32668,-2492,-2598,-7376,-3375,-138,5354
32678,-2172,-2378,-7346,-2921,714,4250
32688,-1864,-2230,-7238,-2304,1023,3228
32698,-1822,-2088,-7082,-1623,788,2388
32708,-1394,-1854,-7080,-968,605,1713
32718,-1224,-1796,-7138,-319,111,1141
32728,-1414,-1648,-7168,490,-312,800
32738,-1358,-1652,-7148,1269,-641,682
32748,-1322,-1646,-7072,1775,-1193,730
32758,-1486,-1674,-7146,2345,-1909,784
32768,-1664,-1722,-7080,2631,-2721,827
32778,-1948,-1862,-7122,2614,-3449,861
32788,-2062,-1946,-7188,2525,-3864,845
32798,-2352,-1934,-7236,2281,-3953,840
32808,-2510,-1864,-7372,1885,-3682,858
32818,-2472,-1908,-7338,1343,-3163,863
32828,-2240,-1874,-7520,889,-2542,884
32838,-2258,-1930,-7572,481,-1771,776
32848,-2186,-2004,-7474,483,-1835,703
32858,-2186,-2004,-7474,483,-1835,703
32868,-2380,-2200,-7458,520,-2491,560
32878,-2590,-2264,-7346,420,-2610,596
32888,-2526,-2220,-7366,147,-2385,713
32898,-2564,-2224,-7394,-183,-1896,916
32908,-2516,-2212,-7384,-513,-1458,1119
32918,-2330,-2122,-7490,-695,-1248,1338
32928,-2058,-2018,-7532,-765,-1322,1520
32939,-2072,-1894,-7430,-667,-1576,1629
32949,-2118,-1978,-7488,-461,-2274,1614
32959,-2136,-2056,-7456,-233,-2857,1563
32969,-2060,-2124,-7254,48,-3352,1545
32979,-2208,-2086,-7258,501,-3556,1537
32989,-2266,-2136,-7184,801,-3469,1614
32999,-2272,-2142,-7214,926,-3384,1702
33009,-2274,-2034,-7314,955,-3250,1763
33019,-2246,-1986,-7382,815,-3134,1821
33029,-2234,-1970,-7436,701,-2970,1839
33039,-2150,-1988,-7490,583,-2858,1838
33049,-2048,-2096,-7580,490,-2733,1785
33059,-2104,-2056,-7582,463,-2714,1696
33069,-2100,-2170,-7558,478,-2657,1624
33079,-2138,-2140,-7576,540,-2528,1579
33089,-2134,-2156,-7544,432,-2289,1648
33099,-2054,-2096,-7594,184,-2074,1860
33110,-1968,-2008,-7670,-252,-1840,2124
33120,-1902,-1914,-7756,-798,-1679,2346
33130,-1870,-1884,-7866,-1347,-1758,2471
33140,-1866,-1894,-7922,-1724,-1843,2480
33150,-1758,-1858,-7810,-1833,-1932,2459
33160,-1748,-1718,-7772,-1935,-2361,2379
33170,-1874,-1686,-7576,-1875,-2547,2290
33180,-1836,-1516,-7390,-1649,-2827,2303
33190,-1752,-1452,-7450,-1343,-3007,2212
33200,-1748,-1468,-7412,-970,-3135,2019
33210,-1748,-1468,-7374,-786,-3284,1756
33220,-1910,-1360,-7374,-402,-3424,1463
33230,-1792,-1340,-7254,139,-3465,1260
33240,-1710,-1236,-6876,725,-3466,1069
33250,-1662,-1250,-6836,1689,-3462,998
33260,-1798,-1288,-6796,2735,-3476,1045
33270,-1982,-1280,-7098,4186,-3740,1328
33280,-1982,-1280,-7098,4186,-3740,1328
33290,-1868,-1204,-7180,3750,-3851,1635
33300,-1672,-1270,-6988,3289,-3832,1643
33310,-1830,-1556,-6936,3082,-3850,1530
33320,-1978,-1696,-6820,3232,-4172,1339
33330,-2166,-2066,-7024,3724,-4675,1168
33340,-2306,-2038,-6898,4163,-5219,958
33350,-2278,-1912,-8038,4399,-5375,707
33360,-4568,-6912,-11166,3094,-5055,408
33370,-2518,-676,-8150,-1576,-4551,1287
33380,-2704,-3036,-8202,-3540,-3328,1031
33390,-1414,-2458,-7734,-3396,-1875,926
33400,-1870,-2482,-7704,-2055,-766,1038
33410,-1974,-2258,-7690,-450,-1122,1572
33420,-1808,-2316,-7706,718,-2187,1693
33430,-1680,-2642,-7720,1484,-3429,1412
33440,-1462,-2538,-7474,1960,-4186,1078
33451,-1464,-2404,-7288,2300,-4218,883
33461,-1646,-2342,-7252,2606,-3868,881
33471,-1830,-2168,-7028,2543,-3865,1048
33481,-1884,-1908,-7080,2267,-4143,1222
33491,-2006,-1864,-7112,1864,-4419,1236
33501,-2024,-1972,-7066,1187,-4608,1115
33511,-2114,-1922,-7052,556,-4507,1010
33521,-2274,-1992,-7086,79,-4229,1059
33531,-2414,-1964,-7094,-265,-3989,1314
33541,-2526,-2012,-7208,-577,-3814,1650
33551,-2662,-2062,-7146,-833,-3712,1935
33561,-2658,-2090,-7236,-1020,-3597,2147
33571,-2634,-1968,-7178,-1289,-3403,2286
33581,-2708,-2102,-7380,-1545,-3131,2284
33591,-2820,-2188,-7436,-1638,-2896,2198
33601,-3044,-2194,-7542,-1559,-2791,2019
33611,-3106,-2376,-7554,-1199,-2714,1836
33622,-3054,-2466,-7560,-567,-2604,1730
33632,-2860,-2256,-7426,69,-2423,1701
33642,-2736,-2172,-7386,508,-2121,1691
33652,-2682,-2058,-7268,753,-1762,1594
33662,-2536,-1744,-7208,585,-1350,1520
33672,-2536,-1744,-7208,585,-1350,1520
33682,-2246,-1780,-7144,-103,-1117,1548
33692,-2092,-1702,-7234,-435,-1061,1646
33702,-2086,-1772,-7306,-703,-967,1748
33712,-1964,-1848,-7486,-862,-949,1874
33722,-1888,-1924,-7538,-885,-906,1927
33732,-1488,-1912,-7726,-770,-811,1835
33742,-1648,-1820,-7674,-565,-570,1627
33752,-1576,-1762,-7714,-544,-584,1390
33762,-1382,-1696,-7684,-366,-768,1255
33772,-1548,-1648,-7584,-317,-1227,1266
33782,-1484,-1604,-7610,-202,-1475,1426
33792,-1426,-1690,-7790,-89,-1711,1567
33802,-1236,-1516,-7694,-57,-1743,1799
33812,-1152,-1454,-7826,-196,-1460,1769
33822,-1064,-1708,-7814,-179,-1249,1719
33832,-954,-1586,-7770,-42,-1212,1760
33842,-936,-1642,-7736,49,-1393,1776
33852,-832,-1534,-7718,89,-1841,1786
33862,-934,-1526,-7744,112,-2369,1810
33872,-994,-1498,-7704,23,-2568,1891
33882,-1056,-1484,-7776,2,-2610,1969
33892,-1038,-1458,-7740,55,-2731,2037
33902,-926,-1446,-7806,100,-2768,2056
33912,-898,-1402,-7788,48,-2780,1994
33922,-966,-1494,-7766,14,-2924,1911
33932,-1066,-1494,-7800,32,-3151,1900
33942,-1082,-1496,-7784,36,-3380,1921
33952,-1128,-1290,-7744,-8,-3653,1928
33963,-1202,-1274,-7674,-93,-3915,1934
33973,-1302,-1286,-7780,-116,-4070,2032
33983,-1222,-1146,-7812,-157,-4014,2164
33993,-1224,-1286,-7938,-242,-3817,2151
34003,-1318,-1420,-7876,-237,-3734,2077
34013,-1414,-1480,-7864,-62,-3790,1978
34023,-1518,-1452,-7828,126,-3992,1885
34033,-1666,-1524,-7782,259,-4215,1835
34043,-1784,-1582,-7706,480,-4373,1844
34053,-1846,-1528,-7716,652,-4360,1868
34063,-1854,-1502,-7606,740,-4211,1885
34073,-1900,-1430,-7580,815,-4020,1903
34083,-1958,-1392,-7502,841,-3841,1890
34093,-1982,-1356,-7422,796,-3706,1871
34103,-1982,-1220,-7496,672,-3589,1851
34113,-2060,-1280,-7508,445,-3441,1895
34123,-2020,-1278,-7494,282,-3249,2040
34134,-1936,-1268,-7700,83,-2771,2145
34144,-1846,-1290,-7758,119,-2660,2057
34154,-1844,-1192,-7800,271,-2693,2010
34164,-1730,-1156,-7892,364,-2778,1943
34174,-1762,-1336,-7780,330,-2864,1809
34184,-1730,-1264,-7780,347,-2924,1729
34194,-1736,-1342,-7770,340,-2889,1692
