# label=ulnar_deviation
# trial=8
# subject=handback_single
# captured_at=20260412_031411
# sensor_count=1
ts_ms,ax,ay,az,gx,gy,gz
37047,-2888,-74,-7394,641,438,-72
37057,-2890,-110,-7396,593,445,-66
37067,-2864,-160,-7398,522,413,-76
37078,-2926,-194,-7406,468,334,-81
37088,-2956,-222,-7362,460,233,-81
37098,-2970,-232,-7384,478,171,-88
37108,-3058,-220,-7336,489,144,-114
37118,-3034,-166,-7362,481,174,-118
37128,-2984,-66,-7272,430,268,-112
37138,-2946,-100,-7310,332,378,-85
37148,-2910,-74,-7462,204,461,-43
37158,-2942,-54,-7458,105,499,-46
37168,-2986,-62,-7498,99,431,-48
37178,-2916,-46,-7506,188,367,-65
37188,-2926,-8,-7530,310,362,-117
37198,-2812,-14,-7460,443,356,-147
37208,-2808,-32,-7450,524,328,-151
37218,-2864,-30,-7446,524,287,-167
37228,-2846,-48,-7410,490,220,-151
37238,-2922,-72,-7360,449,181,-121
37248,-2954,-68,-7348,407,163,-94
37258,-2936,-68,-7434,375,179,-32
37268,-3022,-64,-7452,336,255,-11
37278,-3020,-74,-7518,304,343,-14
37288,-2952,-80,-7530,319,441,-32
37298,-3000,-88,-7516,349,525,-73
37308,-2938,-124,-7462,401,542,-93
37318,-2886,-128,-7410,462,509,-92
37328,-2848,-116,-7364,495,436,-81
37338,-2770,-170,-7372,473,347,-77
37348,-2828,-166,-7356,386,257,-90
37358,-2896,-200,-7406,304,190,-36
37368,-2988,-188,-7374,204,162,-14
37378,-3086,-212,-7442,158,167,-10
37388,-3074,-144,-7410,148,213,-6
37398,-3006,-68,-7434,152,328,-18
37408,-3008,24,-7504,153,444,-40
37419,-2946,74,-7528,158,537,-37
37429,-2778,132,-7490,190,621,8
37439,-2572,100,-7498,245,647,111
37449,-2660,86,-7464,241,480,172
37459,-2668,-6,-7510,212,263,256
37469,-2872,-4,-7552,171,31,182
37479,-2998,-36,-7548,195,-140,102
37489,-2980,-10,-7486,280,-213,53
37499,-2970,-52,-7370,359,-137,7
37509,-2878,-56,-7330,421,-8,11
37519,-2812,-88,-7348,377,83,29
37529,-2842,-68,-7322,265,114,96
37539,-2904,-112,-7278,142,73,162
37549,-2928,-114,-7324,29,6,221
37559,-2912,-138,-7366,-23,-27,291
37569,-2868,-170,-7462,-52,-14,314
37579,-3040,-186,-7506,-68,-11,207
37590,-3226,-138,-7496,-13,-64,124
37600,-3338,-76,-7440,98,-120,27
37610,-3320,88,-7434,258,-106,-31
37620,-3224,144,-7288,388,46,-47
37630,-3082,194,-7360,440,294,-39
37640,-2934,202,-7298,379,540,20
37650,-2886,62,-7386,233,713,28
37660,-2904,-74,-7348,122,711,27
37670,-2904,-140,-7438,105,592,18
37680,-3012,-224,-7396,190,424,-11
37690,-2892,-148,-7426,337,276,-56
37700,-2878,-92,-7372,409,208,-94
37710,-2952,-40,-7352,398,142,-83
37720,-2896,48,-7332,320,124,-29
37730,-2966,62,-7284,177,171,46
37740,-3006,124,-7354,4,226,117
37750,-3022,162,-7392,-76,264,212
37760,-3022,194,-7524,-100,311,231
37770,-3050,228,-7516,-71,334,156
37780,-3118,204,-7562,42,316,109
37790,-3014,178,-7466,171,285,43
37800,-2948,194,-7456,296,238,-41
37810,-2966,134,-7436,350,234,-101
37820,-2896,144,-7364,321,289,-90
37830,-2836,86,-7450,284,354,-88
37840,-2814,62,-7452,272,375,-96
37850,-2892,-50,-7412,270,289,-49
37860,-2936,-76,-7394,301,152,-32
37870,-3116,-26,-7344,319,-2,-50
37880,-3198,50,-7382,326,-64,-36
37890,-3198,50,-7382,326,-64,-36
37900,-3142,150,-7394,294,104,-58
37910,-2994,142,-7454,218,502,-77
37920,-3024,62,-7410,219,554,-59
37931,-3002,94,-7394,281,485,-24
37941,-2992,106,-7380,365,353,-8
37951,-2936,82,-7454,435,233,1
37961,-2970,110,-7374,446,192,3
37971,-2972,140,-7426,418,230,-16
37981,-2954,96,-7458,358,309,-37
37991,-2998,60,-7416,324,359,-49
38001,-3032,50,-7436,350,366,-91
38011,-3022,18,-7378,434,320,-114
38021,-3082,12,-7378,519,224,-157
38031,-3126,14,-7296,581,120,-154
38041,-3086,-28,-7298,578,103,-131
38051,-3044,-40,-7226,508,176,-97
38061,-2962,-22,-7262,373,324,-51
38071,-2966,46,-7280,209,483,-28
38081,-2964,68,-7334,49,568,10
38091,-3078,100,-7476,-45,556,2
38102,-3030,134,-7506,-20,478,4
38112,-3004,166,-7544,105,411,0
38122,-2924,182,-7558,287,382,-27
38132,-2878,204,-7486,451,377,-51
38142,-2892,146,-7464,522,366,-91
38152,-2916,148,-7384,523,328,-129
38162,-2916,106,-7336,462,251,-111
38172,-2982,76,-7364,389,184,-84
38182,-3002,64,-7344,310,142,-73
38192,-3080,34,-7344,264,190,-30
38202,-3052,-2,-7422,230,283,-12
38212,-3126,22,-7462,232,361,-33
38222,-3040,60,-7440,296,403,-32
38232,-3022,18,-7322,342,397,-58
38242,-3004,36,-7342,388,364,-61
38252,-3006,64,-7278,410,320,-31
38262,-2878,58,-7284,355,290,0
38272,-2986,62,-7372,230,291,-2
38282,-2964,100,-7388,109,308,4
38292,-3050,78,-7494,35,347,-24
38302,-2928,154,-7510,166,428,-40
38312,-2896,182,-7436,277,426,-82
38322,-2896,182,-7436,277,426,-82
38332,-2960,140,-7460,442,243,-142
38342,-2896,156,-7384,483,159,-124
38352,-2964,104,-7344,478,140,-94
38362,-2904,96,-7328,436,164,-71
38372,-2988,44,-7364,352,226,-47
38382,-2952,96,-7436,235,286,-55
38392,-3096,108,-7450,164,285,-107
38402,-3076,152,-7412,195,273,-71
38412,-3040,158,-7430,298,308,-67
38422,-2970,206,-7450,419,359,-87
38432,-2966,202,-7366,522,387,-97
38443,-2924,130,-7374,549,377,-88
38453,-2896,162,-7320,505,330,-88
38463,-2924,46,-7346,453,236,-77
38473,-2966,40,-7306,403,166,-69
38483,-3052,8,-7334,353,137,-77
38493,-3114,-14,-7348,299,120,-96
38503,-3166,4,-7366,280,143,-82
38513,-3130,20,-7380,276,238,-81
38523,-3094,40,-7408,295,369,-89
38533,-3012,86,-7404,310,484,-103
38543,-2938,86,-7350,307,565,-87
38553,-2880,126,-7356,292,567,-48
38563,-2914,72,-7428,256,507,-20
38573,-2882,110,-7418,238,403,-19
38583,-2934,130,-7498,260,294,-28
38593,-2982,102,-7462,305,231,-48
38603,-3002,140,-7488,365,202,-69
38614,-2982,132,-7476,416,200,-79
38624,-3046,116,-7458,448,212,-92
38634,-3048,86,-7398,449,215,-92
38644,-3096,24,-7360,433,231,-67
38654,-3028,12,-7336,407,253,-60
38664,-3052,0,-7364,370,296,-59
38674,-3050,10,-7352,337,338,-37
38684,-2986,50,-7388,295,386,-37
38694,-3054,78,-7402,251,415,-49
38704,-2954,86,-7458,242,420,-58
38714,-3012,94,-7428,257,424,-84
38724,-2970,72,-7458,373,360,-75
38734,-2936,118,-7312,397,338,-75
38744,-2936,118,-7312,397,338,-75
38754,-3008,26,-7400,348,319,-31
38764,-3062,64,-7368,289,346,-30
38774,-3082,10,-7476,256,372,-70
38784,-3110,56,-7440,289,408,-90
38794,-3082,98,-7462,368,487,-102
38804,-2948,142,-7408,433,586,-109
38814,-2898,122,-7452,466,653,-114
38824,-2806,164,-7386,451,661,-109
38834,-2814,160,-7412,390,626,-83
38844,-2764,114,-7414,327,538,-37
38854,-2732,78,-7428,294,457,1
38864,-2876,62,-7516,282,398,-19
38874,-2950,58,-7530,352,316,-85
38884,-3024,12,-7496,489,242,-113
38894,-2996,42,-7420,626,207,-148
38904,-3032,56,-7310,710,178,-173
38914,-3060,36,-7242,696,173,-155
38924,-3022,30,-7276,579,203,-91
38934,-2940,48,-7302,409,311,-14
38944,-2966,98,-7320,227,470,40
38955,-2932,84,-7452,96,617,57
38965,-2966,74,-7568,62,699,40
38975,-2986,76,-7640,145,698,0
38985,-2964,66,-7634,341,624,-68
38995,-2924,70,-7636,595,512,-119
39005,-2852,60,-7458,802,405,-178
39015,-2906,62,-7402,918,322,-231
39025,-3006,-10,-7378,940,284,-224
39035,-3100,-76,-7422,913,322,-155
39045,-3194,-106,-7396,877,466,-49
39055,-3188,-102,-7360,867,677,38
39065,-3224,-114,-7388,840,944,-1
39075,-3190,-88,-7396,804,1200,-130
39085,-3168,-70,-7466,817,1360,-208
39095,-2966,-68,-7402,829,1383,-307
39105,-2856,-32,-7352,830,1408,-343
39115,-2648,-46,-7388,809,1440,-291
39126,-2416,-66,-7340,702,1470,-216
39136,-2292,-94,-7428,511,1488,-115
39146,-2194,-96,-7624,64,1223,22
39156,-2322,-54,-7668,-42,886,13
39166,-2398,14,-7700,-31,480,58
39176,-2558,36,-7694,69,99,45
39186,-2740,86,-7742,203,-184,25
39196,-2784,2,-7638,378,-283,31
39206,-2898,-18,-7518,526,-220,-8
39216,-2942,-68,-7374,607,-75,-40
39226,-2918,-90,-7398,591,102,-24
39236,-2864,-154,-7324,484,276,-7
39246,-2832,-136,-7332,334,436,-23
39256,-2832,-144,-7308,185,568,-17
39266,-2802,-142,-7360,70,638,5
39276,-2774,-130,-7488,4,666,34
39286,-2776,-70,-7574,19,675,76
39296,-2742,-54,-7666,89,730,50
39306,-2690,-82,-7730,228,801,-2
39316,-2516,22,-7656,382,889,-68
39326,-2478,58,-7572,502,873,-116
39336,-2396,22,-7524,554,727,-136
39346,-2504,-24,-7442,507,482,-129
39356,-2540,-58,-7430,456,225,-70
39366,-2624,-84,-7428,383,51,-22
39376,-2712,-146,-7404,291,9,8
39386,-2736,-122,-7476,200,67,25
39396,-2796,-44,-7536,126,205,-5
39406,-2700,10,-7564,92,372,-10
39416,-2618,38,-7614,100,524,-30
39426,-2568,70,-7558,146,589,-51
39436,-2590,52,-7514,225,515,-55
39446,-2568,24,-7542,305,328,-18
39456,-2560,12,-7474,349,135,9
39467,-2504,0,-7534,331,42,41
39477,-2630,-14,-7532,259,66,35
39487,-2686,-12,-7622,193,113,9
39497,-2686,-28,-7580,170,166,3
39507,-2684,-20,-7544,183,210,-37
39517,-2632,-54,-7486,231,187,-47
39527,-2688,-46,-7576,288,88,-96
39537,-2692,-58,-7558,338,-56,-142
39547,-2664,-74,-7552,383,-150,-104
39557,-2632,-30,-7488,396,-131,-93
39567,-2648,-10,-7448,377,-58,-71
39577,-2630,0,-7392,326,1,-11
39587,-2706,-20,-7488,111,-31,13
39597,-2706,-20,-7488,111,-31,13
39607,-2798,24,-7560,40,-148,-45
39617,-2888,18,-7512,149,-213,-45
39627,-2902,18,-7536,255,-131,-76
39638,-2892,8,-7588,363,-16,-72
39648,-2840,52,-7476,421,100,-92
39658,-2748,22,-7440,433,177,-73
39668,-2714,10,-7428,411,216,-23
39678,-2716,12,-7400,338,207,-2
39688,-2732,10,-7426,274,165,46
39698,-2808,18,-7464,201,95,73
39708,-2782,-52,-7534,142,4,31
39718,-2966,-38,-7590,141,-39,-72
39728,-2988,-26,-7506,223,-26,-110
39738,-2910,-24,-7478,363,49,-90
39748,-2914,-34,-7380,465,154,-79
39758,-2858,6,-7384,486,232,-60
39768,-2866,24,-7412,405,283,-52
39778,-2830,10,-7352,277,318,-32
39788,-2838,36,-7458,167,359,-17
39798,-2812,8,-7442,124,398,-14
39808,-2866,20,-7544,150,409,-28
39818,-2834,-12,-7564,220,383,-37
39828,-2800,30,-7484,298,347,-31
39838,-2794,26,-7516,352,316,-33
39848,-2778,8,-7492,373,289,-40
39858,-2726,42,-7436,372,294,-7
39868,-2782,58,-7554,324,303,-24
39878,-2846,62,-7500,280,285,-45
39888,-2858,68,-7486,269,290,-28
39898,-2824,52,-7492,272,299,-42
39908,-2878,36,-7488,298,283,-40
39918,-2852,-16,-7518,339,258,-33
39928,-2900,-14,-7490,355,258,-41
39938,-2856,-32,-7486,352,280,-54
39948,-2840,-24,-7436,335,314,-72
39958,-2804,-18,-7522,312,374,-57
39968,-2780,56,-7490,290,422,-21
39979,-2774,46,-7444,249,446,-12
39989,-2778,62,-7510,218,417,-10
39999,-2790,64,-7484,226,379,-1
40009,-2806,34,-7504,303,298,-45
40019,-2836,56,-7426,344,284,-57
40029,-2836,56,-7426,344,284,-57
40039,-2788,6,-7434,346,291,-35
40049,-2822,22,-7470,314,288,-36
40059,-2864,10,-7436,282,298,-40
40069,-2848,28,-7490,286,315,-45
40079,-2822,86,-7526,293,370,-48
40089,-2772,84,-7476,297,426,-53
40099,-2728,78,-7452,286,454,-25
40109,-2706,102,-7462,247,439,-2
40119,-2752,120,-7490,197,378,12
40129,-2828,68,-7548,180,308,-4
40139,-2816,64,-7566,224,252,-29
40150,-2836,54,-7592,324,227,-55
40160,-2854,48,-7474,424,241,-82
40170,-2830,54,-7450,487,267,-98
40180,-2806,72,-7414,500,290,-79
40190,-2820,36,-7494,480,326,-59
40200,-2912,10,-7518,464,362,-45
40210,-2896,0,-7430,495,416,-5
40220,-2998,38,-7452,565,477,16
40230,-2978,-26,-7482,671,558,46
40240,-3044,-44,-7554,788,664,68
40250,-3184,-100,-7568,918,800,94
40260,-3256,-108,-7536,1056,987,105
40270,-3534,-262,-7522,1252,1247,119
40280,-3476,-222,-7370,1526,1571,237
40290,-3184,-300,-7442,1729,2072,454
40300,-2920,-268,-7582,1755,2695,452
40310,-2654,-274,-7856,1572,3162,257
40320,-2624,180,-8040,1334,3289,169
40330,-2454,-270,-8042,1085,3174,226
40340,-2166,-154,-8140,1143,2989,211
40350,-2214,26,-8086,1389,2829,182
40360,-2094,-232,-8078,1631,2787,297
40370,-2076,-248,-8124,1653,2674,382
40380,-2234,-372,-8156,1633,2431,398
40390,-2314,-446,-8084,1363,2240,529
40400,-2342,-744,-8136,941,2263,674
40410,-2478,-522,-8284,571,2478,762
40420,-2424,-424,-8180,47,2900,802
40430,-2292,-208,-8340,-548,3570,851
40440,-1934,-312,-8620,-1184,4359,914
40450,-1742,-418,-8802,-1962,4961,1161
40460,-1354,-330,-9056,-2850,5256,1741
40470,-800,-226,-9168,-3806,5134,2450
40480,-160,176,-9058,-5698,3449,3302
40491,130,548,-8870,-6467,2169,3275
40501,530,788,-8650,-7223,564,3138
40511,1240,1056,-8254,-8116,-1283,2982
40521,1770,1172,-7750,-8909,-3516,2774
40531,2640,1384,-7068,-9517,-6593,2266
40541,2762,1734,-6456,-10000,-11068,1344
40551,2762,1856,-5758,-10494,-18260,-579
40561,2708,2004,-3784,-10211,-28696,-3898
40571,1712,1864,-1588,-9199,-32430,-8009
40581,1066,1532,1114,-6864,-32430,-12840
40591,-932,-84,4188,-3400,-32430,-18542
40601,-3262,-1038,6574,-465,-32430,-24132
40611,-3800,-3274,7670,2703,-32430,-29271
40621,-8578,-4172,7474,4445,-32430,32764
40631,-10616,-4872,7458,5745,-32430,32764
40641,-12444,-5402,6794,3753,-32430,32764
40651,-14662,-4138,5586,863,-32430,-29670
40662,-15588,-3338,6046,-2504,-32430,-22025
40672,-14592,-2234,6106,-3614,-22594,-11565
40682,-11030,-2062,6278,-3034,609,-1491
40692,-8860,-3286,6126,-1290,16904,6260
40702,-5712,-3636,4884,-1553,27626,10621
40712,-5348,-3604,4590,-2777,28852,11397
40722,-4326,-2390,4146,-4801,23689,10037
40732,-3656,-986,3414,-5375,16786,7221
40742,-3942,178,3216,-4177,9501,3320
40752,-5388,-582,2910,-1527,3660,-500
40762,-6628,-850,2834,331,-1654,-3285
40772,-7810,-1382,2886,2312,-6954,-5453
40782,-8722,-2516,2706,3545,-9365,-6343
40792,-9202,-2608,2896,3575,-7924,-5658
40802,-9270,-2860,2800,3283,-5308,-4102
40812,-9338,-3014,2826,2384,-1653,-1986
40822,-8724,-2850,2838,1161,2251,16
40832,-8054,-2920,2626,-12,5394,1546
40842,-7466,-2678,2530,-964,6505,2427
40852,-7016,-2390,2554,-1381,7045,2664
40862,-6776,-2082,2372,-1241,6194,2241
40872,-6720,-1814,2330,0,1986,204
40882,-6720,-1814,2330,0,1986,204
40892,-7044,-1866,2340,741,-216,-793
40902,-7750,-2226,2468,1566,-2772,-1723
40912,-7724,-2264,2514,1426,-2468,-1501
40922,-7766,-2372,2632,984,-1465,-1042
40932,-7678,-2296,2674,476,-239,-536
40942,-7546,-2158,2658,95,749,-199
40952,-7392,-2184,2698,-49,1186,-105
40962,-7322,-2098,2654,43,1124,-195
40972,-7332,-2120,2720,191,812,-340
40982,-7254,-2226,2666,286,448,-410
40992,-7104,-2302,2754,424,246,-437
41003,-7086,-2330,2802,494,68,-426
41013,-7216,-2436,2866,553,-41,-444
41023,-7250,-2384,2820,572,-259,-502
41033,-7368,-2352,2848,589,-362,-546
41043,-7420,-2302,2872,603,-259,-494
41053,-7462,-2316,2946,641,-20,-378
41063,-7394,-2342,2822,660,298,-210
41073,-7332,-2320,2770,597,661,-7
