# label=extension
# trial=4
# subject=subject01
# captured_at=20260415_231014
# mode=thumb_index
# sensor_1=thumb
# sensor_2=index
ts_ms,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
21978,3172,-4568,7613,-765,1468,119,8158,-1492,-2346,-599,34,-47
21988,3098,-4749,7512,-634,1123,397,8170,-1412,-2464,-420,378,-233
21998,2908,-4610,7443,-618,481,685,7766,-1586,-2558,-289,662,-547
22008,2699,-4506,7365,-707,-53,778,7738,-1690,-2350,-181,792,-716
22018,2561,-4399,7378,-794,-299,680,7786,-1606,-2430,-207,872,-676
22028,2550,-4398,7350,-805,-191,539,7728,-1578,-2476,-302,769,-616
22038,2497,-4326,7283,-747,97,499,7744,-1670,-2498,-396,825,-546
22048,2477,-4131,7350,-586,404,553,7630,-1746,-2398,-403,807,-410
22059,2462,-4055,7235,-382,564,588,7566,-1748,-2326,-350,725,-251
22069,2499,-4047,7203,-234,511,463,7482,-1838,-2312,-257,612,-63
22079,2610,-4135,7275,-118,400,213,7624,-1702,-2232,-194,489,166
22089,2927,-4429,7325,-43,155,-61,7930,-1492,-2126,-209,497,348
22099,3139,-4683,7304,-10,-14,-218,8038,-1456,-1956,-228,604,306
22109,3053,-4749,7382,-143,-258,-207,7956,-1946,-2250,-161,716,129
22119,3030,-4658,7402,-339,-481,-120,8208,-1446,-1168,906,1879,27
22129,2890,-4553,7377,-393,-564,-64,8080,-1850,-1378,484,3485,-212
22139,2796,-4479,7369,-415,-483,-33,7878,-1736,-2604,397,4007,-234
22149,2796,-4363,7363,-437,-527,-66,8072,-1544,-1564,-27,3488,-144
22159,2910,-4464,7263,-344,-342,-119,8288,-1524,-1782,-85,2569,-34
22169,2993,-4580,7091,-311,-11,-83,8026,-1582,-1676,-642,1645,-128
22179,3053,-4400,6981,-470,236,23,7550,-1582,-1364,-124,1216,-148
22189,3058,-4162,6911,-519,428,248,7550,-1582,-1364,-124,1216,-148
22199,3058,-3871,6938,-378,588,523,7756,-1628,-1284,-135,976,-67
22209,3154,-3900,6997,-200,513,1075,7974,-1576,-1476,-82,570,10
22219,3209,-3968,7097,-25,68,1567,8096,-1606,-1448,86,541,65
22230,3038,-4445,6907,275,-285,1718,8066,-1516,-1386,208,642,135
22240,2965,-4666,6983,341,-455,1472,8278,-1514,-1556,96,704,129
22250,2813,-4811,6970,142,-597,1147,8172,-1452,-1632,-135,733,30
22260,2675,-4678,7148,-393,-105,900,8264,-1496,-1538,-305,742,-104
22270,2618,-4373,7030,-527,239,960,8058,-1622,-1550,-366,885,-306
22280,2776,-4063,7022,-471,640,936,7748,-1576,-1428,-416,915,-317
22290,2790,-4039,6857,-142,919,832,7554,-1548,-1352,-434,664,-155
22300,2725,-4061,6770,214,980,666,7486,-1600,-1298,-386,294,125
22310,2663,-4074,6756,503,924,547,7530,-1588,-1452,-245,9,574
22320,2545,-4117,6894,755,826,427,7674,-1670,-1606,79,-144,1309
22330,2459,-4355,6916,1015,802,324,7756,-1686,-1562,192,-394,1403
22340,2513,-4435,7099,1088,890,248,7972,-1674,-1492,218,-653,1633
22350,2861,-4635,7188,1050,1301,159,8148,-1688,-1338,194,-742,1724
22360,3044,-4634,7408,926,1586,113,8242,-1596,-1334,173,-771,1712
22370,3186,-4476,7442,860,1627,211,8370,-1588,-1240,213,-600,1585
22380,3215,-4540,7276,891,1474,353,8002,-1624,-1270,305,-343,1323
22390,3151,-4503,7159,799,1154,321,7782,-1578,-1152,460,-231,1088
22400,2981,-4436,7048,589,544,105,7474,-1706,-1290,626,-187,936
22410,2718,-4232,7101,390,-100,-168,7584,-1810,-1462,771,-259,944
22420,2491,-4157,7156,351,-455,-380,7794,-1892,-1672,1005,-273,1111
22430,2309,-4114,7154,475,-435,-357,7872,-2026,-1756,1216,-350,1371
22440,2254,-4112,7257,617,-99,-191,7924,-2098,-1804,1323,-482,1694
22450,2419,-4444,7387,732,441,-38,8122,-2040,-1790,1340,-622,2029
22460,2576,-4887,7597,556,948,89,8360,-1994,-1818,1221,-598,2144
22470,3071,-6104,8523,-164,1114,220,8948,-1528,-2056,1065,-298,1922
22480,3834,-8684,9364,-1458,655,158,10560,-852,-2146,730,729,880
22490,4125,-12679,11425,-4376,-747,46,12530,-138,-2582,114,3017,-1717
22500,3891,-16196,14088,-9275,-3498,231,14744,4,-3828,-1014,6977,-6671
22510,3657,-17752,16952,-15716,-6490,1069,17996,-536,-4126,-2534,12228,-13753
22520,4217,-17566,20051,-23479,-8420,3524,20262,-1764,-4234,-4680,17666,-22152
22530,6263,-15493,22704,-31717,-7742,7331,20178,-4248,-4038,-6826,21515,-32185
22540,8565,-11628,25039,32544,-4785,10432,20024,-7328,-1950,-8027,21295,32766
22550,9717,-6300,25177,32544,-1304,12511,17902,-9618,-554,-8246,17565,32766
22560,10147,-1029,23288,32544,1847,14440,15678,-10022,614,-9303,10658,32766
22571,8879,2648,19313,32544,4424,16640,12798,-9146,1270,-8674,5533,32766
22581,7150,5689,12110,32544,6986,18399,6866,-5812,1936,-7944,94,32766
22591,4376,8747,3913,32544,9061,18896,-176,-3384,1692,-9109,-7171,32766
22601,-499,13378,-7529,32544,10824,18367,-10198,104,2604,-10847,-14870,32766
22611,-2057,18270,-20184,32693,14322,16761,-19438,2732,6666,-12461,-22896,32766
22621,-2356,18406,-20229,-22176,19483,14448,-20396,1500,7438,-9966,-31957,-28983
22631,-1896,8721,-8823,-11598,19296,12208,-5292,2494,-244,265,-32744,-13802
22641,-2654,-5354,443,-4865,13233,9704,2690,4912,-3602,5455,-23321,-6093
22651,-3278,-11885,1825,-4486,3385,6297,3118,10776,-3630,-1175,4689,-4191
22661,-3056,-9674,-1959,-5439,-5010,1790,3118,10776,-3630,-1175,4689,-4191
22671,-2613,-4683,-3469,-5007,-5691,118,466,6504,-558,-4095,11636,-1787
22681,-1723,-3612,-3867,-2807,-2963,605,1522,7124,530,-1693,7300,105
22691,-1301,-4277,-3588,-52,-327,833,918,5938,1076,-3758,4487,1111
22701,-866,-4824,-3524,1701,351,166,284,5824,2694,-6330,5119,2668
22711,-257,-6259,-3377,2284,-1954,-1800,3922,6488,1582,-5898,6241,4079
22721,437,-8067,-1918,1229,-4820,-4368,4690,7388,1938,-5057,6922,4208
22731,376,-8606,-2069,-549,-5634,-5843,4864,8464,4636,-4365,7501,3437
22742,1884,-8220,-3244,-1767,-2500,-5632,4624,9830,4208,-4442,7369,3144
22752,3111,-8541,-3738,-2080,-186,-4386,5444,10228,4138,-3808,6197,2471
22762,3116,-9865,-2860,570,2575,542,6022,9394,3486,-1745,3216,1868
22772,2512,-9757,-2774,1219,2169,2908,5166,8832,3288,2212,1581,1172
22782,1245,-8449,-2813,969,1324,4384,3620,7918,2420,4715,420,398
22792,-104,-7305,-2846,535,1222,4932,2376,7340,1720,5704,-1033,-180
22802,-1146,-7012,-2337,-12,1272,4094,2446,6470,750,4951,-3315,-462
22812,-2058,-6666,-2028,-506,988,2282,2458,6706,28,3193,-3829,-278
22822,-2004,-6673,-1926,-676,1051,589,2622,6644,14,972,-3391,93
22832,-1451,-6945,-1777,-442,1176,-682,3030,7032,462,107,-1198,648
22842,-908,-7388,-1985,-26,969,-1518,3418,7490,912,369,1851,1192
22852,-141,-7335,-2305,300,693,-1834,3630,7686,1188,132,3387,1428
22862,296,-7648,-2106,793,371,-1637,3588,7628,1814,174,3250,1597
22872,584,-8345,-1939,986,91,-1356,4090,7912,1562,-331,1956,1281
22882,559,-8364,-2176,585,-529,-1260,4646,7760,1388,-765,522,632
22892,598,-7927,-2467,39,-1164,-994,3570,7422,1862,-890,-1275,85
22902,566,-7623,-2407,-266,-1270,-759,3378,7342,2106,-807,-2012,-99
22912,345,-7358,-2263,-383,-950,-786,3578,7222,1718,-239,-1103,31
22922,296,-7157,-2291,-279,-458,-744,3474,7570,1632,445,190,248
22932,673,-7177,-2677,236,328,-448,3756,7952,1836,1026,831,530
22942,842,-7473,-2510,956,816,227,3716,7856,1918,1625,111,677
22952,742,-7950,-2007,1411,846,1005,4436,7506,1682,2097,-950,593
22962,307,-8804,-1719,1324,567,1529,4484,7560,1484,2489,-1539,272
22972,-179,-8519,-1601,585,310,1585,4196,7370,1088,2496,-1742,-275
22982,-625,-8039,-1910,-244,139,1512,3128,7270,924,2056,-2027,-808
22992,-1009,-7120,-2090,-858,183,1205,3120,6952,684,1461,-1542,-878
23002,-1207,-6605,-2054,-927,297,675,2664,6764,550,831,-1296,-525
23012,-1028,-6402,-2052,-607,556,-138,2740,6860,778,356,-751,42
23022,-567,-6626,-2115,0,785,-984,2892,6982,960,-218,92,623
23032,-385,-6984,-1938,485,355,-1639,3342,7146,858,-416,1420,1316
23042,-221,-7791,-1606,716,-147,-2014,4072,7196,938,-600,2115,1682
23052,-189,-8460,-1522,512,-506,-2194,4582,7570,954,-614,2804,1702
23062,-166,-8311,-1863,-2,-524,-2054,4294,7704,1060,-602,3208,1415
23072,50,-7959,-2130,-326,-124,-1691,4210,7814,1176,-596,2600,1106
23083,226,-7613,-2375,-383,452,-1197,3822,7800,1300,-435,1485,875
23093,270,-7228,-2487,-187,837,-693,3450,7504,1454,-225,439,815
23103,109,-7180,-2285,169,827,-423,3436,7230,1078,59,-281,955
23113,-19,-7346,-2031,458,675,-357,3632,7312,952,412,-701,1113
23123,-268,-7823,-1711,608,501,-447,4150,7564,656,318,-473,1173
23133,-358,-7891,-1766,603,434,-484,4150,7564,656,318,-473,1173
23143,-311,-8062,-1909,626,497,-349,4076,7402,726,694,268,1108
23153,-346,-7808,-1833,602,673,-164,3786,7308,878,809,-88,1080
23163,-221,-7707,-1894,619,825,-253,3744,7382,1052,716,-706,1118
23173,-211,-7720,-2052,676,907,-674,3484,7612,1070,272,-1121,1242
23183,-143,-7483,-2428,806,795,-1173,3450,7446,1000,-68,-1156,1551
23193,-172,-7242,-2491,1064,560,-1511,3490,7604,1232,-80,-774,2046
23203,-141,-7341,-2588,1462,353,-1603,3554,7622,1252,209,-227,2562
23213,-16,-7476,-2637,1766,347,-1522,3870,7598,1350,688,228,2977
23223,362,-7734,-2258,1908,605,-1402,4862,7486,1228,1044,573,3125
23233,573,-8280,-1502,1975,718,-1282,5138,7460,1236,1265,896,2983
23243,661,-8437,-1418,2156,566,-1131,4804,7466,1296,1262,775,2819
23254,606,-8237,-1691,2290,451,-900,4476,7278,950,1193,95,2880
23264,-271,-7183,-1772,3016,421,-399,4362,6972,504,1246,-397,3252
23274,-610,-6747,-1832,3830,640,-4,4108,6886,324,1402,-831,3884
23284,-499,-6411,-2010,4704,1304,221,3450,6890,500,1346,-1691,4613
23294,-549,-6481,-1825,5559,1978,89,3398,6558,440,1135,-2819,5411
23304,-230,-6560,-1673,6280,2361,-439,3336,6646,380,887,-3428,6257
23314,50,-7010,-1223,6783,2559,-1210,3756,6440,724,791,-3366,7031
23324,104,-7147,-929,7171,2201,-1838,4452,6216,794,720,-2534,7740
23334,-88,-7079,-783,7522,1528,-1982,4554,5980,612,1235,-1098,8442
23344,-256,-6940,-646,7938,1133,-1816,4938,5898,336,1628,241,9422
23354,-156,-6739,-496,8484,1163,-1531,4826,5638,370,1893,799,10436
23364,176,-7201,-95,8804,1487,-1633,4784,5636,502,1856,475,11283
23374,622,-7809,738,8574,1914,-2347,5568,5336,520,1557,-161,11626
23384,753,-8046,1593,7991,1751,-3089,6204,5130,318,1127,-421,11393
23394,726,-8264,1974,7440,972,-3564,6626,5098,214,824,133,10889
23404,845,-8266,1991,7184,30,-3807,6860,4852,170,568,977,10397
23414,1108,-7956,1674,6993,-549,-3937,6474,4922,520,277,1625,10032
23424,1246,-7356,1375,6961,-807,-4011,6464,4992,690,135,1721,9828
