# label=fist
# trial=20
# subject=subject01
# captured_at=20260415_221005
# mode=thumb_index
# sensor_1=thumb
# sensor_2=index
ts_ms,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
117115,2094,-4617,7507,190,-297,-51,16776,-3180,672,1109,561,1327
117125,2059,-4730,7483,272,-100,-218,16912,-3100,608,987,629,1389
117135,2125,-4761,7450,296,158,-345,16576,-2792,912,907,278,1245
117145,2111,-4813,7404,272,289,-451,16556,-2908,1020,455,96,832
117155,2126,-4744,7354,166,345,-575,16716,-3072,1076,240,152,677
117165,2171,-4724,7397,86,394,-635,16872,-3000,1224,205,503,675
117175,2206,-4814,7274,71,423,-607,16696,-2812,1556,147,896,680
117185,2387,-4887,7223,-17,509,-623,16784,-2468,1740,213,984,420
117195,2569,-4865,7108,-133,513,-583,16948,-2332,1840,552,697,384
117206,2566,-4900,7046,-190,428,-535,16524,-2460,1812,896,99,155
117216,2542,-4810,7053,-202,261,-445,16400,-2524,1572,1114,-293,165
117226,2471,-4711,7190,-126,144,-495,16488,-2816,1188,1219,-508,95
117236,2279,-4621,7224,183,-46,-593,16728,-2968,1384,834,-412,27
117246,2132,-4677,7267,273,-17,-641,16976,-2780,1304,570,-692,4
117256,2210,-4666,7305,254,148,-536,16868,-2620,1348,453,-1456,3
117266,2328,-4690,7098,446,421,-381,16176,-2404,1488,336,-2685,-129
117276,2392,-4604,6861,539,637,-292,15840,-2248,1596,420,-3608,-279
117286,2460,-4567,6742,389,767,-208,15724,-2300,1456,661,-3784,-260
117296,2380,-4544,6800,196,701,-193,15708,-2392,1272,1011,-3022,-147
117306,2246,-4596,6914,88,469,-290,16004,-2388,920,1260,-1944,-172
117316,2150,-4556,7081,89,279,-335,15720,-2648,680,1363,-970,60
117326,2053,-4421,7139,299,155,-362,16072,-2840,640,1084,-596,283
117336,1976,-4461,7056,473,28,-470,16436,-2964,644,859,-837,375
117346,2007,-4447,7181,407,51,-535,16568,-2864,716,582,-1318,587
117356,2084,-4571,7255,399,220,-515,16724,-2480,940,345,-1767,548
117366,2214,-4710,7241,411,412,-470,16764,-2412,812,153,-2436,236
117376,2307,-4795,7159,353,526,-401,16148,-2356,928,348,-2570,-24
117386,2397,-4727,7161,201,562,-387,16656,-2392,936,295,-1733,126
117396,2309,-4756,7261,73,467,-380,16516,-2768,816,212,-804,133
117406,2199,-4760,7342,-30,442,-352,16436,-2580,588,202,-320,-69
117416,2162,-4731,7342,-96,452,-208,16428,-2892,764,-185,-184,-28
117426,2114,-4656,7348,-150,519,-92,16636,-2592,720,-482,-389,12
117436,2200,-4680,7310,-157,648,-56,16340,-2660,784,-402,-1049,-67
117446,2247,-4576,7237,-80,753,-32,16428,-2436,952,-111,-1306,-51
117456,2341,-4637,7140,13,737,-50,16160,-2520,1056,152,-907,12
117466,2425,-4659,7189,60,590,-77,16172,-2664,892,389,-70,78
117476,2324,-4663,7229,45,361,-117,16628,-2620,632,479,1032,-10
117486,2210,-4707,7389,2,131,-184,16720,-2808,476,378,1592,-98
117496,2064,-4705,7459,-62,0,-185,16672,-2768,544,331,1322,-218
117506,2087,-4692,7354,-115,-36,-189,16800,-2776,480,79,698,-230
117516,2025,-4593,7294,-138,3,-181,16468,-2876,600,-16,-306,-114
117526,2080,-4488,7273,-154,109,-211,16500,-3080,520,-52,-1010,40
117536,2106,-4421,7324,-74,191,-210,16564,-2908,584,-164,-895,80
117547,2136,-4527,7402,5,218,-228,16740,-2744,756,-154,-495,-66
117557,2296,-4744,7391,-53,340,-223,16520,-2668,936,-10,-12,-273
117567,2207,-4625,7485,-157,319,-192,16740,-2836,820,12,288,-344
117577,2246,-4661,7368,-204,311,-171,16600,-2964,692,120,240,-378
117587,2242,-4574,7398,-237,300,-128,16516,-2956,740,145,229,-364
117597,2199,-4539,7427,-231,241,-152,16404,-3104,556,144,471,-330
117607,2161,-4575,7498,-229,134,-191,17072,-2920,764,164,805,-338
117617,2166,-4680,7428,-182,93,-183,16588,-2804,676,145,647,-404
117627,2140,-4613,7391,-202,115,-123,16488,-2792,452,126,453,-377
117637,1996,-4581,7377,-217,57,-146,16820,-2912,428,-137,342,-322
117647,2106,-4678,7425,-222,103,-219,16832,-2988,684,-224,109,-326
117657,2231,-4717,7455,-249,251,-205,16820,-2696,1068,-162,50,-447
117667,2354,-4811,7396,-295,344,-169,16592,-2636,992,-56,166,-675
117677,2421,-4770,7427,-404,303,-193,16592,-2732,1036,186,550,-834
117687,2387,-4809,7486,-476,123,-262,17020,-2588,1048,185,1155,-904
117697,2332,-4913,7482,-531,-40,-293,17248,-2672,1216,269,1791,-1078
117707,2359,-4902,7390,-576,-145,-309,17000,-2528,924,482,1813,-1033
117718,2386,-4887,7407,-612,-156,-324,17180,-2460,1192,613,1656,-1147
117728,2400,-4985,7361,-598,-217,-324,17240,-2840,1480,707,1460,-1354
117738,2470,-4830,7483,-736,-309,-350,17284,-2616,1520,837,1347,-1437
117748,2526,-4899,7407,-788,-429,-306,16956,-2504,1548,955,1312,-1585
117758,2397,-4883,7368,-805,-504,-226,16932,-2680,1144,906,1432,-1769
117768,2275,-4850,7397,-842,-555,-150,17028,-2656,884,828,1049,-2074
117778,2026,-4803,7433,-915,-514,-39,16964,-2568,576,404,489,-2356
117788,1755,-4728,7282,-963,-341,126,16660,-2888,96,-260,-380,-2607
117798,1421,-4552,7119,-988,167,311,16148,-2708,-332,-1158,-1673,-2925
117808,1265,-4373,7025,-1098,775,513,15580,-2280,-84,-1981,-3552,-3383
117818,1250,-4285,6591,-1129,1541,793,14676,-1492,152,-2450,-6286,-4046
117828,1266,-4002,5971,-1203,2324,1198,12608,-1092,100,-2709,-9380,-4484
117838,971,-3471,5178,-1219,2983,1718,10340,-744,-1120,-2985,-12499,-4341
117848,199,-2717,4396,-1069,3503,2276,8156,144,-1700,-3933,-15757,-4020
117858,-666,-2091,3167,-607,4296,2823,4788,1636,-1312,-5171,-18752,-2589
117868,-905,-1556,1489,62,5387,3245,1132,3360,-736,-5724,-22027,-127
117878,-795,-1248,312,906,6313,3313,-404,4324,-48,-5975,-22592,1533
117888,-683,-1751,-817,2036,6502,2603,-1336,5076,2900,-8794,-21384,2195
117898,343,-1694,-1758,2372,7025,1149,-184,4300,4724,-8097,-18991,5843
117908,1965,-1194,-1304,1964,7068,66,2172,2656,6020,-4464,-12868,10264
117918,3550,-1316,376,2738,6240,-828,7004,1268,5292,893,-3105,11900
117928,4306,-2832,3066,3827,3717,-1434,13232,-1360,3088,3857,10083,10761
117938,4164,-4805,6153,3897,240,-1930,16200,-2612,596,4926,22024,8647
117948,3539,-5967,9116,3068,-2779,-2472,24180,-7476,-368,3759,26762,6512
117958,3226,-6152,11048,2208,-4838,-2757,26816,-7944,-936,2403,24958,6007
117968,2791,-6638,11991,1633,-5176,-2921,28596,-8548,164,1172,12912,4996
117978,2910,-6176,12754,1144,-4007,-2765,26892,-8896,4,883,6526,3914
117988,2955,-6090,13007,1339,-2941,-1995,32767,-8448,-1572,2693,-15099,1618
117998,2799,-6130,13082,1802,-1998,-1195,30500,-9936,-2556,1084,-19684,2573
118008,2154,-6230,13315,2325,-555,-201,25768,-7752,-3596,1508,-17166,2376
118018,2047,-6203,13177,2400,1053,630,24776,-6788,-2896,1915,-14762,1172
118028,2260,-6376,12314,2079,1386,1139,21372,-6324,-2276,619,-7466,755
