# label=flexion
# trial=15
# subject=subject01
# captured_at=20260415_230839
# mode=thumb_index
# sensor_1=thumb
# sensor_2=index
ts_ms,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
87374,2517,-6379,5277,1791,1039,71,8058,-1686,-160,-374,106,63
87384,2520,-6592,5321,1803,1033,-13,8112,-1526,336,-556,-222,70
87394,2534,-6704,5402,1653,784,-109,8476,-1580,504,48,-19,15
87404,2406,-6679,5377,1453,456,-194,8202,-1646,210,309,-42,-240
87414,2153,-6551,5461,1304,246,-265,8118,-1718,-30,37,44,-410
87424,1983,-6450,5490,1227,216,-350,7998,-1790,-144,-250,66,-469
87434,1919,-6339,5441,1199,376,-379,7992,-1900,-126,-234,140,-482
87444,2117,-6327,5434,1197,712,-396,8062,-1782,38,-246,117,-456
87454,2397,-6530,5265,1246,1093,-376,8236,-1552,192,-392,91,-359
87464,2583,-6592,5226,1229,1303,-297,8404,-1388,398,-566,61,-332
87474,2623,-6624,5143,1129,1280,-221,8342,-1362,388,-531,129,-396
87484,2606,-6626,5128,977,1086,-204,8092,-1400,250,-356,94,-511
87494,2386,-6648,5223,823,858,-279,8186,-1692,48,-183,111,-689
87504,2228,-6666,5409,667,703,-427,8334,-1740,52,-188,321,-782
87514,2138,-6658,5557,545,655,-549,8334,-1740,52,-188,321,-782
87524,2308,-6710,5525,497,773,-550,8464,-1582,218,-493,672,-961
87534,2439,-6731,5388,485,930,-379,8480,-1486,200,-523,567,-1044
87544,2472,-6672,5313,457,982,-134,8384,-1306,140,-398,370,-1104
87554,2371,-6696,5158,472,917,93,8348,-1290,80,-250,267,-1108
87564,2180,-6713,5022,480,765,233,8092,-1280,-84,-201,302,-1142
87574,1976,-6724,5053,438,650,297,7904,-1316,-138,-221,405,-1169
87584,1778,-6521,5025,336,621,302,7790,-1514,-74,-218,492,-1201
87595,1756,-6308,4995,294,695,209,7924,-1430,174,-332,459,-1159
87605,1886,-6211,4964,348,852,7,7846,-1338,290,-494,357,-1024
87615,2188,-6280,4975,430,999,-263,8050,-1394,278,-543,239,-910
87625,2265,-6457,5061,535,938,-486,8310,-1428,276,-452,285,-822
87635,2303,-6722,5092,734,441,-583,8338,-1470,262,-320,373,-740
87645,2303,-6722,5092,734,441,-583,8402,-1442,374,-247,435,-701
87655,2342,-6789,5104,782,371,-537,8534,-1324,526,-283,342,-684
87665,2563,-7247,5114,711,584,-683,8624,-1224,584,-403,360,-761
87675,2748,-7244,5124,455,633,-683,8718,-1078,560,-475,533,-985
87685,2768,-7152,5043,245,543,-590,8794,-1226,676,-453,735,-1234
87695,2633,-6879,4991,156,396,-479,8518,-1142,582,-352,911,-1353
