# label=ok
# trial=19
# subject=subject01
# captured_at=20260415_205047
# mode=thumb_index
# sensor_1=thumb
# sensor_2=index
ts_ms,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
111468,53,-7376,4220,2712,-1084,-254,6102,5656,98,855,1184,622
111478,50,-7180,4308,2791,-1350,-100,6478,5658,196,1077,1084,752
111488,2,-7383,4285,2980,-1509,-97,6238,5620,84,1150,816,602
111498,-144,-7655,4263,3021,-1662,-139,6136,5526,-72,1102,521,261
111508,-196,-7675,4194,2846,-1590,-194,6182,5470,-98,1016,155,199
111518,-260,-7500,4283,2645,-1315,-246,6006,5514,-28,842,-60,336
111528,-209,-7279,4358,2618,-1137,-242,6004,5506,-14,667,201,529
111538,-74,-7161,4421,2776,-1105,-195,6022,5642,142,677,718,864
111548,58,-7237,4387,3009,-1146,-107,6002,5688,224,793,1189,1209
111558,79,-7193,4410,3238,-1299,-24,6076,5596,66,928,1473,1480
111568,-86,-7183,4430,3418,-1380,-30,6424,5524,130,1125,1704,1727
111578,-143,-7089,4542,3331,-1377,-162,6426,5484,214,1251,1675,1869
111588,-238,-7140,4623,3312,-1284,-306,6346,5512,76,1196,1376,1579
111598,-72,-7219,4630,3338,-1210,-285,6346,5498,20,1005,985,1128
111608,-73,-7229,4675,3248,-1203,-341,6398,5380,32,892,655,878
111618,-63,-7205,4701,3056,-1269,-464,6508,5560,118,823,465,779
111628,-62,-7117,4630,2855,-1261,-591,6332,5598,212,720,323,661
111638,-211,-7089,4575,2713,-1171,-649,6156,5524,94,567,-68,704
111648,3,-6991,4480,2715,-1020,-526,5994,5484,56,578,-521,1056
111659,119,-6571,4652,2894,-1122,-448,6006,5472,116,661,-874,1377
111669,126,-6659,4667,3465,-1251,-384,5978,5380,90,797,-968,1677
111679,-43,-7280,4998,4049,-1606,-261,6342,5340,48,829,-773,1826
111689,-97,-7291,5099,3736,-1644,-324,6610,5386,58,774,-341,1792
111699,-96,-7093,5292,3256,-1567,-359,6614,5234,-10,572,-14,1643
111709,-48,-7064,5299,2984,-1419,-391,6776,5298,-2,336,194,1462
111719,61,-6988,5152,2901,-1333,-368,6708,5398,40,265,264,1362
111729,-9,-7040,5042,2875,-1315,-350,6612,5336,48,258,32,1355
111739,67,-7031,5015,2778,-1196,-369,6534,5374,168,232,-281,1344
111749,146,-7003,5037,2654,-1039,-401,6460,5354,134,222,-504,1270
111759,148,-6945,5138,2492,-922,-379,6466,5322,180,256,-585,1176
111769,84,-6876,5156,2344,-919,-295,6426,5232,94,334,-483,1139
111779,27,-6864,5148,2288,-954,-253,6380,5180,44,361,-192,1169
111789,-54,-6972,5257,2230,-916,-217,6536,5124,-22,364,153,1268
111799,-135,-6937,5336,2044,-817,-245,6608,5070,-170,282,488,1309
111809,-104,-7021,5431,1764,-660,-326,6692,5038,-180,95,773,1290
111819,-138,-7140,5461,1355,-547,-426,6658,4922,-222,-153,983,1189
111830,-264,-7136,5529,811,-553,-634,6834,4824,-368,-402,1266,1003
111840,-274,-7364,5562,58,-534,-1023,6930,5034,-120,-1302,1676,246
111850,-52,-7819,5425,-1100,-516,-1461,6966,5288,48,-1688,1740,-539
111860,-159,-8075,5277,-2683,-524,-1659,7016,5146,-42,-1865,2034,-1265
111870,-275,-8049,5017,-4474,-284,-1522,6438,5006,-300,-2021,2353,-1608
111880,-1235,-8552,3875,-6349,-117,-1353,7244,4998,-206,-2085,2489,-1297
111890,-591,-8714,3642,-8837,213,-771,6568,5108,-150,-2030,2249,313
111900,-563,-8395,3668,-10884,1026,-808,7594,4322,-100,-2026,1223,2580
111910,-459,-9409,3497,-12294,1745,-620,6264,4258,-864,-2282,495,4265
111920,-450,-15401,5371,-14352,2024,748,2350,4852,-396,-2860,-1097,5871
111930,147,-13469,3788,-15564,3020,7296,7074,4644,-102,-3468,-2751,9531
111940,-59,-9267,4035,-18424,3312,5206,8176,4734,140,-4673,-721,8334
111950,-1029,-8574,3131,-21617,3858,-360,7602,4832,628,-5205,2915,6077
111960,-1080,-9015,2628,-24516,4606,-3659,6552,4838,1454,-4893,5178,5944
111970,-263,-8327,2446,-26981,5718,-7729,6634,4964,2464,-4527,5452,7557
111980,-330,-8043,1739,-27310,6817,-7817,7218,4820,2682,-3977,4315,9292
111990,-1341,-8640,1842,-26807,7231,-7509,7074,4276,2434,-2625,3452,9655
112000,-1858,-968,3803,-26050,7975,-7516,7152,3284,1394,-716,3268,9492
112010,-1397,2673,4026,-21544,6857,-3448,7120,2724,668,1076,3503,9600
112020,1269,-1434,3127,-13311,4946,-1322,6900,2972,1006,1466,4199,9248
112030,1877,-5074,616,-3587,4633,-3502,7490,3080,2076,830,4696,9032
112040,-309,-7202,-1610,2528,3132,-3588,7196,2672,2060,421,5266,8711
112050,-228,-8041,-1501,2408,3436,-4326,6850,2666,2204,498,5825,8247
112060,-182,-8623,-1629,1148,4145,-4668,7894,3202,2532,595,6491,8180
112070,2253,-9299,-1791,-325,4203,-3044,7616,3472,2138,808,6482,8288
112080,4608,-10013,-532,-1648,3705,-2700,8462,3342,2810,1054,5998,7511
112090,2644,-10315,737,-754,1411,-3137,10168,2974,2336,1519,5871,6599
112100,792,-10890,-389,1999,-2407,-1305,10666,2326,1512,2285,6306,4783
112110,727,-11336,-1515,2563,-3577,-155,9750,2128,1328,2379,7389,1782
112120,1233,-11268,-1889,1413,-2836,-204,8444,2218,1984,1797,7339,-49
112130,484,-10264,-1318,-244,-1852,-161,8586,2418,2794,926,5862,-360
112140,124,-8401,-535,-1209,-1136,-60,8832,2418,3254,253,4246,-709
112150,1021,-6439,-600,-1056,-483,-911,9614,2096,2220,233,3943,-1562
112160,1676,-5262,-1603,-883,353,-2237,7998,1974,2100,-55,5147,-2978
112171,1374,-6582,-1567,-1051,831,-2250,7340,2510,2856,-510,5408,-2809
112181,879,-7539,-1559,-1069,1548,-2271,7410,2758,3276,-1194,4602,-2504
112191,1380,-7623,-1576,-1766,3327,-2998,7766,2632,3290,-1590,3947,-2601
112201,1499,-7160,-1347,-1757,3682,-3287,7182,2426,3238,-1416,3722,-2865
112211,1709,-6997,-1553,-1445,3662,-3613,7324,2574,3272,-1288,3674,-2978
112221,1564,-6927,-1929,-1127,3703,-3745,7028,2518,3114,-1409,3299,-2836
112231,1706,-6701,-2235,-1071,3760,-3538,6680,2846,3334,-1880,2680,-2798
112241,2316,-6737,-2611,-1463,4057,-3336,6388,3336,3664,-2448,2227,-2570
112251,2995,-6736,-2646,-2093,4285,-3091,5786,3796,4098,-2733,2067,-2271
112261,3728,-6594,-2476,-2463,4075,-3224,6034,3948,4436,-2469,2041,-2105
112271,3889,-6216,-2426,-2058,3175,-3436,6132,3870,4560,-1851,2034,-2153
112281,3697,-6000,-2579,-1162,2048,-3594,5950,3492,4556,-1096,2231,-2242
112291,3279,-5674,-2644,-373,1201,-3412,5670,3280,4486,-781,2336,-1956
112301,3392,-5684,-2730,123,1022,-3165,5690,3250,4398,-902,2049,-1544
112311,3885,-5889,-2859,572,1235,-2696,5724,3466,4918,-1331,1747,-1034
112321,4399,-6304,-3090,887,1401,-1960,5826,3696,5176,-1671,1267,-474
112331,4786,-6507,-3110,1044,1290,-937,5644,4242,5476,-1751,504,75
112342,5021,-6670,-3152,992,953,49,5638,4608,5880,-1464,129,-201
112352,5469,-6609,-3095,762,694,763,5238,4596,6438,-1138,-591,-682
112362,5809,-6248,-2910,425,607,1036,4780,4496,6706,-726,-1369,-1178
112372,6062,-5536,-2961,383,650,906,4322,4300,6784,-293,-2061,-1480
112382,5864,-4759,-3014,612,603,516,3894,4170,6644,-72,-2690,-1432
112392,5624,-4274,-3137,910,608,143,3762,3954,6500,-72,-3137,-983
112402,5684,-3937,-3177,1168,735,-9,3750,4326,6680,-288,-3504,-351
112412,6195,-4115,-3458,1435,1138,109,3974,4506,7162,-392,-4057,494
112422,6914,-4628,-3608,1468,1551,665,4004,4930,6872,-254,-4431,956
112432,6978,-4895,-3392,1313,1566,1608,4148,4614,6304,305,-4721,1079
112442,6464,-4786,-2979,959,865,2766,3770,4236,6156,1021,-5123,1033
112452,6085,-4079,-2533,675,110,3481,3804,3528,5444,1650,-5808,1275
112462,5279,-3401,-2625,793,-440,3913,3552,2842,4504,2053,-6620,1897
112472,3947,-2795,-2403,1390,-903,4601,3876,2734,3684,2118,-7165,3011
112482,2777,-3171,-2221,2311,-1220,5131,4898,2690,2512,1785,-7153,4265
112492,1651,-4619,-1880,3089,-1276,5505,6354,2418,1532,1496,-6733,5091
112502,-128,-6553,-1185,3375,-1402,5873,7774,1884,368,1123,-5955,5167
112512,-1724,-8870,-483,2892,-1646,5795,9170,1762,-374,645,-5000,4260
112522,-1990,-10557,-818,1787,-1702,5357,9808,1694,-282,63,-4180,2785
112532,-1932,-10307,-1046,655,-1512,4902,9000,1466,-620,14,-4419,1355
112542,-2259,-8699,-1482,353,-1340,3974,8806,1350,-610,214,-4978,688
112552,-2164,-7377,-1849,1000,-1206,3170,8582,1816,-372,33,-5275,1346
112562,-1782,-8030,-2153,2171,-986,2294,9902,2430,-88,-202,-4711,2666
112572,-1174,-9613,-2214,3170,-588,1467,11256,2256,-84,98,-3181,3670
112582,-1428,-11288,-1705,3681,-350,1128,11930,2036,-364,592,-1342,3921
112592,-2007,-12760,-1205,3337,-577,851,12846,1746,-596,778,411,3337
112602,-1986,-13244,-1137,2279,-914,805,12726,1532,-516,815,1132,2185
112612,-1982,-12458,-1191,1236,-1041,1185,11674,1564,-336,688,362,804
112622,-1679,-10795,-1504,451,-828,1683,10434,1748,116,444,-1546,-260
112632,-1294,-9285,-1772,82,-420,2148,9390,1742,238,240,-3554,-722
112642,-1081,-8352,-2039,246,-43,2377,8480,2164,522,30,-4622,-655
112652,-614,-7895,-2212,724,354,2328,8002,2580,938,-130,-4414,-288
112662,-120,-7785,-2286,1145,599,1955,7522,2700,1066,-139,-3382,12
112672,344,-7549,-2159,1318,591,1365,7376,2870,1398,57,-1862,238
112683,584,-7600,-2044,1379,191,748,7542,2726,1520,367,-306,362
112693,564,-7688,-1903,1294,-378,176,7674,2404,1356,636,678,233
112703,321,-7096,-1945,1110,-733,-116,7652,2138,1326,650,840,29
112713,1134,-6824,-2056,1155,-226,170,7502,2490,1814,240,352,-1
112723,1612,-6564,-2283,1427,237,327,7030,2922,2238,-126,-603,185
112733,1943,-6433,-2375,1795,315,353,6766,3028,2374,-125,-1457,381
112743,2054,-6608,-2334,2095,-54,271,6556,3148,2656,40,-1743,638
112753,1982,-6973,-2237,2180,-610,121,6708,3150,2664,207,-1243,952
112763,1749,-7435,-2212,2067,-1139,62,7102,3030,2502,380,-276,1179
112773,1362,-7544,-2076,1818,-1401,41,7478,2744,2246,514,684,1195
112783,1126,-7374,-1880,1621,-1344,-62,7568,2570,2162,573,1145,1023
112793,1060,-7356,-1919,1601,-1004,-248,7648,2468,2024,511,962,877
112803,1107,-7409,-1937,1704,-634,-359,7682,2440,2068,390,347,851
112813,1203,-7494,-1973,1855,-387,-394,7780,2418,2094,236,-302,896
