# label=open_palm
# trial=18
# subject=subject01
# captured_at=20260415_213341
# mode=thumb_index
# sensor_1=thumb
# sensor_2=index
ts_ms,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
105184,2296,-4121,7344,-230,675,-802,7856,2304,-2048,-688,784,81
105194,2449,-4166,7417,-196,699,-795,8062,2384,-2098,-566,555,17
105204,2560,-4395,7629,-165,608,-735,8010,2588,-1992,-484,176,-281
105214,2483,-4493,7651,-443,497,-594,7836,2466,-2106,-595,-127,-821
105224,2355,-4265,7611,-852,410,-418,7754,2416,-2278,-662,-443,-1189
105234,2188,-4245,7519,-1010,411,-412,7572,2364,-2148,-640,-721,-1217
105244,2133,-4260,7365,-1054,428,-610,7106,2568,-1882,-1037,-854,-1068
105254,2230,-4058,7175,-987,454,-865,6884,2490,-1936,-1069,-332,-900
105264,2171,-4117,7083,-647,382,-1091,6884,2490,-1936,-1069,-332,-900
105274,2146,-4133,7184,-336,326,-1338,7598,2204,-2192,-1002,862,-127
105284,2124,-4112,7220,-70,382,-1564,7624,2420,-2198,-1205,1142,119
105294,2313,-4084,7328,113,449,-1856,7896,2870,-1838,-1833,1203,-177
105304,2721,-4245,7384,224,468,-2078,8612,3180,-1616,-2334,1356,-917
105314,2817,-4590,7515,215,353,-1937,8096,3072,-1522,-2312,1449,-1810
105324,2676,-4493,7697,31,223,-1482,7632,3038,-1320,-1579,1101,-2178
105334,2386,-4507,7675,-127,211,-1104,7226,2984,-1424,-453,385,-1903
105344,2379,-4537,7419,-440,292,-963,7026,2756,-1730,398,-129,-1510
105354,2360,-4276,7248,-729,365,-824,7162,2712,-1754,585,-236,-1084
105364,2273,-4190,7217,-727,390,-861,6990,2654,-1796,451,-108,-705
105374,2320,-4248,7133,-550,452,-1019,6940,2806,-1740,191,209,-287
105384,2458,-4195,7165,-434,533,-1225,7192,2980,-1574,-26,765,84
105394,2661,-4068,7222,-279,494,-1365,7416,2922,-1620,137,1313,338
105404,2685,-4252,7332,18,335,-1369,7780,2752,-1646,300,1740,465
105414,2595,-4218,7532,185,147,-1275,8214,2672,-1674,311,1896,450
105424,2317,-4342,7486,91,229,-1159,7928,2672,-1650,283,1824,350
105434,2317,-4342,7486,91,229,-1159,7814,2572,-1666,175,1696,330
105444,2342,-4192,7392,-82,222,-1192,7600,2598,-1854,30,1011,289
105454,2353,-4062,7409,87,258,-1420,7446,2654,-1898,-153,231,282
105464,2415,-4116,7409,331,268,-1655,7658,2636,-1506,-369,-424,310
105474,2645,-4434,7550,435,321,-1802,8038,2896,-1460,-511,-615,314
105484,2882,-4694,7781,260,393,-1631,8190,3046,-1482,-576,-217,168
105494,2938,-4587,7976,-231,365,-1238,8262,2964,-1488,-563,326,-211
105504,2841,-4241,7858,-715,251,-911,7882,2754,-1680,-558,855,-709
105515,2562,-4007,7647,-902,97,-825,7966,2642,-1786,-622,946,-1120
105525,2498,-3931,7418,-748,-2,-959,7760,2702,-1670,-629,709,-1192
105535,2414,-4091,7291,-330,50,-1069,7716,2804,-1612,-564,2,-930
105545,2396,-4224,7355,92,283,-1085,7678,2818,-1708,-457,-638,-543
105555,2418,-4047,7435,389,547,-1057,7668,2854,-1654,-373,-1035,-216
105565,2546,-4306,7448,694,810,-999,7786,2780,-1638,-131,-1161,22
105575,2671,-4190,7521,686,898,-836,7720,2880,-1670,99,-1172,171
105585,2618,-4108,7567,600,907,-709,7640,2710,-1572,316,-1193,145
105595,2583,-3848,7630,619,838,-710,7616,2654,-1624,503,-1186,112
105605,2471,-3860,7458,816,777,-915,7376,2624,-1498,662,-1151,126
105615,2482,-3983,7233,880,615,-1155,7250,2720,-1298,661,-1089,212
105625,2503,-4011,7100,848,466,-1353,7334,2756,-1230,511,-959,312
105635,2575,-4088,7134,884,361,-1489,7212,2810,-1346,359,-768,557
105645,2601,-4229,7343,910,268,-1504,7516,2842,-1504,320,-483,814
105655,2756,-4354,7710,669,220,-1444,7872,3000,-1524,265,-106,824
105665,2832,-4423,7858,225,239,-1212,8158,3036,-1700,204,324,463
105675,2820,-4124,7923,-253,349,-880,8192,2742,-1796,162,670,-25
105686,2711,-3981,7786,-446,463,-702,7888,2712,-1790,227,592,-357
105696,2692,-3882,7595,-396,557,-699,7934,2604,-1684,334,312,-468
105706,2583,-3859,7555,-208,541,-720,7672,2550,-1710,405,-353,-257
105716,2543,-3938,7585,-41,567,-769,7688,2614,-1688,341,-479,-163
105726,2568,-3952,7548,7,638,-853,7494,2624,-1724,193,-373,-149
105736,2553,-3903,7488,-49,633,-926,7592,2628,-1660,85,-156,-153
105746,2586,-4109,7595,-226,536,-957,7820,2618,-1754,-124,158,-282
105756,2704,-4090,7785,-581,449,-953,8114,2640,-1774,-253,488,-515
105766,2707,-4023,7987,-907,346,-915,8084,2558,-1884,-278,813,-775
105776,2679,-3880,7910,-1108,263,-871,7852,2590,-1802,-217,883,-839
105786,2637,-4084,7724,-1096,284,-876,7704,2618,-1684,-196,623,-807
105796,2598,-4117,7599,-1114,341,-877,7692,2502,-1810,-322,271,-796
105806,2495,-4212,7535,-1232,359,-892,7354,2212,-1864,-580,-85,-795
105816,2420,-4327,7471,-1515,393,-963,7510,2052,-1776,-914,-413,-660
105826,2537,-4462,7178,-1966,439,-1155,6842,1776,-1758,-1285,-1041,-946
105836,2736,-5329,6313,-2766,395,-1337,6122,1930,-1440,-1423,-2554,-1222
105846,3184,-7162,4746,-4335,415,-1079,2102,-3628,-9156,-2340,-4309,-1397
105856,4773,-12627,2634,-7414,699,2084,4602,-3700,-7056,-8874,-6093,809
105866,4302,-12535,-1226,-13904,1007,8198,9690,-4502,-8054,-16659,-5432,8509
105876,5178,-21385,-3862,-26099,1384,10268,13772,1068,-3038,-22828,-3646,14695
105886,1520,-27989,209,32503,3723,8016,10866,3098,4932,-29014,-591,11834
105896,-1011,-26718,7203,32503,3712,-2228,2408,7880,9114,-32233,-4736,7964
105906,-1011,-26718,7203,32503,3712,-2228,1010,4938,8092,-25865,-18890,8055
105916,-15913,-10046,15288,32503,-4352,-10557,5882,2138,-2172,-13802,-29474,12286
105926,1720,-7517,12988,32503,-5136,10620,14494,-2286,-3084,-4745,-28330,17009
105936,8371,-17267,20535,32503,-6096,22788,10478,2460,7542,-3109,-24792,18759
105946,22496,-13818,12590,32503,1227,27288,8088,42,14278,-3638,-27510,16671
105956,20869,-2698,11690,32503,23852,13569,-2192,838,1798,-1920,-28130,10570
105966,535,1990,3185,32503,-32315,1363,6918,-942,-18660,11455,-19390,9146
105976,-5086,6095,-3342,32503,-32315,-4920,16254,-330,-18860,12317,-8345,13264
105986,4540,13400,-13949,32503,21500,-2359,10228,1850,-13256,2164,-5715,7570
105996,9833,14376,-17228,-21422,4888,-3657,3954,668,-7122,-273,-14479,2185
106006,7580,9433,-10555,-16645,-3185,-8215,7834,394,-7880,-1972,-11568,4433
106016,4624,3922,-432,-13883,-12144,-11931,4478,-3632,-4314,-3700,-5376,4322
106027,340,3637,4870,-7578,-14645,-12432,7028,-104,-1036,-5056,1755,3298
106037,758,2258,275,675,-7894,-8886,9248,-2560,-1922,-2057,3051,3775
106047,-1269,3275,-1527,1494,-2589,-4029,7128,42,-3024,598,-52,1294
106057,3562,6282,-632,3390,3003,356,6226,1350,-3790,1000,-270,-752
106067,6417,6053,-6435,7727,6419,673,7828,770,-5000,3139,-1108,-828
106077,4160,6745,-9952,5740,6933,-1236,6664,-188,-5488,3712,-1264,-1954
106087,1548,6884,-9306,2419,4540,-2595,5274,-606,-6876,2307,-372,-3090
106097,1989,6786,-6820,1081,-2731,-2800,5812,-744,-6212,326,641,-2513
106107,2008,4411,-4989,1886,-5560,-2695,5368,-626,-5156,-1384,1006,-2076
106117,1352,3379,-3086,1132,-5740,-2058,5852,-4,-4068,-1989,883,-1036
106127,1921,3053,-1566,959,-2921,-481,5674,-70,-3766,-953,1115,-799
106137,3193,3196,-2099,1686,1442,1039,5746,40,-3942,472,632,-806
106147,3874,4401,-4701,2285,4246,1376,5310,-34,-4642,1617,359,-548
106157,3989,5082,-7940,2101,5242,865,6820,-50,-5756,2085,551,-156
106167,3612,6016,-8999,33,3189,-39,6892,208,-6736,1777,417,-493
106177,2555,6420,-7875,-1957,1114,-1068,6178,-340,-7624,580,-26,-1274
106187,1846,5755,-6478,-2346,-636,-1574,5990,-452,-6930,-1013,-427,-1393
106198,1050,4944,-5296,-2275,-1747,-1334,6114,376,-4486,-2322,-882,-346
106208,1375,4263,-3567,-1832,-2015,-375,6456,392,-4266,-1590,83,99
106218,2292,4051,-2317,-1060,-1127,962,6402,510,-3938,-569,574,13
106228,3983,4352,-2318,118,856,1939,5942,492,-3956,350,592,-364
106238,5065,4939,-3811,1320,2564,1877,6660,514,-4418,1108,491,-237
106248,5069,5487,-6744,1943,3775,907,6776,516,-5560,1622,339,-426
106258,4166,6108,-8617,1046,3202,-398,6598,-4,-6950,1466,606,-822
106268,3087,6230,-7548,-936,1434,-1444,6460,110,-7292,359,1090,-1050
106278,2055,5723,-5984,-1852,-424,-2046,6458,-28,-6390,-957,804,-801
106288,1637,5093,-4922,-1470,-1610,-2059,6280,250,-5340,-1727,279,-596
106298,1809,4542,-3975,-648,-1751,-1540,6610,426,-4406,-1643,-315,-407
106308,2505,4141,-3246,146,-899,-652,6208,534,-3590,-1003,-674,-506
106318,3423,4456,-3031,638,378,209,5744,346,-3580,-91,-552,-608
106328,4217,4802,-3804,1496,1599,549,6294,414,-3704,841,0,-290
106338,4421,4972,-5267,2143,2507,267,6656,194,-4874,1516,871,-193
106348,3930,5321,-7025,1802,2707,-286,6392,358,-5436,1551,1443,-433
106358,2485,5512,-6670,-1484,980,-942,6672,168,-6296,1209,1635,-465
106368,2485,5512,-6670,-1484,980,-942,6672,-118,-6656,515,1327,-419
106378,2277,4766,-4291,-2089,12,-881,6436,178,-5818,-406,525,-351
106388,2515,4565,-3648,-1447,-14,-605,6712,316,-5200,-912,-306,-85
106398,3173,4499,-3246,-472,261,-194,6462,398,-4704,-906,-761,-179
106408,3496,4574,-3461,545,493,-5,6220,288,-4238,-566,-815,-306
106418,3803,4818,-4319,1464,764,26,6148,466,-3882,-139,-569,-276
106428,4148,5111,-5773,1954,1220,-92,6174,210,-4230,375,-55,-296
106438,3695,5238,-6746,1479,1551,-563,5940,-2,-4732,596,523,-415
106448,2755,5129,-6592,365,1314,-1013,6268,22,-5416,452,891,-292
