# label=point
# trial=10
# subject=subject01
# captured_at=20260415_214511
# mode=thumb_index
# sensor_1=thumb
# sensor_2=index
ts_ms,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
57638,899,-4865,7329,2559,-426,-322,7934,2118,-1516,-748,652,358
57648,892,-4892,7399,2566,-504,-356,7946,2068,-1546,-738,707,396
57658,885,-4844,7402,2588,-582,-372,7990,2026,-1594,-726,693,435
57668,864,-4951,7468,2590,-625,-377,8064,2114,-1514,-726,638,452
57678,938,-4960,7438,2548,-589,-348,8102,2118,-1462,-753,539,427
57688,938,-4960,7438,2548,-589,-348,8072,2078,-1502,-744,417,362
57698,918,-4871,7456,2445,-518,-266,8006,2038,-1512,-724,304,285
57708,876,-4803,7469,2437,-490,-233,8058,2016,-1556,-709,234,237
57718,784,-4754,7435,2506,-453,-211,7922,1958,-1604,-659,190,218
57728,776,-4820,7328,2586,-419,-245,7874,2038,-1592,-646,160,220
57738,744,-4863,7297,2614,-406,-299,7856,2088,-1514,-672,139,274
57748,761,-4920,7270,2605,-407,-338,7806,2118,-1612,-725,111,321
57758,763,-4937,7290,2570,-413,-361,7868,2146,-1522,-768,136,370
57768,844,-4922,7252,2533,-373,-363,7826,2182,-1406,-801,176,379
57778,858,-4836,7176,2520,-360,-339,7734,2194,-1324,-790,168,345
57788,862,-4776,7184,2559,-400,-317,7752,2100,-1420,-753,172,358
57798,891,-4773,7216,2683,-438,-294,7848,2102,-1408,-664,183,424
57808,826,-4880,7290,2803,-471,-271,7924,2156,-1424,-570,222,477
57818,775,-4868,7302,2790,-521,-253,7874,2134,-1488,-544,278,467
57828,753,-4887,7344,2712,-536,-260,7914,2118,-1418,-580,332,423
57838,686,-4815,7336,2666,-529,-269,7870,2072,-1594,-596,362,374
57848,692,-4847,7355,2685,-475,-313,7932,2038,-1594,-609,370,395
57858,796,-4868,7357,2710,-424,-344,7904,2034,-1620,-651,309,447
57868,800,-4900,7408,2725,-411,-338,7938,2066,-1538,-673,235,461
57878,792,-4854,7481,2691,-460,-318,7936,2066,-1554,-665,208,446
57888,767,-4901,7467,2687,-500,-313,7892,2036,-1632,-638,242,406
57899,727,-4876,7457,2674,-519,-312,7936,2032,-1620,-644,320,376
57909,762,-4863,7386,2686,-490,-305,7984,2034,-1566,-636,425,419
57919,831,-4858,7380,2713,-429,-299,7870,2006,-1552,-626,372,446
57929,847,-4840,7367,2753,-379,-282,7876,2020,-1512,-612,230,458
57939,816,-4825,7387,2736,-414,-270,7914,1948,-1610,-619,152,450
57949,756,-4790,7467,2687,-496,-285,7894,1912,-1716,-629,141,432
57959,669,-4805,7479,2687,-543,-306,7896,1924,-1680,-659,218,437
57969,659,-4804,7458,2717,-541,-336,7968,2004,-1636,-723,333,463
57979,730,-4893,7420,2756,-488,-379,7950,2150,-1498,-768,381,480
57989,841,-4973,7328,2763,-413,-399,7910,2094,-1430,-759,365,448
57999,859,-4956,7307,2714,-392,-369,7954,2124,-1464,-738,338,419
58009,905,-4970,7340,2658,-387,-372,8030,2102,-1434,-736,274,416
58019,950,-4953,7320,2624,-359,-351,7958,2188,-1346,-730,175,425
58029,945,-4956,7248,2630,-338,-292,7836,2180,-1368,-720,71,437
58039,896,-4925,7212,2651,-325,-226,7816,2154,-1442,-721,-14,478
58049,853,-4928,7102,2664,-284,-171,7720,2152,-1380,-736,-89,552
58059,817,-4807,7014,2673,-226,-132,7672,2136,-1360,-756,-206,666
58070,827,-4610,6822,2758,-140,-56,7366,2004,-1362,-694,-449,871
58080,847,-4446,6569,2948,-72,110,7354,2096,-1258,-545,-848,1274
58090,990,-4366,6680,3195,-167,315,7240,1988,-1366,-291,-1236,1790
58100,909,-4535,6550,3681,-384,334,7190,1966,-1334,-49,-1541,2074
58110,907,-4537,6421,3851,-724,261,7122,2038,-1374,14,-1818,2181
58120,882,-4504,6293,3647,-1081,431,6932,2040,-1294,186,-2127,2461
58130,866,-4791,5980,3407,-1349,581,7028,2186,-1040,339,-2388,2856
58140,916,-5274,5295,2250,-1531,1507,7084,1908,-1260,384,-2653,3360
58150,364,-6949,534,-17,-1280,1955,6868,1726,-1422,825,-3038,3803
58160,364,-6949,534,-17,-1280,1955,6396,1516,-1884,1908,-2799,4227
58170,41,-7687,4564,-19984,-2835,5126,5274,1548,-1328,2818,-3034,5621
58180,1193,-7905,3843,-25091,-2162,7082,6444,1378,-1826,3121,-3994,7403
58190,2622,-11602,2207,-27814,-2498,9510,7358,-426,-5620,1860,-3727,7525
58200,2057,-8017,3771,-30065,-2582,10644,7694,660,-3134,-141,-2199,5402
58210,1230,-8000,6116,-30065,-2760,8459,7754,876,-2110,-2402,-2725,6494
58220,1340,-7068,5428,-30065,-2601,6053,7806,852,-1808,-3394,-5562,7430
58230,767,-7643,4483,-30065,-1952,2603,7892,1620,-2226,-2896,-7827,7485
58240,418,-9620,3273,-30065,-1756,-77,8452,2308,-2798,-1867,-7795,6910
58250,1329,-11623,1738,-30065,651,-3249,7326,862,-2958,-1321,-6993,5632
58260,-279,-11222,420,-30065,2864,-4425,7558,42,-3086,-1095,-5758,4873
58270,-1151,-10894,120,-30065,5053,-6104,7538,-398,-3614,-1125,-5495,4579
58280,-1097,-10636,-1448,-30065,6390,-7620,7642,310,-3742,-1240,-5633,4960
58290,878,-11188,-2697,-30065,6519,-8926,7950,-342,-4132,-1484,-6069,4928
58300,1626,-11312,-4418,-30065,6006,-8451,8082,-556,-4538,-1407,-5523,5184
58310,2678,-10996,-5709,-30065,3653,-7835,8064,-856,-4728,-1894,-4604,5195
58320,2805,-10673,-5702,-30065,-112,-8633,7828,-1084,-4976,-2466,-3514,5090
58330,2506,-10053,-4998,-30065,-3162,-9947,7868,-938,-4584,-3104,-2961,4813
58340,2742,-9531,-5095,-30065,-5501,-10859,8922,-900,-2848,-3776,-2243,4862
58350,2553,-8879,-5602,-30065,-7337,-11549,8232,52,-4002,-3465,-1092,4356
58360,1813,-8237,-6698,-30065,-8169,-11976,8480,-708,-4600,-3189,-388,3377
58370,747,-7542,-7938,-30065,-8017,-11524,7966,-1136,-5634,-3259,640,2311
58380,164,-6653,-8401,-30065,-7544,-10440,8734,-820,-4954,-4274,1853,1864
58390,478,-5657,-8865,-29703,-6495,-8755,8730,-786,-4510,-3913,1300,1189
58400,810,-4749,-9020,-29267,-5409,-7188,8388,-628,-4230,-4839,3554,-90
58411,815,-3679,-8790,-29093,-4889,-5849,8536,-466,-3614,-5353,4735,-654
58421,856,-2739,-8533,-28452,-4313,-4573,8510,-414,-3466,-5588,4973,-1163
58431,1049,-1756,-7864,-27811,-3812,-3579,8186,-182,-3450,-5873,4853,-1598
58441,882,-733,-7097,-27116,-3367,-2906,8086,-96,-3320,-6134,5243,-2045
58451,623,143,-6587,-25639,-3312,-2133,8072,-168,-3204,-6290,5468,-2307
58461,1013,1048,-7139,-23752,-3516,-1368,7924,296,-2970,-6114,5740,-2619
