# label=pronation
# trial=18
# subject=subject01
# captured_at=20260415_231920
# mode=thumb_index
# sensor_1=thumb
# sensor_2=index
ts_ms,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
105208,2131,-5887,6018,-1272,-4241,-1513,15984,2084,2316,-2537,5816,-67
105218,2268,-5697,5876,-1187,-3879,-1480,16092,2100,2796,-2789,5591,410
105228,2349,-5554,5973,-1025,-3793,-1598,16212,2084,2864,-2899,6035,840
105238,2388,-5851,5889,-762,-3977,-1848,16792,2344,3152,-3022,6860,924
105248,2446,-5994,5990,-678,-4042,-2004,17532,2508,3244,-2649,7127,581
105259,2693,-6256,5937,-719,-3940,-1996,17036,2488,3272,-2475,8356,454
105269,2562,-6282,6209,-885,-3972,-1902,16624,2448,2624,-2259,8282,-197
105279,2623,-6219,6345,-975,-3381,-1776,17188,2480,3688,-1640,5663,-882
105289,2595,-6336,6148,-1374,-3641,-1500,16808,1776,3196,-3289,6609,-48
105299,2770,-5736,6096,-1669,-4242,-1365,16772,2336,2928,-1524,6195,-647
105309,2770,-5736,6096,-1669,-4242,-1365,16620,2368,2952,-1635,5622,-325
105319,2621,-5751,6069,-1024,-4441,-1450,16808,1860,2884,-1652,4904,333
105329,2504,-6058,6074,-854,-3956,-1417,16984,2156,2888,-1557,4793,285
105339,2389,-6123,6247,-823,-3786,-1264,16800,2136,2736,-1625,5360,56
105349,2381,-6100,6271,-911,-3822,-1037,16772,2164,2616,-1312,5787,-211
105359,2369,-5923,6120,-968,-3943,-861,16528,2268,2516,-967,5543,-391
105369,2226,-5956,5987,-969,-4105,-783,16224,2180,2312,-1193,5320,-382
105379,2156,-5769,6015,-1091,-3953,-721,16056,2228,2080,-1361,5346,-317
105389,2098,-5609,6007,-1072,-3885,-753,15944,2052,2084,-1299,5712,-171
105399,1997,-5640,5863,-898,-3952,-828,15604,2132,2060,-1539,6169,219
105409,2046,-5572,5800,-820,-4038,-952,15876,2204,2240,-1761,6485,649
105419,2146,-5691,5760,-752,-4106,-1239,15848,2376,2328,-1831,6628,1012
105430,2283,-5903,5881,-692,-4172,-1540,16472,2480,2604,-1781,7075,903
105440,2354,-6121,6044,-701,-4274,-1707,16748,2404,2700,-1760,7301,664
105450,2338,-6209,6175,-840,-4401,-1738,16964,2436,2684,-1842,7495,409
105460,2426,-6291,6279,-999,-4428,-1699,17228,2508,2800,-1823,7400,-46
105470,2567,-6276,6267,-1144,-4343,-1596,17260,2472,3120,-1529,6959,-561
105480,2561,-6303,6178,-1284,-4234,-1379,16684,2328,2832,-1245,6553,-1010
105490,2528,-6160,6130,-1464,-4049,-1151,16372,2260,2984,-1234,6426,-1314
105500,2551,-6002,5993,-1611,-4013,-1061,16064,2372,3132,-1249,6351,-1397
105510,2550,-5819,5765,-1681,-4159,-1056,15492,2280,3144,-1297,6343,-1299
105520,2494,-5536,5518,-1657,-4254,-1056,14968,2224,3388,-1303,6126,-995
105530,2546,-5267,5234,-1536,-4165,-1107,14444,2104,3424,-1369,5612,-406
105540,2610,-5204,4943,-1293,-4137,-1304,13920,2344,3656,-1463,5093,227
105550,2739,-5134,4874,-1082,-4194,-1579,13688,2336,3964,-1511,4791,897
105560,2829,-5183,4829,-832,-4306,-1856,13696,2292,3832,-1530,4835,1492
105570,2928,-5159,4860,-629,-4378,-2188,14296,2128,4004,-1618,5465,2151
105580,2954,-5225,5032,-385,-4450,-2498,14824,2208,3904,-1353,6764,2497
105590,2839,-5295,5253,-119,-4597,-2665,15468,2132,3880,-1410,7282,2864
105600,2835,-5258,5352,136,-4683,-2699,15332,1948,3756,-1604,6809,3083
105610,2785,-5099,5360,497,-4491,-2646,15700,1956,3656,-1777,6281,3519
105620,2864,-5111,5320,987,-4132,-2620,16040,1720,3456,-2202,3576,4379
105630,2740,-5258,5537,1414,-4070,-2681,16212,1232,3500,-2538,2338,4750
105640,2718,-5335,5806,1772,-3657,-2669,16632,1156,3156,-3049,1110,4881
105650,2754,-5502,6041,1944,-3308,-2695,17152,1084,3364,-3424,974,4971
105660,2791,-5559,6227,1992,-3083,-2696,16312,584,3328,-4907,1068,5724
105670,2991,-5274,6345,2035,-2853,-2652,16628,1316,3076,-3027,1221,5960
105680,3237,-5244,6305,2314,-2571,-2634,17116,1448,3440,-3659,1119,6616
105690,3266,-5320,6345,2764,-2493,-2503,17288,1808,3128,-2683,301,6218
105700,3247,-5265,6552,3269,-2429,-2199,17224,1528,2788,-1655,7,6175
105710,3027,-5488,6673,3963,-2381,-1727,17304,1192,2592,-1770,-455,6339
105720,2852,-5473,6667,4529,-2086,-1177,17284,968,2632,-1561,-1198,6107
105730,2777,-5328,6503,4785,-1677,-758,16064,464,2532,-1462,-2008,6369
105740,2734,-5206,6388,4711,-1391,-519,16196,320,2436,-1831,-3440,6338
105750,2956,-5239,6341,4330,-1271,-551,15984,936,2628,-1585,-2329,6109
105760,3299,-5372,6612,3693,-1358,-799,16332,1124,2740,-749,-1073,5187
105771,3460,-5244,6863,3040,-1785,-952,16648,796,2228,-229,25,4951
105781,3431,-5067,6970,2767,-2278,-969,16840,196,1828,-170,1292,4877
105791,2790,-4776,7150,2888,-3449,-972,17160,60,1344,48,1773,5392
105801,2574,-4951,7504,2953,-3860,-928,18484,84,1384,502,2584,5704
105811,2470,-5239,7807,2977,-3972,-643,18764,-152,900,968,2879,5129
105821,2484,-5239,8073,2801,-3789,-208,18836,-420,620,860,2300,4344
105831,2513,-5079,8251,2549,-3452,102,18600,-472,708,614,1213,3416
105841,2601,-5032,8267,2318,-2892,229,18864,-448,1012,270,524,2764
105851,2644,-5025,8270,2104,-2470,300,18796,-440,764,-48,198,2416
105861,2635,-5012,8191,1973,-2504,364,18804,-392,244,30,440,2139
105871,2476,-4997,8303,1814,-2652,525,19140,-364,204,627,1392,2037
105881,2199,-5127,8479,1645,-2958,839,20168,-208,-68,1654,2624,1727
105891,2188,-5270,8760,1513,-2968,1422,21028,324,-88,3185,3425,1308
105901,2223,-5717,8935,1343,-2718,2361,21428,112,-36,4615,3304,480
105911,2303,-5756,9045,1078,-2156,3467,20496,-40,104,5759,1915,-1003
105921,2586,-5936,9082,485,-1869,4387,20540,112,436,6364,420,-2957
105931,2732,-6604,9175,-577,-1925,5079,21084,388,444,6652,230,-5900
105942,2749,-6856,9508,-2364,-2299,5735,21852,560,232,7731,2031,-9077
105952,2570,-7354,9768,-4467,-2952,6452,22932,980,80,9094,5242,-12874
105962,2195,-7663,10049,-6749,-3794,7412,23872,1012,-64,10516,8034,-16356
105972,1759,-8193,10390,-9094,-4379,8804,25184,2428,472,13447,10436,-21268
105982,1748,-9142,10570,-11524,-4249,10755,24840,660,-40,15524,10295,-27002
105992,1304,-8803,10722,-14245,-3215,13170,22700,-176,-1072,17345,9019,-31374
106002,1210,-7963,10266,-16998,-1561,15134,20652,-1672,-600,19472,5082,-32672
106012,1343,-7076,9876,-19666,-48,16334,18916,-2700,-1416,19248,-1439,-32672
106022,1183,-5578,9501,-22192,588,16976,16824,-2624,-692,19431,-4482,-32672
106032,1683,-4876,9243,-23713,1445,16787,15352,-2248,-1444,19170,-5815,-32672
106042,1055,-4104,8953,-24227,1288,16271,14808,-2136,-2976,16509,-9303,-32672
106052,-248,-3585,8270,-23673,414,15192,12512,-1968,-2880,13211,-5492,-32672
106062,-1464,-3735,8511,-22407,5,14130,18312,68,-5024,8506,-10323,-32672
106072,-2628,-4196,8242,-20470,-116,13741,16472,1512,-3968,6489,-11603,-32672
106082,-2736,-4212,6890,-18346,1137,13733,15412,2848,-3812,2319,-18143,-32672
106092,-2405,-3577,5591,-15908,3407,14054,12932,4876,-2688,1301,-23228,-32672
106102,-1904,-3611,4186,-12805,5922,14657,8800,6108,-2112,1797,-26416,-31368
106112,-1179,-3248,2361,-9934,7745,15087,6544,6760,-2848,1834,-27374,-26210
106133,-3789,-2813,1236,-4544,4971,14254,6372,6960,-6792,-1875,5393,95
106143,-4829,-3095,935,-1989,2650,13735,5632,7656,-6172,-2911,-24943,-8918
106153,-5297,-2954,1109,-364,-590,13297,5748,7124,-6736,-5897,-25902,-4443
106163,-5650,-2805,1213,934,-383,12538,5068,7328,-6996,-7951,-26468,-1381
106173,-6132,-2583,1430,2308,893,11354,2996,7120,-7832,-10822,-27301,2275
106183,-6168,-1988,1133,3381,2643,10066,2672,7624,-7832,-14370,-27374,6826
106193,-6219,-1512,730,3984,3484,8276,2164,7816,-7376,-17649,-24529,9638
106203,-6077,-2218,1364,3890,3280,5836,3636,7504,-8324,-19867,-20489,11259
106213,-5822,-2725,2309,3507,4045,3088,6220,7812,-7628,-23360,-18046,12451
106223,-5544,-3291,3203,2794,4806,96,6588,8544,-7100,-26453,-16194,15053
106233,-4695,-2399,2949,2810,6623,-5445,4912,12544,-5396,-27916,-13341,17833
106243,-4695,-2399,2949,2810,6623,-5445,7792,10344,-5352,-29328,-14652,22501
106253,-4125,-2430,2585,4855,7453,-7335,8364,10600,-3888,-28804,-16077,25596
106263,-2893,-5595,2290,9558,8251,-8648,11456,11280,-3640,-26555,-18711,26959
106273,-2301,-7448,2891,10860,8772,-8307,12276,12024,-3380,-21669,-17428,24979
106283,-1612,-8337,3128,11435,9189,-7361,12988,12816,-3776,-16944,-15553,23472
106293,-1843,-7695,2882,11798,8307,-6561,14324,12984,-3592,-12322,-16394,23618
106303,-2500,-6405,2810,12645,6840,-5890,13828,12812,-3408,-9463,-20039,25462
106313,-2993,-5184,2574,14485,5278,-4991,11984,11136,-4036,-8107,-23813,30133
106323,-3237,-4218,2829,17062,3835,-4136,11620,9124,-5212,-6850,-26270,-32674
106333,-3391,-3452,3847,19390,2412,-4093,9636,7668,-5688,-6252,-26015,-32674
106343,-3377,-3520,4385,21642,1837,-4932,8496,5780,-6672,-7392,-24001,-32674
106353,-2838,-3587,5158,22893,1270,-6356,6888,5100,-7116,-8799,-17897,-32674
106363,-1707,-3896,5228,22908,1320,-8640,8216,5500,-6428,-7945,-11137,-32674
106373,-763,-4745,5187,22984,1476,-10799,11244,5424,-5972,-4603,-7482,-32674
106383,-747,-5594,5373,23684,865,-11848,14572,5712,-4224,-1554,-7199,-32674
106393,-1159,-6454,5747,24242,290,-10989,15948,5332,-3784,1934,-10951,-32674
106403,-902,-6034,5749,24320,-38,-8758,13784,3916,-3684,4858,-14055,-32674
106413,-668,-5224,5493,23741,-1812,-6692,10664,2812,-4324,7721,-15828,-32674
106423,-159,-4266,5807,22489,-3568,-5551,8568,1192,-4856,10839,-13006,-32674
106433,804,-3377,6281,21487,-4018,-5281,8928,1140,-4180,13913,-7997,-32674
106443,1036,-4419,6965,20726,-4446,-5698,10880,708,-3116,18506,2657,-32674
106454,1993,-5360,6993,19803,-3586,-5245,14028,-596,-4180,23268,6651,-32674
106464,1905,-5513,7764,19263,-6252,-4118,15400,-2044,-3132,26723,6682,-32674
106474,1361,-5460,8652,18408,-9270,-2686,14860,-4592,-3804,28155,11985,-32674
106484,920,-4899,9448,17553,-11418,-1136,15596,-6648,-4808,29292,10997,-32674
106494,115,-3892,10522,16302,-12313,-30,14940,-7284,-5136,30633,11816,32341
106504,369,-3229,9857,16046,-11041,989,15640,-6104,-4124,30891,7609,30510
106514,1011,-2796,9890,15914,-12904,1864,16120,-6612,-1828,30891,1504,27935
106524,1137,-3485,9951,15251,-11824,3467,12688,-5912,-2100,30891,-1833,21604
106534,1811,-3859,10014,13997,-4597,6259,12636,-7128,-1188,30891,3228,15362
106544,2601,-3954,9520,13009,-2489,8295,12900,-7548,-1244,30891,6977,10486
106554,1890,-3484,10824,10483,-7035,8682,15604,-10108,-424,30891,13918,7858
106564,919,-2870,11622,7986,-12643,8318,16284,-12764,-1692,30891,17629,4422
106574,-230,-1579,11620,6499,-16714,8210,14156,-12032,-1812,30891,17659,3111
106584,-934,-411,10898,5067,-19114,8435,13704,-13252,-2080,30891,15130,2643
106594,-2114,623,11272,3671,-20604,8483,13116,-15324,-3320,30891,12868,3403
106604,-1252,832,10394,2443,-19303,8571,12220,-14356,-6172,30891,12010,3001
106614,-1529,488,10511,1377,-21107,8200,10752,-9072,-2964,30891,15172,1924
106624,-1951,120,10790,279,-20942,7788,14692,-13824,-892,28717,9449,-192
106634,-1811,-520,10703,-1009,-19548,7190,13944,-15676,-388,22712,3796,-1647
106644,-1117,-1050,11149,-2626,-17504,6083,18260,-14368,-3132,19925,-2079,-8459
106654,-564,-1903,11804,-4969,-16471,4891,17452,-12312,-5060,15019,-5415,-14799
106664,-554,-2681,12838,-7495,-16582,3697,18448,-14596,-5296,21027,-3593,-19883
106674,-839,-3552,13553,-9681,-18422,2452,19280,-14580,-5152,21792,3878,-24620
106684,-738,-3557,14064,-11365,-19343,1104,19508,-15940,-4764,14446,16305,-26957
106694,-788,-2936,14008,-12662,-18312,170,20036,-15064,-5764,10916,22564,-28745
106704,-505,-2847,13524,-14090,-15403,-184,19444,-16536,-3968,7693,18360,-29656
106714,-219,-2816,13228,-15866,-12673,-87,19784,-14528,-7244,5407,15220,-32672
106724,-77,-1710,13721,-17844,-10886,219,19676,-15368,-4852,3065,9685,-32672
106734,881,-1330,13433,-18322,-9560,714,18788,-15272,-3848,2121,4469,-32672
106744,343,-1665,12902,-17999,-9647,1310,17500,-13452,-3448,2345,2006,-32672
106754,511,-2148,12515,-18339,-8114,1953,20348,-12524,-5404,-1543,936,-32672
106764,808,-3060,12505,-19010,-7108,2358,19472,-11824,-3540,-2151,160,-32672
106774,243,-4018,12691,-18953,-6338,2700,21056,-10972,-5612,-3646,2842,-32672
106784,-199,-3194,12123,-19124,-2651,4243,20208,-10480,-5724,-5136,1418,-32672
106795,263,-2415,11165,-18620,-1500,5596,18492,-9952,-4412,-4811,-1108,-32672
106805,74,-2280,10604,-17404,-1825,6845,17832,-7784,-2324,1786,-4594,-32672
106815,811,-2906,9786,-16274,-911,8551,17472,-8392,-4904,-405,-1701,-32672
106825,778,-2707,9595,-14952,-1333,10117,19672,-7156,-4420,-5249,-4497,-32110
106835,-27,-3648,8910,-13160,-965,11278,17408,-5992,-3144,-4011,-3000,-29353
106845,-328,-4487,8383,-12075,1122,11416,18540,-3996,-4408,-2701,-5352,-27943
106855,37,-5111,8748,-11703,1088,10895,17688,-3344,-1636,-4778,-1583,-26238
106865,-48,-6054,8382,-10960,1347,10386,18296,-1168,-6608,-1590,-1085,-25409
106875,1867,-6806,7264,-11454,1717,10742,18980,-1176,-228,3624,1203,-25889
106885,-11,-5879,7498,-11459,-2438,10881,15992,-1596,-2500,1690,2967,-25872
106895,-171,-5572,6883,-10845,-1891,10665,16068,196,-3468,3184,-2308,-25555
106905,-520,-4908,5744,-11242,-285,10705,12352,740,-3556,2160,-3488,-22624
106915,-209,-3914,5441,-10712,629,9735,12052,1760,-2316,2254,-2898,-19149
106925,-864,-4658,5137,-8828,-1422,8597,15024,2348,-3084,1102,-4640,-18048
106935,-1425,-6402,4604,-7756,-1713,7910,13592,4328,-3196,1797,1255,-18307
106945,-1118,-7016,5343,-7924,-2247,7202,16324,4512,-2300,289,-214,-18506
106955,-1139,-7580,5319,-8110,-4209,6967,14408,5156,-2648,-25,4125,-20743
106966,-1087,-7093,5000,-9024,-4944,7234,11764,4832,-2020,721,7516,-20345
106976,-668,-6283,4026,-9944,-5780,7135,11868,4776,-3240,1106,7661,-19762
106986,-1890,-5343,4056,-9971,-6449,6594,11140,4768,-3824,-470,11168,-17559
106996,-2519,-5442,3689,-9249,-5436,5660,15072,4496,-4728,-3247,7986,-15520
107006,-3194,-5860,4150,-8597,-4964,4799,15788,5544,-4300,-6441,6938,-15028
107016,-3227,-7049,4694,-7853,-2066,3791,14740,6972,-2560,-6246,8358,-17112
107026,-2211,-7713,4573,-7903,1863,2722,14160,7432,-2660,-3968,7864,-19202
107036,-1770,-7499,3865,-8301,3806,2293,16864,9096,-1244,310,-4509,-21687
107046,-1473,-7048,3007,-9369,3938,2593,16876,5840,-4868,-7193,-27374,-19198
107056,-1593,-5388,3396,-9812,3406,3183,14572,9720,-4808,-8430,-27374,-15732
107066,-3251,-5490,2797,-7660,1003,3071,11616,8176,-3160,-7843,-27374,-15705
107076,-3706,-5812,2542,-6159,893,3440,12636,8508,-3704,-8538,-25544,-14251
107086,-3608,-6628,2639,-5341,1573,3731,9648,8028,-5644,-8397,-14026,-14208
107096,-4046,-6926,3091,-5177,1423,4389,10916,7616,-5704,-8278,-6221,-13050
107106,-4417,-6135,2805,-4964,1841,4907,11816,7312,-6936,-10992,-2442,-10940
107116,-5294,-6138,3099,-4531,541,5435,11232,6912,-7288,-14210,-5433,-8909
107126,-5553,-5121,2860,-3918,-1204,5912,10804,7436,-5760,-18306,-12406,-6329
107136,-5382,-5184,2086,-3492,-149,5564,8384,8268,-4780,-21772,-17993,-3366
107146,-4831,-4301,1672,-2973,3376,4543,8724,9216,-4016,-24052,-22714,673
107156,-4240,-3984,1207,-1561,7007,3200,8624,10112,-2268,-24677,-26298,4830
107166,-3514,-3971,574,92,8546,2335,5600,10756,-2000,-24766,-27374,9270
107176,-2965,-3763,-31,1473,8595,2255,4844,10604,-1912,-24266,-25893,13111
107186,-2642,-3156,237,2791,7821,2354,5232,10576,-1772,-23603,-23764,16293
107196,-2282,-2890,388,4397,6709,2232,5376,10824,-1560,-21689,-21462,19077
107206,-2088,-4401,-225,6336,5034,1758,7088,10548,-1952,-19968,-18533,18703
107216,-1892,-6771,182,6962,4556,1082,10840,10176,-3840,-17036,-14880,16884
107226,-1573,-7209,1660,5926,5373,377,13368,10012,-4672,-15230,-15073,15778
107236,-2175,-6755,3000,4714,4862,-432,14908,10640,-3872,-14099,-18018,16569
107246,-2908,-6161,2954,4991,3608,-683,14456,11336,-3368,-12656,-22715,19681
107256,-3396,-4561,2440,9312,2674,1030,12896,11704,-3104,-11465,-27374,25330
107266,-3396,-4561,2440,9312,2674,1030,9992,11832,-2608,-10220,-27374,31365
107276,-3289,-4081,1650,13160,2771,1393,7656,9944,-3492,-9271,-27374,-32674
107286,-2902,-3912,2813,19597,2164,150,6728,7184,-5896,-9075,-26651,-32674
107296,-2720,-3720,4018,20892,1366,-1636,6168,5392,-6528,-9911,-20764,-32674
107307,-2535,-4272,4493,21232,1825,-4189,6632,4536,-7064,-10628,-13712,-32674
107317,-1564,-4667,4606,20468,2688,-6906,9556,5192,-5612,-10163,-8122,-32674
107327,-796,-5508,4590,19671,2392,-8822,12676,5080,-5456,-8432,-6371,-32674
107337,-978,-6403,4931,19744,1132,-9422,15272,4904,-5076,-6446,-8254,-32674
107347,-1291,-6423,5808,20249,143,-8932,15344,3856,-5352,-5851,-12889,-32674
107357,-1621,-6285,5614,21154,691,-8385,13064,4224,-4792,-4378,-14970,-32674
107367,-1325,-5951,5129,21068,1044,-7705,12856,3532,-4764,-2475,-17592,-32674
107377,-476,-5199,4814,20223,779,-7031,11348,2600,-4624,875,-16881,-32674
107387,-108,-4376,5189,19643,-393,-6814,10936,1624,-4912,4768,-16328,-32674
107397,250,-3461,5632,19810,-1444,-6925,9196,556,-4732,8639,-14038,-32674
107407,69,-3809,5384,20288,-2133,-6960,10008,-1380,-5548,12038,-12909,-32674
107417,-61,-3745,6349,19896,-3554,-6387,10736,-2328,-6240,14665,-10826,-32674
107427,-337,-3897,7564,19085,-4882,-5634,11544,-2408,-7464,15534,-8954,-32674
107437,524,-3162,8515,18302,-5370,-4644,12536,-4300,-6856,18619,-6813,-32674
107447,1300,-3394,8989,18232,-4473,-4030,10316,-4168,-7308,18815,-1285,-32674
107457,769,-4089,8548,19278,-4383,-4029,13160,-2824,-4668,21440,1789,-32674
107467,1478,-5598,7757,19921,-5314,-3641,15240,-2920,-3760,25606,-3168,31894
107478,2564,-4879,7388,20037,-7448,-1981,8464,-2548,-1388,30891,-1634,29476
107488,3234,-4738,6524,19196,-9310,-541,9016,-4640,-96,30891,33,23319
107498,3228,-4470,7107,17464,-9105,1059,9840,-5420,12,30891,5117,21048
107508,3560,-3329,7926,15357,-6337,3178,10712,-6268,568,30891,4223,15668
107518,2329,-2170,9071,14909,-5541,5794,12156,-11948,-412,30891,3643,17283
107528,1032,-1255,10643,15080,-927,9389,12168,-12440,-1656,30891,6179,17013
107538,592,-535,10034,14712,6333,12843,12708,-12388,-4020,30891,-23,13461
107548,-644,-204,11141,15122,1857,14533,11960,-13124,-3960,30891,10260,10634
107558,-2402,-1678,12626,12112,-8879,13262,18056,-15164,-4560,30891,13648,4947
107568,-3340,-2333,13666,8285,-15497,11489,16412,-17400,-3204,30891,13430,291
107578,-2659,-1199,14094,4840,-19620,10199,16016,-20460,-872,30891,9342,-902
107588,-2231,452,13262,2813,-23248,10237,13480,-19100,-1228,30891,4120,-2759
107598,-1949,2047,12995,1588,-23972,10192,9880,-18484,-2568,30891,3913,-4807
107608,-2306,2523,12248,1291,-23765,10047,11348,-20744,-3112,30891,-1992,-1352
107618,-1560,2594,11622,465,-21605,10336,11768,-23652,-3520,24521,-7020,-1736
107628,-2512,2520,11892,-966,-20502,9981,12180,-19580,-1928,23310,-2992,-3849
107638,-2222,1845,11598,-1075,-16995,9276,13528,-21352,-4056,18696,-10584,-2894
