# label=radial_deviation
# trial=8
# subject=subject01
# captured_at=20260415_231252
# mode=thumb_index
# sensor_1=thumb
# sensor_2=index
ts_ms,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
45741,3540,-1405,8133,-689,1101,-1282,7890,-1354,1856,-458,-338,-289
45751,3398,-1453,8127,-719,665,-1156,7874,-1544,1494,-34,-94,-435
45761,3159,-1430,8193,-806,297,-1098,8098,-1592,1416,-76,114,-512
45771,3028,-1337,8262,-925,113,-1158,8150,-1566,1530,-162,452,-538
45782,3130,-1283,8252,-974,224,-1194,8196,-1594,1802,-197,646,-553
45792,3305,-1256,8237,-933,574,-1154,8008,-1620,1874,-224,521,-523
45802,3546,-1201,8089,-869,1105,-1034,7810,-1390,1874,-220,-102,-463
45812,3574,-1286,7924,-757,1347,-912,7794,-1282,1832,-70,-776,-408
45822,3422,-1339,7762,-632,1327,-767,7640,-1200,1602,106,-1187,-378
45832,3159,-1336,7731,-522,1279,-623,7556,-1166,1568,224,-1332,-325
45842,3011,-1404,7623,-406,1329,-552,7390,-1186,1456,250,-1160,-236
45852,2966,-1423,7575,-334,1398,-527,7334,-1280,1496,237,-846,-90
45862,3019,-1337,7698,-312,1441,-541,7728,-1378,1472,285,-506,74
45872,3113,-1273,7981,-249,1429,-577,8176,-1364,1394,407,-309,211
45882,3062,-1345,8229,-124,1313,-514,8262,-1344,1084,539,-379,268
45892,2754,-1423,8387,46,1179,-404,8228,-1494,938,540,-596,224
45902,2610,-1395,8289,102,1112,-386,7918,-1446,1154,424,-955,120
45912,2806,-1297,8112,74,1330,-419,7532,-1510,1218,311,-1387,100
45922,2954,-1160,7966,55,1634,-410,7432,-1532,1148,282,-1686,179
45932,3062,-1171,8069,133,1601,-506,7554,-1506,1284,317,-1716,263
45942,3060,-1241,8292,122,1184,-622,7628,-1550,1164,406,-1384,313
45952,3060,-1241,8292,122,1184,-622,8066,-1406,1074,464,-712,385
45962,2785,-1587,8731,-74,-46,-867,8384,-1382,1004,537,11,336
45972,2656,-1766,8842,-221,-296,-896,8762,-1282,936,543,684,254
45982,2494,-1702,8957,-323,-269,-886,8984,-1400,722,488,1011,170
45992,2695,-1628,9073,-332,35,-945,9200,-1434,940,318,995,140
46002,2978,-1439,9048,-318,692,-920,9136,-1608,1228,117,616,81
46012,3344,-1377,8918,-243,1446,-840,9150,-1676,1356,-37,-38,52
46022,3587,-1315,8720,-184,1986,-678,8470,-1596,1638,-62,-841,15
46032,3627,-1267,8540,-201,2051,-520,7938,-1492,1554,14,-1435,-13
46042,3619,-1197,8598,-289,1581,-525,7854,-1596,1504,188,-1762,-46
46052,3299,-1283,8773,-401,752,-711,7894,-1658,1136,338,-1407,-50
46062,2822,-1422,9271,-614,-324,-1015,8712,-1752,902,410,-311,-95
46072,2721,-1520,9413,-916,-888,-1236,9218,-1682,934,324,1430,-267
46082,2765,-1315,9182,-1159,-860,-1236,9354,-1878,1044,205,2722,-576
46092,2944,-1110,8843,-1227,-199,-1102,9038,-1800,1188,68,2620,-774
46102,3150,-998,8520,-1012,743,-895,8596,-1698,1446,52,1273,-717
46112,3226,-1093,8245,-670,1637,-675,8248,-1744,1552,159,-167,-412
46123,3182,-1128,8254,-444,2013,-681,8144,-1658,1434,-38,-1345,-288
46133,3200,-1237,8320,-303,1929,-797,7950,-1638,1338,-303,-1848,-67
46143,3307,-1315,8494,-238,1565,-970,8054,-1596,1406,-453,-1627,63
46153,3476,-1296,8543,-309,1424,-1086,8072,-1658,1522,-397,-718,39
46163,3533,-1372,8501,-456,1169,-1076,8226,-1634,1554,-90,671,-223
46173,3451,-1281,8449,-660,829,-999,8226,-1634,1554,-90,671,-223
46183,3187,-1273,8386,-783,608,-963,8172,-1736,1286,-32,489,-453
46193,3017,-1103,8306,-826,584,-989,8306,-1638,1374,-115,59,-346
46203,3052,-1121,8216,-660,831,-1004,8318,-1640,1360,-161,-299,-72
46213,3022,-1123,8223,-355,1253,-932,8082,-1618,1476,-233,-593,178
46223,3211,-1080,8178,-81,1632,-884,7896,-1530,1592,-239,-932,428
46233,3332,-1207,8013,190,1888,-835,7552,-1438,1638,-192,-1249,662
46243,3448,-1236,7908,340,1936,-802,7266,-1410,1460,-125,-1460,773
46253,3430,-1259,7908,332,1572,-851,7342,-1558,1384,14,-1232,716
46263,3352,-1140,8014,156,926,-939,7708,-1690,1352,182,-439,677
46273,3230,-1138,8244,24,379,-1032,8090,-1902,1056,319,585,676
46283,3082,-1065,8616,-85,-233,-1068,8416,-1946,976,377,1580,672
46294,2958,-1051,8878,-144,-757,-1121,8904,-2028,1076,415,2064,640
46304,3008,-1114,9142,-175,-968,-1145,8958,-1954,988,458,2129,531
46314,3012,-1147,9163,-175,-815,-1073,8788,-1872,892,531,1666,336
46324,2914,-1198,9119,-246,-634,-979,8690,-1934,820,402,1146,138
