# label=supination
# trial=5
# subject=subject01
# captured_at=20260415_232031
# mode=thumb_index
# sensor_1=thumb
# sensor_2=index
ts_ms,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
27899,3498,-5525,5849,182,4338,328,16424,1476,-1100,-530,-8548,-4081
27909,3481,-5576,5917,169,4304,381,16496,1344,-1072,-510,-8259,-4330
27919,3433,-5582,5986,64,4248,417,16332,1232,-1148,-631,-8233,-4627
27929,3343,-5503,6037,-117,4193,427,16320,1112,-1344,-757,-8197,-4684
27939,3226,-5334,5989,-285,4140,410,16120,924,-1376,-845,-8345,-4466
27949,3176,-5174,6006,-361,4095,365,16280,812,-1188,-935,-8508,-4161
27959,3214,-5081,6032,-308,4126,285,16344,944,-1156,-1146,-8634,-3920
27969,3318,-5151,6037,-130,4186,189,16668,1092,-968,-1238,-8675,-3806
27979,3402,-5319,6034,101,4303,139,16768,1208,-808,-1284,-8671,-4015
27990,3505,-5493,6018,177,4368,140,16768,1376,-652,-1316,-8592,-4398
28000,3619,-5618,6023,78,4368,190,16872,1576,-480,-1255,-8473,-4830
28010,3659,-5546,5904,-219,4391,408,16552,1372,-604,-1006,-8403,-5007
28020,3553,-5363,5969,-341,4329,499,16388,1060,-676,-898,-8423,-5038
28030,3503,-5202,5908,-404,4267,502,16568,1000,-788,-1011,-8529,-4825
28040,3461,-5149,5949,-341,4283,457,16404,1004,-608,-1095,-8752,-4578
28050,3451,-5249,5899,-254,4359,474,16392,992,-584,-1050,-8936,-4462
28060,3528,-5182,5922,-186,4452,529,16492,1204,-500,-1032,-9102,-4339
28070,3573,-5251,5843,-75,4535,583,16376,1268,-628,-922,-9295,-4245
28080,3571,-5361,5862,0,4560,630,16420,1156,-716,-858,-9369,-4370
28090,3504,-5327,5960,-57,4497,615,16480,1124,-660,-991,-9516,-4557
28100,3498,-5477,6027,-150,4472,557,16712,1276,-948,-1237,-9479,-4866
28110,3403,-5520,6105,-300,4478,567,16820,1196,-1140,-1370,-9311,-5066
28120,3278,-5396,6226,-405,4552,672,17200,1120,-1340,-1286,-9200,-4987
28130,3178,-5287,6218,-303,4811,913,16964,932,-1276,-1203,-9419,-4621
