# label=thumb_up
# trial=18
# subject=subject01
# captured_at=20260415_224151
# mode=thumb_index
# sensor_1=thumb
# sensor_2=index
ts_ms,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
105224,-7617,715,3104,-58,42,352,630,1130,-7942,-1130,-418,726
105234,-7647,738,3201,-32,5,321,618,1148,-7972,-1160,-192,801
105244,-7594,699,3157,9,-43,280,696,1180,-7886,-1165,-141,702
105254,-7603,673,3105,10,-28,258,686,1182,-7862,-1184,-150,621
105264,-7603,673,3105,10,-28,258,670,1134,-7934,-1183,-217,576
105274,-7641,727,3055,-27,18,277,608,1134,-7980,-1193,-279,568
105284,-7646,752,3106,-59,-5,228,590,1148,-7972,-1255,-292,578
105294,-7628,720,3153,-69,-36,145,648,1124,-7920,-1336,-242,633
105304,-7614,721,3233,-57,-80,88,762,1138,-7882,-1365,-121,669
105314,-7633,700,3202,-47,-77,73,736,1114,-7912,-1343,-115,651
105324,-7605,736,3200,-48,-55,71,732,1152,-7890,-1327,-221,639
105334,-7588,695,3163,-57,-22,80,786,1206,-7826,-1302,-385,609
105344,-7636,697,3138,-68,0,123,668,1160,-7898,-1255,-463,604
105354,-7614,728,3084,-86,19,131,626,1168,-7898,-1250,-435,609
105364,-7618,769,3124,-104,6,107,580,1168,-7954,-1278,-337,621
105374,-7610,771,3090,-93,-12,84,550,1104,-7972,-1305,-248,643
105384,-7597,781,3169,-60,-43,61,734,1156,-7896,-1298,-136,654
105394,-7602,703,3186,-38,-78,31,748,1204,-7910,-1297,-64,617
105404,-7576,708,3160,-51,-69,48,756,1142,-7888,-1283,-189,570
105414,-7620,723,3130,-49,-30,83,594,1134,-7894,-1294,-356,599
105424,-7623,700,3165,-45,-4,90,718,1148,-7836,-1302,-404,616
105434,-7591,716,3200,-45,19,114,632,1158,-7826,-1263,-321,612
105444,-7574,733,3083,-16,38,140,638,1160,-7924,-1224,-257,607
105454,-7609,725,3102,1,16,148,678,1206,-7922,-1216,-226,632
105464,-7629,707,3184,0,-3,126,680,1178,-7900,-1245,-235,646
105474,-7649,689,3191,-16,-20,111,742,1184,-7932,-1263,-227,615
105484,-7624,759,3156,-51,-6,106,516,1124,-7988,-1289,-256,573
105494,-7620,766,3113,-61,-1,90,586,1098,-7934,-1304,-240,575
105504,-7629,776,3119,-71,-25,64,536,1142,-7972,-1310,-179,563
105515,-7606,725,3112,-70,-64,50,670,1126,-7864,-1284,-62,550
105525,-7593,728,3120,-98,-81,40,734,1156,-7882,-1259,50,519
105535,-7604,691,3152,-131,-62,52,730,1198,-7846,-1258,22,548
105545,-7621,707,3159,-146,-20,75,834,1178,-7784,-1247,-88,577
105555,-7590,691,3183,-113,14,91,746,1236,-7920,-1229,-196,646
105565,-7602,730,3255,-81,31,97,728,1198,-7866,-1220,-278,630
105575,-7609,722,3163,-57,33,90,774,1236,-7810,-1227,-315,601
105585,-7596,715,3069,-33,44,109,662,1206,-7832,-1215,-412,594
105595,-7613,714,3166,-35,55,130,626,1212,-7828,-1215,-472,577
105605,-7630,711,3142,-59,44,133,532,1200,-7864,-1243,-412,565
105615,-7598,705,3143,-74,12,109,634,1246,-7840,-1253,-261,573
105625,-7580,723,3159,-62,-22,94,712,1214,-7850,-1227,-101,575
105635,-7586,709,3176,-47,-53,89,750,1188,-7880,-1200,10,574
105645,-7619,731,3157,-40,-59,103,734,1234,-7868,-1182,13,584
105655,-7621,729,3159,-11,-36,111,970,1204,-7752,-1176,-24,643
105665,-7635,713,3133,3,2,118,744,1208,-7876,-1168,-138,697
105675,-7628,712,3179,-7,27,118,614,1176,-7868,-1191,-272,699
105686,-7605,716,3166,-43,26,109,674,1150,-7818,-1221,-336,648
105696,-7597,708,3163,-83,1,103,640,1148,-7930,-1241,-312,605
105706,-7617,722,3198,-118,-18,89,514,1130,-8042,-1253,-156,586
105716,-7635,818,3156,-101,-58,38,422,1132,-7978,-1252,1,646
105726,-7635,807,3205,-35,-105,-22,518,1056,-8018,-1252,210,750
105736,-7727,813,3170,-21,-173,-158,692,1034,-8040,-1305,446,929
105746,-7687,750,3168,-28,-195,-381,944,1042,-8082,-1479,457,1204
105756,-7749,669,3237,-60,-185,-575,1044,990,-8102,-1753,261,1430
105766,-7753,783,3218,-156,-133,-789,884,1254,-7978,-2130,-307,1505
105776,-7578,646,3153,-214,-90,-1005,418,1224,-8064,-2460,-1073,1493
105786,-7593,642,3143,-245,-220,-1093,1010,866,-8298,-2332,-1632,1569
105796,-7956,861,3146,-267,-570,-1165,730,452,-8950,-2122,-2006,2000
105806,-8165,849,2951,-385,-805,-1857,1028,450,-8910,-2266,-2757,2845
105816,-8180,851,2948,-524,-983,-2565,480,-238,-10226,-2096,-4612,3332
105826,-7456,258,3045,-814,-1252,-3415,-1266,-4086,-15264,-2861,-7411,3310
105836,-7487,-74,3121,-897,-1009,-3425,-3120,-4762,-17556,-8850,-10396,4798
105846,-5811,-642,3174,-1025,-831,-2673,-2326,-3858,-14688,-22650,-5667,8713
105856,-7670,-540,5249,-1259,-1215,-652,-1956,486,-5314,31586,587,13341
105866,-7853,305,3858,-1750,-1358,-72,-2216,2316,-2958,31586,186,16776
105876,-7740,571,2461,-2157,-769,-211,-172,4040,-3702,31586,-1971,18251
105886,-8097,749,2521,-2547,-918,-572,-116,3790,-6456,31586,-3432,17844
105896,-8597,521,2241,-2959,-1429,-1202,-684,3878,-5506,-29121,-2639,16399
105906,-8668,551,2688,-3439,-1529,-1476,2164,3336,-3716,-26227,-390,15640
105916,-8267,700,3600,-3981,-1167,-1458,5504,5240,-1352,-23134,-1870,14392
105926,-8364,11,5233,-4445,-691,-1558,7072,5906,-914,-19170,-3506,11686
105936,-7892,-300,5549,-4845,-107,-1790,5370,6888,-1106,-15167,-3591,8321
105946,-6394,-635,5176,-4626,869,-1962,4474,6646,-1682,-11818,-2473,5503
105956,-6227,-887,4197,-3535,1585,-1324,4126,6450,-3268,-9611,-1879,3640
105966,-7223,-540,3771,-2706,1506,-384,1742,7350,-2634,-8509,-2111,2148
105976,-7253,-453,3482,-2276,1564,36,1110,7300,-2662,-7304,-2832,1664
105986,-7065,-480,2772,-2038,1845,197,966,7354,-2420,-6099,-2360,1685
105996,-6777,-409,2337,-1903,1544,239,372,7694,-3136,-5066,-1061,1576
106006,-7443,-188,2454,-1785,994,382,958,7810,-2528,-4416,-598,1634
106016,-7309,-336,2473,-1605,576,114,1182,7294,-2976,-3621,-378,1474
106027,-7526,-720,2758,-1567,101,-541,1722,7298,-2918,-2982,-231,1130
106037,-6849,7,2238,-1360,-446,-814,2522,7146,-2656,-2366,-16,741
106047,-7325,-682,3145,-700,-674,-343,2098,7206,-3870,-2007,593,76
106057,-7611,-688,3396,-429,-835,-232,2230,7218,-3428,-1666,577,-220
