# label=ulnar_deviation
# trial=17
# subject=subject01
# captured_at=20260415_231624
# mode=thumb_index
# sensor_1=thumb
# sensor_2=index
ts_ms,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
99240,4603,-2650,6661,-685,2542,117,15756,-2200,5400,-1500,-2773,-319
99250,4149,-2733,7488,-522,1425,-282,17816,-2288,4320,-245,-476,164
99260,3733,-3263,8179,47,1104,-300,19608,-2320,4208,-264,2764,1063
99270,3708,-3098,8609,711,1558,38,20424,-2288,4368,-638,97,1973
99280,3920,-3525,8675,1627,2352,350,20356,-1860,4832,-623,-4219,2710
99290,4347,-3689,8818,2263,3172,710,19436,-1948,5140,-515,-6143,3016
99300,4774,-3729,8718,2600,3963,1067,18404,-1968,5728,134,-7325,2723
99310,5020,-3724,8491,2535,4122,1288,16920,-1996,5200,1640,-6816,2248
99320,4970,-3430,8393,2138,3417,1350,16580,-2904,4224,2379,-4157,1912
99330,4539,-3221,8750,1579,1841,1133,17024,-2820,3428,2801,985,1333
99340,4130,-3127,9061,895,276,807,17812,-3172,2928,3308,5642,977
99350,3693,-3121,9266,460,-1171,497,18468,-3532,2200,3402,8668,817
99360,3181,-3130,9631,39,-2502,230,19704,-3968,1564,3008,10265,337
99371,2650,-3086,9942,-252,-3073,-15,21364,-3736,1360,2041,9078,-322
99381,2423,-3151,10076,-398,-2764,-257,21052,-3712,2048,558,6419,-1047
99391,2485,-3143,9685,-436,-1542,-203,19668,-3420,2564,-330,1557,-1621
99401,2740,-2900,8936,-368,183,92,17100,-3048,3400,-1173,-2762,-1956
99411,3165,-2702,8028,-304,1587,334,14656,-2672,3788,-1788,-5443,-2240
99421,3532,-2474,7273,-419,2338,363,13044,-2660,4548,-1657,-5741,-2143
99431,3801,-2325,6550,-606,2226,160,11024,-1720,5444,-1627,-3612,-2134
99441,4062,-2337,5914,-850,1672,-141,10672,-1628,5188,-957,123,-2292
99451,4024,-2355,5524,-1191,507,-472,10660,-1476,5524,-78,4447,-2383
99461,3936,-2322,5376,-1592,-753,-799,10984,-644,5292,487,6091,-2071
99471,3740,-2110,5050,-1784,-1595,-993,11156,-1208,5316,524,7443,-980
99481,3643,-1976,4983,-1597,-1939,-1066,12200,-2032,5752,530,6418,838
99491,3763,-1749,5055,-1059,-1838,-1060,12852,-1912,6044,430,4552,2411
99501,3925,-1902,5261,-210,-1303,-968,13556,-1836,6236,503,1666,2964
99511,4147,-2275,5436,661,-520,-837,13324,-1852,6164,120,116,3342
99521,4383,-2671,5871,1152,-12,-812,13908,-1952,6520,-312,-325,3340
99531,4746,-3040,6312,1280,-20,-1058,15384,-1836,5980,-195,329,3222
99542,5117,-3439,7036,1046,-561,-1456,17356,-1504,6708,425,3318,2440
99552,5237,-3675,7805,619,-1406,-1743,18496,-1884,6472,1528,7095,1363
99562,5044,-3679,8255,320,-2008,-1548,18532,-2580,5840,1837,8443,895
99572,4418,-3075,7859,452,-1531,-545,17748,-2480,6012,1806,6330,845
99582,4645,-2935,7497,778,-639,-235,17264,-2816,5936,1020,2324,1312
99592,4645,-2935,7497,778,-639,-235,15744,-2792,6556,766,-1445,1799
99602,5180,-2786,6946,1206,861,64,14532,-2388,6312,1165,-4052,2025
99612,5203,-2759,7109,1128,925,-20,14924,-2912,5856,1812,-3413,1912
99622,4930,-2811,7553,887,504,-210,16196,-3092,5456,1515,-714,1467
99632,4696,-3146,8048,570,-187,-552,16552,-2840,5336,1381,3851,788
99642,4454,-3376,8384,37,-916,-782,17984,-2852,5008,1226,7370,-422
99652,4286,-3348,8435,-483,-1392,-793,18360,-2988,5016,1157,8501,-1387
99662,4270,-3048,8179,-890,-1453,-625,17764,-2928,5004,1316,6087,-2112
99672,4312,-2731,7722,-1004,-1046,-269,16472,-3180,5156,1108,2867,-2244
99682,4387,-2316,7248,-894,-485,24,15016,-3268,5120,1101,-722,-1656
99692,4329,-2165,6900,-559,-219,99,13948,-3088,4920,1641,-1968,-976
99702,4216,-2226,6820,-276,-137,0,14096,-2928,4712,524,-408,-432
99712,4010,-2379,7012,-167,-309,-259,14748,-3020,4636,349,1828,-441
99722,3966,-2563,7222,-282,-583,-590,15324,-2904,4860,175,4799,-692
99732,3894,-2562,7358,-529,-813,-751,16092,-2800,4620,-250,5592,-975
99742,3922,-2651,7332,-654,-791,-773,16116,-2312,5184,-516,4871,-1096
99752,4097,-2757,6980,-583,-272,-656,15108,-2204,5220,-641,1827,-988
99762,4293,-2627,6586,-388,330,-419,14432,-2316,5732,-667,-853,-599
99772,4494,-2511,6313,-182,701,-267,13628,-2424,6020,-948,-2483,-193
99782,4623,-2382,6128,18,920,-323,13332,-2436,6344,-1129,-2247,498
99792,4736,-2395,6043,115,775,-569,13132,-2216,6460,-975,-222,998
99802,4896,-2629,6189,195,445,-860,14332,-1808,6844,-817,1051,1022
99812,5254,-3024,6408,147,5,-1082,15144,-1404,7568,-509,3001,387
99822,5446,-3249,6647,-124,-312,-1036,15476,-1688,7400,178,3730,-553
99832,5355,-3227,6609,-466,-414,-782,15156,-1948,7380,485,4002,-749
99842,5284,-2865,6628,-696,-431,-550,15776,-2028,6816,382,2564,-876
99852,5041,-2847,6650,-594,-280,-262,16004,-1892,6768,234,782,-767
99862,5046,-2960,6690,-341,23,-99,15888,-2084,6824,60,-334,-728
99872,4993,-3021,6806,-126,358,32,15612,-2248,6860,-234,-498,-714
99883,4982,-3000,6810,5,732,47,15672,-2164,7100,-705,-197,-746
99893,5159,-3095,6751,38,1049,-53,15888,-2052,7832,-799,-450,-749
99903,5367,-3037,6625,13,1437,-70,15976,-2204,7952,-799,-525,-695
99913,5545,-3042,6601,95,1842,21,15848,-1804,8248,-549,-902,-531
99923,5735,-3140,6555,148,1978,149,15400,-1588,8300,-196,-1630,-419
99933,5877,-3166,6405,274,2041,311,14420,-1620,7896,213,-2122,-385
99943,5728,-3149,6316,358,1855,429,14760,-1800,7312,325,-1903,-123
99953,5475,-3066,6354,376,1487,423,15392,-2076,7168,96,-1136,63
99963,5221,-3053,6626,339,1080,226,16392,-1892,7328,-7,-398,-164
99973,5245,-3255,6911,322,922,14,16284,-1992,7284,-83,-84,-363
99983,5237,-3264,6966,317,1005,23,16252,-1976,7188,22,-416,-306
99993,5224,-3133,6871,309,1222,163,16148,-2068,6992,35,-1174,-191
100003,5108,-3084,6905,414,1535,333,16500,-2188,6984,-153,-1829,-91
100013,4987,-3045,7025,563,1878,461,16540,-2632,6764,-640,-3215,106
100023,4965,-2920,7006,701,2273,554,16360,-2368,7420,-770,-4783,377
100033,5205,-2991,6950,846,2739,597,15660,-2232,7612,-688,-5179,574
100043,5333,-3000,6684,1034,3223,748,15780,-2096,7540,-666,-5771,799
100054,5302,-2932,6678,1125,3501,933,15688,-1852,7424,-461,-6414,718
100064,5230,-3056,6617,1250,3715,1071,16168,-2232,7204,-552,-6789,671
100074,4836,-2947,6790,1481,4240,1451,16640,-2128,7172,-404,-7265,858
100084,4639,-2889,6964,1792,4978,1864,17312,-2484,7160,-752,-8892,953
100094,4391,-2996,7167,2234,6116,2405,18216,-2728,7244,-1445,-12214,808
100104,4032,-2761,7278,2726,7827,3090,18920,-2964,7524,-2599,-16839,1161
100114,3807,-2568,6974,3594,10359,3924,18996,-3268,8772,-4260,-24812,2189
100124,4036,-2279,6493,4946,14020,4968,19628,-1828,12500,-6426,32755,3545
