# label=victory
# trial=7
# subject=subject01
# captured_at=20260415_215328
# mode=thumb_index
# sensor_1=thumb
# sensor_2=index
ts_ms,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
39790,1356,-7860,2074,2266,-468,29,12756,10352,-268,670,-392,282
39800,1351,-7924,2037,2281,-501,12,12924,10252,-460,730,-327,270
39810,1383,-7848,2107,2315,-582,-25,13008,10304,-440,817,-204,215
39820,1332,-7839,2153,2353,-611,-37,12884,10188,-344,794,-256,260
39830,1371,-7857,2129,2345,-604,-46,13104,10332,-432,681,-255,306
39840,1374,-7968,2094,2319,-590,-84,13012,10356,-300,590,-364,244
39851,1431,-7911,2124,2250,-544,-106,13408,10364,-380,652,-308,164
39861,1400,-8073,2103,2204,-611,-124,13332,10300,-372,715,-171,31
39871,1433,-7947,2150,2147,-589,-50,13296,10328,-276,748,-169,-114
39881,1415,-7953,2134,2147,-547,-11,13248,10272,-152,554,-471,-315
39891,1437,-7879,2143,2158,-519,-18,12968,10232,-184,672,-715,-136
39901,1410,-7793,2168,2247,-463,-16,13084,10204,-324,672,-837,66
39911,1429,-7867,2189,2363,-441,-16,12920,10276,-120,886,-881,245
39921,1485,-7871,2098,2450,-404,-17,13180,10424,-136,925,-804,328
39931,1467,-7961,2069,2471,-408,-50,12936,10364,-236,906,-663,332
39941,1455,-7914,2124,2437,-477,-93,13096,10340,-344,1041,-421,328
39951,1300,-7920,2087,2353,-597,-110,13224,10176,-420,935,-147,430
39961,1336,-7949,2167,2258,-715,-73,13264,10360,-244,906,36,451
39971,1415,-7971,2118,2333,-694,-56,13192,10268,-200,1010,-48,376
39981,1458,-7920,2136,2312,-609,-23,13188,10240,-352,1170,-141,481
39991,1355,-7982,2166,2360,-646,-27,13300,10300,-408,1188,-104,560
40001,1386,-7939,2182,2320,-654,-2,13208,10428,-364,1321,-230,497
40011,1441,-7930,2190,2324,-657,3,12968,10316,-376,1389,-424,434
40022,1448,-7895,2092,2389,-645,10,13084,10292,-360,1284,-359,586
40032,1335,-7925,2077,2483,-643,3,13316,10236,-444,1173,-243,716
40042,1341,-7900,2190,2487,-663,-14,13248,10172,-332,1089,-219,692
40052,1322,-7965,2225,2495,-655,-12,13092,10220,-312,1093,-210,676
40062,1380,-7927,2173,2513,-585,14,13128,10224,-328,1123,20,538
40072,1376,-7998,2220,2501,-555,0,13448,10284,-360,1303,278,368
40082,1440,-7976,2261,2444,-576,-22,13228,10364,-176,1196,13,400
40092,1466,-7976,2073,2401,-608,-14,13100,10312,-20,1141,-151,503
40102,1474,-7971,2122,2343,-589,13,13092,10396,24,1252,-285,511
40112,1429,-7900,2109,2331,-596,-4,13288,10344,-196,1231,-187,519
40122,1494,-8006,2076,2470,-506,8,13240,10440,-24,1164,-335,401
40132,1500,-7970,2070,2433,-507,49,13084,10460,-24,1107,-486,272
40142,1538,-7936,2009,2352,-572,72,13136,10372,20,1083,-517,230
40152,1467,-7908,2019,2363,-575,60,13312,10348,-128,906,-508,235
40162,1429,-7995,2050,2426,-483,82,13172,10160,-352,990,-623,293
40172,1392,-7882,2092,2387,-531,112,12860,10120,-80,938,-613,400
40182,1418,-7809,2129,2467,-417,125,13172,10208,-96,1031,-460,482
40192,1469,-7849,2108,2520,-441,19,13344,10288,12,1191,-371,411
40202,1527,-7893,2127,2520,-550,-47,13176,10372,64,1246,-237,450
40212,1570,-8010,2098,2545,-586,-31,13364,10260,-44,1196,-282,463
40222,1428,-8012,2126,2506,-660,10,13380,10288,-224,1171,-219,446
40232,1417,-8003,2157,2434,-625,49,13340,10352,-316,1074,-213,385
40242,1417,-8003,2157,2434,-625,49,13260,10212,-464,1073,-226,192
40252,1461,-7776,2278,2310,-605,67,13064,10224,-228,1104,-528,174
40262,1392,-7833,2182,2409,-587,-12,13048,10284,-392,1048,-702,360
40272,1473,-7873,2103,2493,-609,-86,12992,10340,-208,1071,-738,442
40282,1519,-7965,2099,2526,-583,-142,13044,10348,-156,1128,-536,530
40292,1512,-8022,2094,2476,-628,-199,13096,10440,-252,1117,-247,522
40302,1490,-7943,2176,2391,-710,-254,13176,10312,-200,1132,14,630
40312,1461,-7902,2118,2376,-805,-276,13284,10356,-100,1181,-39,774
40322,1497,-7930,2066,2435,-860,-274,13140,10412,-200,1206,-359,795
40332,1640,-7876,2115,2515,-778,-328,13176,10348,-296,1160,-633,776
40342,1629,-7889,2174,2579,-758,-553,13096,10248,-156,1316,-840,665
40352,1535,-7755,2101,2622,-832,-816,12884,10164,-284,1272,-1120,791
40363,1483,-7844,2111,2640,-813,-931,13124,10200,-220,1007,-882,863
40373,1420,-7993,2080,2614,-912,-1032,13400,10164,-16,654,-486,845
40383,1507,-8086,2084,2443,-856,-1034,13416,10324,108,402,20,608
40393,1637,-8095,2096,2173,-685,-953,13584,10372,360,195,388,157
40403,1666,-8141,2031,1890,-582,-841,13292,10356,236,237,471,-180
40413,1626,-8041,2072,1537,-586,-657,13200,10352,-140,555,475,-288
40423,1642,-7816,2096,1472,-632,-545,13096,10248,192,670,515,-255
40433,1567,-7936,1948,1786,-729,-526,13252,10248,72,636,715,55
40443,1651,-7885,2015,1939,-726,-467,13400,10160,4,710,1121,464
40453,1591,-7974,1946,2058,-729,-385,13148,10228,56,399,1411,652
40463,1627,-8008,1878,2092,-719,-315,12696,10228,224,0,1648,581
40473,1629,-7953,1787,1893,-615,-296,12772,10024,128,-464,2194,351
40483,1651,-8072,1766,1497,-650,-422,13340,10124,296,-961,3184,51
40493,1566,-8353,1821,1030,-780,-580,13640,9560,-76,-1527,3982,-457
40503,1274,-8433,1909,407,-852,-562,13372,8584,-684,-3034,4087,-810
40513,833,-8289,1814,-382,-848,-507,12860,8920,-684,-4724,2905,416
40523,591,-7880,1534,-1207,-581,-466,11464,7780,-56,-4851,23,3383
40534,236,-8211,767,-1387,91,-102,11948,8900,-732,-3684,-3727,8096
40544,-26,-7869,-805,-584,794,1163,11780,9796,512,-1580,-7492,13309
40554,791,-9327,-3827,-2142,1825,3089,11592,9500,2464,1706,-12286,18692
40564,383,-12158,-4983,-6967,3769,6357,15804,12628,2300,4063,-13194,20072
40574,-1883,-15839,-12922,-16959,7460,10180,-7824,10628,-4552,-3246,-14162,32261
40584,572,-31274,-11580,-30214,16808,16396,3008,8508,4392,-5567,-14016,-32196
40594,4344,-16843,-1518,-30214,23428,15174,11264,7088,9456,-1204,-3802,-32196
40604,-856,-16811,-3466,-30214,29498,-4867,6088,9800,11308,23948,3258,-32196
40614,-4202,-15429,1617,-30214,30298,-23974,6636,4716,13160,-31562,12914,-32196
40624,-7648,-6755,7771,-30214,27950,-30843,10540,700,11040,-31562,12634,-32196
40634,-2919,300,12984,-30214,30325,-32616,14500,-64,11068,-31562,5953,-32196
40644,-1668,-2539,7867,-30214,32007,-32616,19360,-3156,7336,-31562,3453,-32196
40654,589,-3380,1659,-30214,25114,-30611,24464,-7100,-448,-31562,7872,-32196
40664,-113,-957,1721,-30214,16304,-24983,26496,-7356,-7172,-31562,3474,28538
40674,2145,266,-1669,-30214,6618,-17049,29916,-7884,-11236,-31562,937,14960
40684,5460,2023,-6975,-30214,-2020,-11015,23120,-19312,-31296,-32469,4612,6868
40694,6105,5309,-8266,-27203,-7715,-8201,25108,-5856,-11460,7406,4090,2745
40704,8895,6592,-5828,-18639,-9578,-4564,26740,620,-2692,-8526,1705,-769
40714,8263,7112,-5259,-12561,-7879,-2293,17984,5844,2728,-2514,-3127,-1409
40724,6284,6097,-6825,-7298,-6877,-1623,17484,4080,7468,5396,-6078,-3588
40734,6041,5550,-3713,-6743,-6107,-1777,14856,408,5888,11356,1559,-6250
40744,5468,4616,1323,-4649,-548,-2201,15204,-5004,2876,11855,-509,-2440
40754,5468,4616,1323,-4649,-548,-2201,16060,-7312,436,8637,-2347,61
40764,4128,4611,-3635,-394,-50,-1828,15356,-6444,-840,3205,-2836,3545
40774,4290,5312,-4731,-282,-1956,-1645,17332,-4156,-1956,178,-2344,5459
40784,4042,5873,-5493,-73,-3381,-1460,19776,-1620,-900,-447,-4293,5420
40794,4072,6422,-5824,126,-3479,-1125,19556,-632,-652,-1954,-2355,4813
40804,4149,6580,-5622,373,-2254,-600,19832,232,188,-2257,438,1793
40814,3878,6277,-5085,557,-787,-240,18592,88,1440,-1441,2223,-941
40824,3466,5836,-4184,566,119,75,17208,-444,2044,55,2327,-2956
40834,4017,5651,-2989,717,359,459,16164,-1836,2024,1482,1503,-2735
